pXC50,nCsp2,H.,C.,N.,Me,nC,nBM,SCBO,nSK,nBO,Sv,MW,Sp
5.403,12,38.5,43.6,7.7,1.004,17,14,36.0,24,26,27.501,373.56,29.983
5.064,13,46.8,42.6,6.4,0.996,20,13,35.0,25,28,29.875,355.9,31.944
5.348,14,46.2,43.6,5.1,0.998,17,16,31.0,21,23,24.687,282.37,26.012
5.242,11,39.4,45.5,9.1,1.004,15,14,30.0,20,21,22.6,283.38,23.926
5.015,9,36.7,36.7,16.7,1.03,11,10,27.0,19,20,20.304,277.34,20.869
5.63,16,30.8,43.6,7.7,1.045,17,19,40.0,27,29,28.287,405.84,28.602
5.281,11,37.1,42.9,14.3,1.02,15,14,33.5,22,23,23.644,295.33,23.983
5.161,20,43.3,43.3,6.7,1.007,26,18,49.0,34,37,38.74,458.56,40.216
5.455,21,34.9,48.8,7.0,1.021,21,21,43.5,28,31,30.084,373.39,30.404
5.269,20,40.5,50.0,7.1,0.996,21,23,40.0,25,28,28.467,327.41,29.801
5.534,9,41.7,38.9,8.3,1.025,14,13,30.5,21,23,23.084,289.32,23.404
5.14,20,34.6,42.3,7.7,1.028,22,23,51.5,34,37,36.908,514.65,38.568
4.268,12,47.6,40.5,7.1,0.998,17,13,30.0,22,23,26.348,317.85,28.182
4.854,21,29.8,46.8,6.4,1.042,22,23,50.5,33,36,34.528,483.91,34.818
6.049,23,39.0,45.8,8.5,1.013,27,28,55.5,36,41,39.707,481.55,40.699
5.019,12,48.9,38.3,6.4,1.003,18,13,32.5,24,25,28.477,329.44,29.995
4.268,13,52.8,39.6,3.8,0.988,21,13,33.0,25,26,31.321,340.51,33.819
5.885,18,37.0,43.5,6.5,1.032,20,21,43.5,29,31,31.041,395.4,31.074
5.695,25,36.7,46.7,6.7,1.022,28,27,58.0,38,42,41.116,510.54,41.602
5.219,12,36.1,41.7,8.3,1.031,15,14,33.5,23,25,24.745,331.38,25.29
5.62,9,42.4,45.5,6.1,0.997,15,12,28.5,19,21,22.106,270.38,23.682
5.292,10,44.1,44.1,2.9,1.008,15,9,27.0,19,21,21.853,257.31,22.699
6.029,13,43.6,43.6,2.6,1.012,17,16,32.5,22,24,25.095,299.35,25.915
5.788,18,34.9,44.2,7.0,1.037,19,21,42.5,28,30,29.514,381.37,29.313
4.44,13,27.3,39.4,15.2,1.068,13,18,37.0,24,25,23.449,331.27,22.278
5.754,15,34.2,44.7,7.9,1.029,17,18,38.0,25,28,26.745,355.4,27.29
5.6,17,37.2,46.5,7.0,1.019,20,22,41.5,27,30,29.724,381.84,30.568
5.489,16,41.2,50.0,5.9,0.995,17,17,31.5,20,23,22.918,262.33,24.034
5.45,13,48.4,37.5,6.3,1.002,24,15,45.0,33,36,39.62,491.11,42.551
4.826,3,44.4,29.6,14.8,1.034,8,6,19.5,15,16,16.337,212.24,16.432
5.494,21,31.0,50.0,4.8,1.035,21,21,44.5,29,32,30.605,408.81,30.71
5.733,13,43.1,41.2,7.8,1.003,21,20,43.0,29,33,33.631,426.61,36.08
5.42,23,36.0,50.0,4.0,1.013,25,25,50.0,32,36,35.303,442.52,36.568
5.556,10,45.5,40.9,4.5,1.011,18,9,33.0,24,27,27.643,328.4,28.682
6.398,19,43.1,44.8,5.2,1.006,26,20,48.5,33,37,37.718,443.54,39.21
4.873,11,43.2,40.5,8.1,1.006,15,12,29.5,21,23,24.481,321.86,26.307
4.268,13,53.5,38.0,5.6,0.987,27,13,43.0,33,36,41.471,450.69,44.876
4.268,12,46.5,44.2,0.0,1.003,19,13,32.5,23,25,27.127,312.39,28.432
4.937,13,40.5,42.9,7.1,1.013,18,14,36.5,25,28,28.083,355.45,29.358
4.268,19,38.3,46.8,8.5,1.012,22,20,44.0,29,33,31.918,386.44,32.716
4.71,13,41.5,41.5,7.3,1.016,17,13,33.0,24,26,27.363,366.27,28.733
5.544,23,38.3,51.1,4.3,1.005,24,22,45.0,29,32,32.402,382.44,33.466
5.745,22,39.7,41.2,7.4,1.023,28,25,61.0,41,45,45.092,577.67,46.233
5.815,19,29.7,51.4,2.7,1.033,19,20,41.0,26,29,27.417,365.38,27.733
4.421,14,37.1,45.7,5.7,1.023,16,17,33.0,22,24,24.176,316.76,24.801
4.714,11,38.2,41.2,2.9,1.025,14,10,29.5,21,22,23.416,323.42,24.688
5.33,17,34.1,45.5,6.8,1.03,20,21,44.5,29,31,30.986,409.45,31.506
5.148,15,31.3,46.9,9.4,1.028,15,19,34.5,22,24,23.616,331.8,24.477
5.54,19,40.0,50.0,10.0,0.993,20,23,38.5,24,27,27.246,312.4,28.591
5.458,15,30.3,45.5,12.1,1.041,15,21,38.0,23,25,23.525,310.29,23.125
4.588,15,37.8,43.2,8.1,1.018,16,15,33.0,23,24,25.669,347.85,27.0
5.778,17,31.4,48.6,8.6,1.026,17,16,37.0,24,27,25.503,337.38,26.074
5.015,22,27.3,50.0,9.1,1.038,22,24,51.5,32,36,32.954,444.45,32.989
5.028,16,38.1,42.9,9.5,1.018,18,19,38.5,26,28,28.578,368.45,29.602
5.557,21,38.0,48.0,2.0,1.02,24,21,46.0,31,34,34.051,417.44,34.585
5.792,15,41.8,38.2,9.1,1.017,21,17,46.0,32,35,36.082,473.63,37.994
4.711,13,36.4,39.4,12.1,1.03,13,14,30.0,21,22,22.524,304.36,23.08
6.398,13,47.4,42.1,5.3,0.998,16,13,28.5,20,21,23.687,270.36,25.012
5.065,16,43.2,48.6,5.4,0.992,18,17,33.0,21,24,24.445,276.36,25.796
6.398,11,44.4,35.6,8.9,1.014,16,13,33.5,25,26,28.819,380.54,30.773
5.41,10,37.8,37.8,10.8,1.019,14,16,33.5,23,25,25.711,366.53,27.682
5.487,25,36.8,47.4,8.8,1.011,27,27,55.0,36,40,39.653,495.6,41.131
5.117,16,31.7,43.9,4.9,1.05,18,17,41.0,28,30,29.063,404.4,28.892
5.422,10,26.9,42.3,7.7,1.06,11,14,28.5,19,20,19.497,298.72,19.619
5.621,14,37.0,51.9,0.0,1.015,14,16,27.0,17,19,18.778,226.24,19.171
4.851,22,40.0,45.5,9.1,1.005,25,25,51.5,33,37,37.201,456.59,39.057
5.498,12,36.8,42.1,10.5,1.03,16,15,35.0,24,25,25.579,326.34,25.648
5.295,16,47.1,39.7,5.9,1.002,27,20,51.5,36,40,42.507,508.7,45.148
5.481,20,40.4,46.8,6.4,1.008,22,20,42.5,28,31,31.423,373.44,32.472
5.7,18,32.0,42.0,6.0,1.038,21,19,50.0,34,37,36.627,582.51,38.369
5.07,21,31.1,46.7,11.1,1.035,21,26,49.0,31,34,32.428,435.85,32.511
5.788,17,42.0,42.0,10.0,1.011,21,22,43.5,29,32,32.466,391.47,33.483
5.395,18,41.8,43.6,5.5,1.01,24,17,46.0,32,35,36.378,449.57,38.097
5.308,18,38.3,44.7,8.5,1.014,21,23,44.0,29,32,32.105,406.5,33.364
5.716,16,41.0,46.2,2.6,1.01,18,12,33.0,23,24,26.405,374.25,27.813
5.848,21,38.3,43.3,6.7,1.024,26,22,54.0,37,40,40.498,522.6,41.494
5.523,17,39.4,51.5,9.1,0.992,17,18,32.5,20,23,22.698,259.33,23.824
6.137,19,34.1,45.5,6.8,1.03,20,19,44.0,29,31,30.986,409.45,31.506
5.869,18,37.5,43.8,8.3,1.015,21,22,46.5,30,33,33.292,438.57,35.012
5.313,12,38.9,41.7,11.1,1.015,15,17,33.0,22,24,24.336,314.4,25.387
5.662,12,41.9,45.2,3.2,1.012,14,14,27.5,18,19,20.327,243.28,20.938
5.431,15,32.3,48.4,6.5,1.034,15,15,32.0,21,23,22.009,282.27,21.875
5.296,14,28.0,56.0,4.0,1.019,14,17,30.5,18,21,19.219,253.29,19.847
5.165,24,38.0,48.0,10.0,1.007,24,26,48.5,31,34,34.224,409.48,35.267
5.107,21,37.0,46.3,11.1,1.014,25,28,53.5,34,39,36.96,452.51,37.727
5.195,13,40.0,46.7,6.7,1.009,14,16,28.0,18,20,20.106,240.28,20.727
5.819,19,47.9,45.8,6.3,0.982,22,19,37.0,25,27,30.332,329.48,32.631
5.354,14,21.4,50.0,10.7,1.059,14,20,35.0,22,25,22.169,337.37,22.409
5.709,9,44.0,40.0,8.0,1.013,20,9,41.0,28,32,31.686,382.46,32.693
5.331,18,34.0,48.9,10.6,1.009,23,24,49.0,31,34,34.195,490.41,36.051
5.533,18,35.1,48.6,8.1,1.012,18,22,38.5,24,27,26.315,335.41,27.381
6.097,10,44.7,34.0,14.9,1.019,16,14,36.0,26,28,28.982,359.44,29.733
5.333,23,39.7,46.6,5.2,1.013,27,28,53.5,35,39,38.906,469.53,39.904
4.268,10,40.0,44.0,8.0,1.006,11,12,22.5,15,16,17.052,218.3,18.159
4.585,13,47.3,36.4,3.6,1.015,20,15,39.0,29,30,33.84,422.55,35.523
5.523,23,37.1,45.2,4.8,1.024,28,20,57.0,39,43,42.523,545.61,43.46
5.843,17,40.4,46.2,5.8,1.011,24,20,47.0,31,34,34.665,415.48,35.688
5.363,14,42.1,47.4,5.3,1.001,18,17,34.0,22,25,25.16,292.36,26.25
5.58,16,34.3,48.6,2.9,1.023,17,12,33.0,23,24,25.819,413.1,27.313
5.433,16,38.3,42.6,4.3,1.028,20,19,42.0,29,31,31.733,414.47,32.477
5.251,12,42.5,45.0,2.5,1.012,18,12,33.0,23,27,26.095,311.36,26.915
5.508,8,33.3,33.3,16.7,1.048,12,17,35.5,24,26,24.942,368.44,25.432
5.671,23,38.6,47.4,3.5,1.018,27,23,52.0,35,38,38.6,470.51,39.352
5.3,16,42.6,42.6,5.6,1.01,23,20,46.5,31,35,35.378,437.56,37.097
5.401,10,41.9,41.9,3.2,1.007,13,9,25.5,18,19,20.986,279.41,22.779
4.268,7,42.1,36.8,21.1,1.009,7,10,17.0,11,12,12.139,148.19,12.546
5.559,19,35.6,46.7,8.9,1.023,21,20,44.0,29,33,31.106,388.41,31.409
5.462,19,39.6,45.8,6.3,1.02,22,20,42.5,29,31,32.002,395.44,32.654
5.429,17,41.3,43.5,10.9,1.008,20,22,41.5,27,30,30.224,361.44,31.267
5.912,18,41.1,44.6,5.4,1.009,25,22,50.0,33,38,37.378,461.58,39.097
5.641,18,32.4,48.6,8.1,1.026,18,22,39.5,25,28,26.698,353.4,27.318
5.454,15,35.7,47.6,7.1,1.016,20,19,42.0,27,30,29.557,377.45,30.597
5.675,15,35.3,47.1,11.8,1.01,16,21,36.0,22,25,24.095,308.39,25.171
5.936,18,44.1,44.1,3.4,1.008,26,22,48.5,33,37,37.938,446.54,39.421
5.251,12,37.9,44.8,3.4,1.011,13,10,26.5,18,19,20.459,277.39,22.017
4.66,10,35.7,42.9,0.0,1.031,12,9,25.5,18,19,19.867,282.36,20.92
4.529,10,37.5,37.5,12.5,1.023,12,14,29.5,20,21,21.997,308.42,23.273
5.246,17,44.6,42.9,8.9,1.0,24,22,46.5,31,35,35.805,415.54,37.551
5.362,16,30.0,42.5,12.5,1.038,17,18,43.5,28,31,29.56,433.93,30.591
5.632,14,42.6,37.0,5.6,1.028,20,16,43.0,31,33,34.523,449.53,35.46
6.349,15,28.6,53.6,3.6,1.03,15,20,33.0,20,23,21.298,330.14,21.767
5.615,12,50.0,40.0,4.0,0.996,20,12,33.0,25,27,30.622,360.92,32.915
5.37,18,33.3,50.0,8.3,1.018,18,19,37.5,24,27,25.983,337.4,26.864
5.702,13,26.7,43.3,13.3,1.052,13,19,35.0,22,24,22.186,316.32,22.011
5.635,4,48.4,25.8,22.6,1.019,8,7,20.0,16,16,17.972,225.3,18.54
5.023,18,37.0,48.1,3.7,1.021,26,17,51.0,34,40,37.073,456.48,37.591
5.409,16,35.9,43.6,15.4,1.021,17,22,39.5,25,28,26.665,334.37,26.989
5.002,14,31.3,46.9,6.3,1.035,15,14,33.5,22,25,23.196,314.34,23.523
5.556,17,32.6,44.2,9.3,1.03,19,17,43.5,29,32,30.953,426.51,31.943
5.535,15,32.4,43.2,10.8,1.043,16,20,39.0,25,27,25.767,340.32,25.341
5.03,19,35.9,48.7,10.3,1.006,19,23,40.0,25,28,27.622,346.44,28.932
5.549,21,44.4,46.3,5.6,0.992,25,23,45.0,30,33,35.599,462.42,38.199
5.299,16,34.2,44.7,7.9,1.036,17,17,38.0,25,27,26.272,339.33,26.097
4.268,12,23.1,46.2,0.0,1.087,12,10,29.0,20,22,19.299,278.18,17.92
4.978,12,39.3,46.4,10.7,1.006,13,13,26.0,17,19,18.886,225.27,19.517
6.398,12,35.3,41.2,5.9,1.032,14,15,32.5,22,23,23.91,336.42,24.932
5.151,18,35.7,45.2,7.1,1.03,19,21,41.5,27,29,28.799,365.37,28.858
4.268,7,51.6,38.7,6.5,0.991,12,7,20.0,15,16,18.445,204.3,19.796
5.773,23,35.3,49.0,5.9,1.01,25,25,51.0,33,37,36.91,492.05,39.171
5.024,15,39.3,53.6,3.6,0.995,15,17,28.0,17,19,19.37,221.27,20.267
6.255,12,47.1,44.1,2.9,1.0,15,12,25.0,18,19,21.334,245.32,22.489
5.831,21,44.6,43.2,2.7,1.014,32,20,56.0,41,45,47.007,566.67,48.586
4.918,15,47.4,38.6,8.8,1.004,22,15,41.5,30,32,35.046,409.54,36.767
4.398,11,34.1,39.0,14.6,1.044,16,17,39.5,27,30,28.146,392.43,28.273
5.922,19,33.3,48.9,4.4,1.03,22,18,45.5,30,32,32.132,422.84,32.472
4.268,15,50.9,41.5,5.7,0.986,22,17,37.0,26,28,32.101,349.52,34.608
5.604,23,38.6,45.6,3.5,1.023,26,22,51.0,35,38,38.314,474.5,38.807
6.037,16,34.4,53.1,3.1,1.016,17,18,34.5,21,24,22.8,277.29,23.176
5.322,16,38.2,47.1,8.8,1.004,16,15,32.0,21,23,23.6,295.39,24.926
5.78,21,37.5,47.9,8.3,1.012,23,22,46.0,30,33,32.918,398.45,33.716
6.398,21,47.1,42.6,5.9,0.996,29,24,52.0,36,39,42.605,484.65,45.046
4.268,13,49.0,39.2,5.9,0.995,20,13,35.0,26,28,31.476,371.55,33.949
5.395,15,32.4,45.9,2.7,1.043,17,15,36.5,25,27,26.496,406.2,26.653
4.268,16,28.9,42.1,15.8,1.043,16,21,41.5,27,29,27.868,402.85,28.188
5.163,15,43.2,45.9,5.4,1.001,17,17,31.5,21,23,24.16,280.35,25.25
5.5,13,29.6,48.1,7.4,1.025,13,14,29.5,19,21,20.427,288.37,21.5
6.38,28,33.3,51.9,3.7,1.023,28,29,57.5,36,40,38.546,478.48,38.83
5.522,15,33.3,41.0,7.7,1.045,16,17,38.5,26,27,27.174,375.39,27.199
5.513,16,28.9,44.7,5.3,1.052,17,17,40.0,27,29,27.98,406.82,28.051
4.658,9,22.2,50.0,0.0,1.057,9,11,21.0,14,15,14.852,247.1,15.557
5.411,14,40.0,40.0,8.0,1.019,20,19,44.5,30,33,33.533,444.58,35.227
5.646,9,38.5,42.3,7.7,1.018,11,11,23.5,16,18,17.767,234.3,18.614
5.668,22,39.4,45.5,0.0,1.027,30,24,58.0,40,45,43.996,546.56,44.443
5.267,15,35.3,47.1,0.0,1.037,16,14,32.0,22,24,23.45,300.28,23.295
5.718,20,31.6,57.9,5.3,1.007,22,21,43.5,26,30,28.106,336.36,28.727
5.892,26,31.1,60.0,4.4,1.004,27,27,52.5,31,36,33.633,398.43,34.489
6.751,20,30.8,56.4,5.1,1.015,22,21,44.5,27,31,28.821,352.36,29.182
6.492,20,36.4,54.5,4.5,1.001,24,21,45.5,28,32,31.16,364.42,32.25
6.914,20,34.9,53.5,7.0,1.006,23,21,45.5,28,32,30.655,365.41,31.495
6.015,20,40.0,52.0,4.0,0.996,26,21,47.5,30,34,34.214,392.48,35.773
5.821,20,31.6,57.9,5.3,1.001,22,21,43.5,26,30,28.579,352.43,29.921
6.075,26,31.1,60.0,4.4,0.998,27,27,52.5,31,36,34.105,414.5,35.682
6.411,20,30.8,56.4,5.1,1.009,22,21,44.5,27,31,29.294,368.43,30.375
7.086,20,36.4,54.5,4.5,0.995,24,21,45.5,28,32,31.632,380.49,33.443
7.041,20,34.9,53.5,7.0,1.0,23,21,45.5,28,32,31.127,381.48,32.688
6.125,20,40.0,52.0,4.0,0.991,26,21,47.5,30,34,34.686,408.55,36.966
7.31,20,25.7,60.0,5.7,1.011,21,21,43.5,26,30,28.077,417.29,29.512
7.043,20,29.7,56.8,8.1,1.007,21,21,43.5,26,30,28.073,353.42,29.165
6.0,32,43.7,41.7,7.8,1.004,43,39,85.5,58,64,67.241,837.55,71.484
6.0,32,43.5,41.7,7.4,1.006,45,39,89.5,61,68,70.483,879.59,74.699
6.0,32,42.1,41.1,6.5,1.016,44,39,89.5,62,68,70.611,924.62,74.461
6.0,32,42.0,41.1,6.3,1.017,46,39,93.5,65,72,73.852,966.66,77.677
6.0,28,46.9,39.8,7.1,0.999,45,34,85.5,60,66,71.349,869.65,76.529
6.0,28,46.6,39.8,6.8,1.001,47,34,89.5,63,70,74.59,911.69,79.745
6.0,28,45.3,39.3,6.0,1.01,46,34,89.5,64,70,74.718,956.72,79.506
6.0,28,45.1,39.3,5.7,1.012,48,34,93.5,67,74,77.959,998.76,82.722
6.052,24,35.2,46.3,7.4,1.022,25,26,52.5,35,38,38.174,507.0,39.438
5.461,21,34.1,51.2,7.3,1.019,21,24,43.0,27,30,29.038,359.38,29.432
5.22,20,37.8,46.7,11.1,1.01,21,24,43.5,28,31,30.697,371.43,31.506
4.268,13,34.5,48.3,0.0,1.036,14,10,28.0,19,21,20.208,258.24,20.08
5.739,14,25.0,62.5,8.3,1.012,15,15,31.5,18,21,18.811,230.23,18.989
6.352,20,31.6,57.9,5.3,1.007,22,21,43.5,26,30,28.106,336.36,28.727
6.672,20,31.6,57.9,5.3,1.007,22,21,43.5,26,30,28.106,336.36,28.727
6.827,20,30.8,56.4,5.1,1.015,22,21,44.5,27,31,28.821,352.36,29.182
6.426,20,30.8,56.4,5.1,1.015,22,21,44.5,27,31,28.821,352.36,29.182
7.62,20,38.3,53.2,4.3,0.998,25,21,46.5,29,33,32.687,378.45,34.012
4.364,25,39.6,49.1,1.9,1.006,26,27,50.0,32,35,36.336,443.55,38.085
4.596,25,39.6,49.1,1.9,1.006,26,27,50.0,32,35,36.336,443.55,38.085
4.779,25,37.7,49.1,1.9,1.016,26,27,51.0,33,36,36.719,461.54,38.023
5.139,25,37.7,49.1,1.9,1.012,26,27,51.0,33,36,37.163,477.99,38.943
5.6,25,35.8,49.1,1.9,1.018,26,27,52.0,34,37,37.991,512.43,39.801
5.449,25,38.0,50.0,2.0,1.009,25,27,49.0,31,34,34.809,429.52,36.324
4.75,25,36.0,50.0,2.0,1.019,25,27,50.0,32,35,35.192,447.51,36.261
5.294,25,34.0,50.0,2.0,1.022,25,27,51.0,33,36,36.464,498.4,38.04
5.201,25,35.8,49.1,1.9,1.018,26,27,52.0,34,37,37.991,512.43,39.801
5.077,25,35.7,48.2,1.8,1.031,27,27,54.0,36,39,39.012,511.55,39.659
5.121,25,35.8,49.1,1.9,1.018,26,27,52.0,34,37,37.991,512.43,39.801
6.658,25,35.8,49.1,1.9,1.018,26,27,52.0,34,37,37.991,512.43,39.801
5.061,25,35.8,49.1,1.9,1.018,26,27,52.0,34,37,37.991,512.43,39.801
5.24,25,35.8,49.1,1.9,1.018,26,27,52.0,34,37,37.991,512.43,39.801
5.489,25,38.0,50.0,2.0,1.009,25,27,49.0,31,34,34.809,429.52,36.324
5.148,25,34.0,50.0,2.0,1.022,25,27,51.0,33,36,36.464,498.4,38.04
5.01,24,32.7,49.0,4.1,1.027,24,27,51.0,33,36,35.958,499.39,37.284
5.322,25,34.0,50.0,2.0,1.022,25,27,51.0,33,36,36.464,498.4,38.04
5.429,25,34.0,50.0,2.0,1.022,25,27,51.0,33,36,36.464,498.4,38.04
5.606,25,34.0,50.0,2.0,1.022,25,27,51.0,33,36,36.464,498.4,38.04
4.371,25,39.7,46.6,1.7,1.015,27,27,53.0,35,38,39.292,489.58,40.756
4.879,23,33.3,51.1,2.2,1.019,23,26,47.5,30,33,33.222,456.36,34.824
4.411,19,40.4,44.2,1.9,1.016,23,21,45.0,31,33,35.517,478.42,37.563
5.312,25,35.8,49.1,1.9,1.018,26,27,52.0,34,37,37.991,512.43,39.801
6.208,19,42.4,44.1,1.7,1.011,26,21,49.0,34,37,39.571,518.49,42.085
5.178,25,35.2,48.1,1.9,1.024,26,27,53.0,35,38,38.705,528.43,40.256
5.498,25,29.4,51.0,3.9,1.032,26,28,56.0,36,39,38.786,557.85,40.142
5.517,25,28.8,48.1,3.8,1.044,25,29,57.0,37,40,39.216,577.84,40.051
5.517,25,26.8,48.2,1.8,1.07,27,27,59.0,41,44,41.817,634.4,41.188
5.408,25,32.0,50.0,2.0,1.032,25,27,52.0,34,37,36.847,516.39,37.977
6.854,25,36.8,47.4,1.8,1.021,27,27,54.0,36,39,40.232,542.46,42.017
6.569,14,29.6,51.9,0.0,1.043,14,14,29.0,19,21,19.681,256.22,19.318
5.0,19,48.2,37.6,5.9,1.002,32,23,61.0,44,47,52.538,639.92,56.302
5.658,9,38.1,47.6,9.5,1.009,10,9,20.0,13,13,14.338,172.2,14.75
5.745,21,43.4,38.2,6.6,1.017,29,25,61.0,43,45,48.86,627.81,51.165
5.64,21,43.4,38.2,6.6,1.017,29,25,61.0,43,45,48.86,627.81,51.165
5.507,21,41.9,37.8,6.8,1.02,28,25,61.0,43,45,48.52,645.85,51.051
5.507,27,40.3,41.6,6.5,1.019,32,31,68.0,46,49,51.333,661.82,53.404
5.395,29,39.5,42.0,7.4,1.019,34,35,74.0,49,53,54.355,700.86,56.409
5.485,21,42.5,38.4,6.8,1.02,28,25,60.0,42,44,47.333,613.78,49.404
5.381,26,37.5,43.8,6.3,1.021,28,30,61.0,40,43,44.017,576.7,45.659
5.52,26,35.9,43.8,6.3,1.029,28,30,62.0,41,44,44.4,594.69,45.597
5.51,26,35.9,43.8,6.3,1.029,28,30,62.0,41,44,44.4,594.69,45.597
5.595,26,35.9,43.8,6.3,1.029,28,30,62.0,41,44,44.4,594.69,45.597
5.387,26,35.9,43.8,6.3,1.025,28,30,62.0,41,44,45.042,655.59,47.011
5.507,26,38.2,42.6,5.9,1.023,29,30,63.0,42,45,46.258,606.73,47.875
5.141,25,36.9,41.5,6.2,1.027,27,31,63.0,41,44,44.918,612.76,46.761
4.98,13,43.2,43.2,0.0,1.012,16,13,29.5,21,22,24.261,304.39,25.557
4.999,12,35.7,42.9,7.1,1.037,12,13,26.5,18,19,19.009,246.24,18.875
5.422,16,31.7,43.9,12.2,1.035,18,21,44.0,28,30,29.261,395.43,29.54
5.352,20,39.0,48.8,4.9,1.009,20,20,38.0,25,27,27.875,332.38,28.705
5.714,17,33.3,47.2,11.1,1.022,17,16,36.0,24,26,26.089,359.23,27.0
5.04,19,37.8,46.7,4.4,1.02,21,21,42.0,28,30,30.944,396.85,31.779
5.809,25,31.3,52.1,4.2,1.028,25,29,53.0,33,37,35.132,458.87,35.472
4.705,18,33.3,45.2,9.5,1.023,19,22,44.5,28,31,30.238,410.51,31.489
5.542,16,37.5,42.5,7.5,1.025,17,15,36.5,25,27,27.271,357.42,28.051
5.29,16,40.0,48.6,8.6,0.998,17,18,32.5,21,23,24.053,295.79,25.443
4.268,14,28.1,43.8,12.5,1.042,14,19,36.0,23,25,24.023,393.24,24.671
5.122,17,39.6,43.8,2.1,1.018,21,18,43.0,29,31,32.711,429.55,34.426
5.365,17,35.7,47.6,2.4,1.027,20,18,40.0,27,30,29.75,404.26,30.631
6.398,15,38.9,44.4,11.1,1.013,16,19,35.0,22,24,24.149,294.34,24.739
5.234,16,38.1,42.9,4.8,1.025,18,15,36.0,26,27,29.167,484.16,30.625
5.353,18,45.5,43.6,5.5,1.0,24,16,43.0,30,33,35.003,403.52,36.756
5.142,16,34.3,48.6,11.4,1.01,17,19,36.5,23,26,25.095,320.4,26.171
5.466,19,39.6,43.8,6.3,1.016,21,20,42.0,29,31,32.325,409.5,33.574
5.785,21,36.0,46.0,8.0,1.025,23,23,49.0,32,35,34.347,430.45,34.625
5.939,14,35.7,42.9,16.7,1.015,18,22,43.0,27,30,29.159,377.47,30.188
5.155,9,26.9,38.5,11.5,1.059,10,11,28.0,19,20,19.351,297.34,19.653
5.337,13,30.0,46.7,10.0,1.034,14,17,33.5,21,24,21.976,299.33,22.313
5.605,17,33.3,47.2,5.6,1.021,17,16,36.0,24,26,26.195,356.45,27.477
5.405,16,27.3,48.5,9.1,1.041,16,20,39.0,24,27,24.691,339.35,24.767
5.218,26,35.3,51.0,11.8,1.0,26,33,55.0,33,38,36.476,446.57,38.25
5.761,11,42.9,40.5,9.5,1.014,17,11,34.0,24,25,26.918,326.39,27.716
5.382,12,42.4,42.4,6.1,1.007,14,13,28.0,19,20,21.82,274.37,23.137
4.967,15,29.4,47.1,8.8,1.033,16,18,37.0,24,27,25.528,404.26,26.426
5.805,14,38.7,48.4,6.5,1.001,15,17,30.0,19,21,21.579,268.36,22.921
5.387,21,39.1,47.8,8.7,1.005,22,24,44.5,28,31,31.203,370.44,32.262
4.783,16,38.2,47.1,8.8,1.004,16,18,32.5,21,23,23.6,295.39,24.926
5.286,14,39.5,39.5,7.0,1.022,17,14,36.5,26,28,28.985,391.51,30.46
5.258,17,36.8,47.4,7.9,1.015,18,19,36.5,24,26,26.482,339.8,27.352
5.696,16,33.3,43.6,7.7,1.037,17,20,40.0,26,28,27.459,371.4,27.744
5.413,13,31.4,37.1,14.3,1.061,13,16,35.5,24,25,23.976,333.29,23.04
5.842,19,28.2,48.7,7.7,1.046,19,22,44.5,28,31,28.46,377.33,27.79
5.552,16,39.5,44.7,7.9,1.009,17,18,34.5,23,25,25.842,325.42,27.142
5.796,14,39.5,39.5,7.0,1.028,17,14,36.5,26,28,28.513,375.44,29.267
5.331,12,26.7,40.0,13.3,1.05,12,15,32.5,22,23,23.125,375.28,24.227
4.268,12,40.0,43.3,6.7,1.012,13,13,27.0,18,19,20.294,260.34,21.375
5.132,15,32.4,47.1,8.8,1.026,16,18,36.0,23,26,24.503,325.37,25.074
4.307,14,34.0,36.0,10.0,1.049,18,18,47.0,33,35,35.113,534.44,36.096
5.366,17,35.4,39.6,10.4,1.044,19,21,45.5,31,33,32.271,427.41,31.778
6.076,21,39.7,44.8,8.6,1.013,26,23,53.0,35,39,38.707,469.54,39.699
5.812,13,35.0,37.5,10.0,1.047,15,17,39.0,26,28,27.196,378.4,27.205
5.826,20,37.8,46.7,11.1,1.01,21,24,43.5,28,31,30.697,371.43,31.506
5.93,9,30.8,38.5,7.7,1.051,10,9,25.0,18,19,18.857,284.34,19.409
5.015,18,39.1,43.5,13.0,1.012,20,23,43.0,28,31,30.719,374.44,31.512
5.095,14,32.3,45.2,6.5,1.034,14,14,30.0,21,22,22.872,414.06,23.887
5.601,25,38.7,48.4,3.2,1.01,30,23,57.0,38,43,42.599,524.63,44.307
5.676,20,36.4,50.0,4.5,1.016,22,21,43.5,28,31,30.59,372.4,31.159
4.948,19,34.9,44.2,9.3,1.025,19,22,43.0,28,30,30.405,414.9,31.46
5.76,21,30.0,52.5,5.0,1.025,21,24,45.5,28,32,29.723,388.42,30.284
5.465,21,40.7,42.6,7.4,1.018,23,21,46.0,32,34,35.401,434.49,36.148
5.122,25,41.4,44.3,4.3,1.012,31,26,60.0,41,45,46.388,571.7,48.29
5.174,21,35.2,44.4,5.6,1.032,24,23,52.5,35,38,37.469,493.53,37.937
5.785,14,35.7,50.0,7.1,1.005,14,17,29.0,18,20,20.052,254.33,21.159
5.46,14,36.0,36.0,10.0,1.043,18,18,46.0,32,34,34.285,500.0,35.239
4.268,15,43.2,48.6,5.4,0.992,18,20,34.0,21,24,24.445,276.36,25.796
5.735,20,42.1,42.1,7.0,1.015,24,22,48.0,33,35,36.928,448.52,37.909
