pXC50,nCsp2,C.,SCBO,nBM,Mi,nC,H.,nBO,nSK,Mv,Sv,nAB,MW,Mp,Sp,O.,AMW,Me,N.,nAT,nB,nBR,nBT,nCL,nCsp,nCsp3
4.0,13,36.5,39.0,15,1.127,19,46.2,30,28,0.632,32.872,12,420.61,0.679,35.296,5.8,8.089,1.007,7.7,52,0,0,54,0,0,6
5.783,13,43.2,32.0,13,1.149,16,35.1,25,24,0.686,25.386,12,359.37,0.687,25.404,5.4,9.713,1.053,2.7,37,0,0,38,0,0,3
5.154,21,50.0,45.0,21,1.113,24,37.5,32,30,0.688,33.005,18,403.43,0.7,33.614,8.3,8.405,1.018,2.1,48,0,0,50,0,1,2
6.159,17,44.7,44.5,22,1.122,21,38.3,33,29,0.673,31.632,21,390.43,0.684,32.171,8.5,8.307,1.019,8.5,47,0,0,51,0,0,4
5.959,17,44.9,44.5,22,1.121,22,40.8,33,29,0.662,32.444,21,388.46,0.683,33.478,6.1,7.928,1.009,8.2,49,0,0,53,0,0,5
4.0,13,38.9,31.0,15,1.118,14,41.7,22,21,0.667,24.029,12,321.46,0.716,25.79,5.6,8.929,1.012,8.3,36,0,0,37,0,0,1
4.326,15,44.0,39.0,17,1.121,22,46.0,30,27,0.642,32.123,16,382.54,0.689,34.427,2.0,7.651,0.997,4.0,50,0,0,53,0,0,7
4.0,7,37.0,20.0,8,1.12,10,44.4,15,15,0.637,17.207,6,228.29,0.668,18.034,14.8,8.455,1.025,0.0,27,0,0,27,0,0,3
5.388,17,48.6,36.5,16,1.101,17,31.4,26,24,0.726,25.417,11,341.36,0.735,25.733,14.3,9.753,1.035,2.9,35,0,0,37,0,0,0
5.629,15,43.8,38.0,17,1.114,21,45.8,29,26,0.644,30.928,16,366.52,0.691,33.182,4.2,7.636,0.995,4.2,48,0,0,51,0,0,6
5.996,17,44.4,41.5,22,1.123,20,40.0,30,27,0.665,29.918,21,362.42,0.683,30.716,6.7,8.054,1.013,8.9,45,0,0,48,0,0,3
5.812,20,43.3,53.0,18,1.114,26,36.7,41,38,0.695,41.683,12,577.47,0.716,42.932,11.7,9.624,1.032,3.3,60,0,0,63,2,0,6
4.398,13,42.6,45.0,17,1.113,23,42.6,36,31,0.664,35.851,16,453.63,0.709,38.29,5.6,8.401,1.005,5.6,54,0,0,59,0,0,10
4.631,13,44.1,28.0,13,1.12,15,41.2,21,20,0.668,22.709,12,291.37,0.701,23.83,5.9,8.57,1.016,2.9,34,0,0,35,0,0,2
4.618,23,47.9,47.5,25,1.108,23,35.4,34,31,0.713,34.217,23,448.96,0.745,35.767,4.2,9.353,1.013,8.3,48,0,0,51,1,0,0
5.535,17,43.5,50.5,22,1.123,27,45.2,39,34,0.638,39.552,21,456.59,0.67,41.523,4.8,7.364,1.0,6.5,62,0,0,67,0,0,10
4.0,14,40.5,37.0,14,1.116,17,33.3,29,28,0.739,31.033,12,501.66,0.785,32.955,4.8,11.944,1.041,7.1,42,0,0,43,5,0,3
5.057,13,43.2,29.0,13,1.122,16,43.2,22,21,0.655,24.236,12,305.4,0.692,25.591,5.4,8.254,1.011,2.7,37,0,0,38,0,0,3
4.0,17,39.0,51.0,21,1.125,23,40.7,39,35,0.663,39.103,18,512.67,0.695,41.0,6.8,8.689,1.017,10.2,59,0,0,63,0,0,6
6.088,17,46.2,39.5,22,1.12,18,35.9,28,25,0.689,26.864,21,334.36,0.697,27.193,7.7,8.573,1.021,10.3,39,0,0,42,0,0,1
4.0,7,33.3,29.0,9,1.131,15,51.1,23,22,0.603,27.136,6,341.55,0.663,29.836,4.4,7.59,0.999,6.7,45,0,0,46,0,0,8
4.996,13,42.9,28.0,13,1.113,15,42.9,21,20,0.658,23.041,12,289.38,0.696,24.347,8.6,8.268,1.01,2.9,35,0,0,36,0,0,2
4.491,16,45.1,41.5,19,1.113,23,45.1,30,28,0.652,33.234,17,389.56,0.701,35.733,2.0,7.638,0.991,5.9,51,0,0,53,0,1,6
4.883,7,36.4,20.0,7,1.126,12,51.5,16,16,0.602,19.853,6,239.37,0.656,21.654,6.1,7.254,0.997,3.0,33,0,0,33,0,0,5
6.166,18,43.1,46.5,23,1.125,22,39.2,34,31,0.664,33.874,21,420.46,0.674,34.387,9.8,8.244,1.022,7.8,51,0,0,54,0,0,4
4.0,10,38.5,30.0,9,1.119,15,43.6,24,22,0.655,25.556,6,335.49,0.706,27.551,5.1,8.602,1.008,7.7,39,0,0,41,0,0,5
5.355,7,36.4,20.0,7,1.126,12,51.5,16,16,0.602,19.853,6,239.37,0.656,21.654,6.1,7.254,0.997,3.0,33,0,0,33,0,0,5
4.407,13,42.9,33.0,13,1.146,18,40.5,26,25,0.66,27.725,12,371.43,0.678,28.472,2.4,8.844,1.033,2.4,42,0,0,43,0,0,5
5.438,21,52.3,43.0,21,1.109,23,36.4,30,28,0.699,30.764,18,373.4,0.714,31.398,6.8,8.486,1.015,2.3,44,0,0,46,0,1,1
4.292,13,36.7,38.0,15,1.132,18,44.9,29,27,0.63,30.873,12,390.51,0.66,32.341,8.2,7.97,1.015,8.2,49,0,0,51,0,0,5
4.0,10,38.9,31.0,9,1.126,14,36.1,25,23,0.701,25.24,6,373.89,0.738,26.585,5.6,10.386,1.035,8.3,36,0,0,38,1,0,4
4.52,13,47.1,30.5,16,1.102,16,41.2,22,20,0.677,23.019,15,286.37,0.716,24.341,8.8,8.423,1.007,0.0,34,0,0,36,0,0,3
4.0,21,48.0,43.0,23,1.106,24,44.0,31,28,0.664,33.213,22,386.55,0.715,35.728,2.0,7.731,0.989,4.0,50,0,0,53,0,0,3
4.0,15,43.6,33.0,15,1.122,17,41.0,24,23,0.656,25.59,12,312.35,0.671,26.159,10.3,8.009,1.018,5.1,39,0,0,40,0,0,2
5.101,13,40.0,34.0,15,1.117,16,42.5,25,23,0.664,26.556,12,347.5,0.714,28.551,5.0,8.687,1.007,7.5,40,0,0,42,0,0,3
4.0,13,43.2,31.0,13,1.14,16,37.8,24,23,0.676,25.002,12,341.38,0.688,25.466,5.4,9.226,1.039,2.7,37,0,0,38,0,0,3
4.0,12,36.2,37.0,15,1.135,17,44.7,28,26,0.631,29.653,12,375.5,0.662,31.131,6.4,7.989,1.014,10.6,47,0,0,49,0,0,5
5.668,23,48.1,53.5,28,1.114,25,34.6,39,34,0.699,36.347,27,454.47,0.704,36.625,9.6,8.74,1.024,7.7,52,0,0,57,0,0,2
4.0,14,40.0,36.0,14,1.12,18,40.0,28,27,0.687,30.905,12,446.81,0.733,33.0,4.4,9.929,1.021,6.7,45,0,0,46,3,0,4
4.602,13,39.4,30.0,15,1.116,13,39.4,21,20,0.682,22.502,12,307.43,0.728,24.029,6.1,9.316,1.016,9.1,33,0,0,34,0,0,0
4.0,15,43.5,35.0,17,1.115,20,47.8,26,24,0.635,29.213,16,338.51,0.69,31.728,2.2,7.359,0.988,4.3,46,0,0,48,0,0,5
5.812,23,49.0,49.5,28,1.113,24,36.7,35,31,0.692,33.918,27,410.46,0.708,34.716,6.1,8.377,1.012,8.2,49,0,0,53,0,0,1
4.0,13,40.5,35.0,15,1.114,17,42.9,26,24,0.661,27.776,12,362.51,0.709,29.762,7.1,8.631,1.01,4.8,42,0,0,44,0,0,4
5.648,21,49.0,47.0,21,1.113,25,37.3,34,32,0.693,35.359,18,451.9,0.71,36.233,7.8,8.861,1.021,2.0,51,0,0,53,1,1,3
4.979,17,42.3,44.0,16,1.123,22,38.5,34,32,0.679,35.283,12,478.96,0.699,36.341,9.6,9.211,1.031,3.8,52,0,0,54,1,0,5
6.075,24,46.3,52.5,26,1.111,25,35.2,38,35,0.707,38.174,23,507.0,0.73,39.438,7.4,9.389,1.022,7.4,54,0,0,57,1,0,1
5.86,15,42.9,36.0,17,1.122,21,49.0,27,25,0.618,30.267,16,336.47,0.659,32.296,4.1,6.867,0.991,4.1,49,0,0,51,0,0,6
4.0,14,43.2,32.0,14,1.119,16,37.8,24,23,0.679,25.111,12,335.76,0.688,25.466,13.5,9.075,1.034,2.7,37,0,0,38,1,0,2
4.0,13,44.1,28.0,13,1.12,15,41.2,21,20,0.668,22.709,12,291.37,0.701,23.83,5.9,8.57,1.016,2.9,34,0,0,35,0,0,2
4.128,7,35.9,24.0,7,1.13,14,51.3,20,19,0.6,23.401,6,280.43,0.652,25.421,5.1,7.191,0.997,5.1,39,0,0,40,0,0,7
4.0,13,37.3,38.0,15,1.126,19,47.1,29,27,0.631,32.157,12,404.61,0.683,34.841,3.9,7.934,1.001,7.8,51,0,0,53,0,0,6
4.194,13,43.2,29.0,13,1.122,16,43.2,22,21,0.655,24.236,12,305.4,0.692,25.591,5.4,8.254,1.011,2.7,37,0,0,38,0,0,3
4.747,18,41.4,48.0,17,1.119,24,39.7,37,35,0.67,38.856,12,519.01,0.691,40.074,12.1,8.948,1.028,3.4,58,0,0,60,1,0,6
4.821,13,45.2,32.0,15,1.113,14,29.0,23,22,0.738,22.884,12,342.14,0.736,22.801,16.1,11.037,1.058,3.2,31,0,0,32,2,0,1
4.35,10,38.6,46.5,13,1.135,27,51.4,39,34,0.596,41.745,11,460.69,0.642,44.91,1.4,6.581,0.988,8.6,70,0,0,75,0,0,17
5.441,18,42.3,46.0,17,1.117,22,36.5,35,33,0.689,35.802,12,490.95,0.703,36.551,13.5,9.441,1.036,3.8,52,0,0,54,1,0,4
5.963,23,48.0,50.5,28,1.115,24,36.0,36,32,0.693,34.632,27,426.46,0.703,35.171,8.0,8.529,1.018,8.0,50,0,0,54,0,0,1
5.588,7,38.2,22.0,7,1.122,13,50.0,18,17,0.613,20.853,6,251.38,0.666,22.654,5.9,7.394,0.997,2.9,34,0,0,35,0,0,6
5.419,24,47.3,54.0,23,1.1,26,32.7,40,37,0.727,39.968,18,556.04,0.749,41.193,12.7,10.11,1.033,1.8,55,0,0,58,1,0,2
4.304,13,37.5,37.0,15,1.125,18,45.8,28,26,0.638,30.631,12,390.58,0.689,33.08,4.2,8.137,1.003,8.3,48,0,0,50,0,0,5
4.177,13,39.5,35.0,15,1.118,17,44.2,26,24,0.653,28.082,12,361.53,0.705,30.313,4.7,8.408,1.004,7.0,43,0,0,45,0,0,4
4.138,13,37.8,36.0,15,1.124,17,44.4,27,25,0.647,29.104,12,376.55,0.696,31.318,4.4,8.368,1.006,8.9,45,0,0,47,0,0,4
5.427,17,43.5,41.0,16,1.109,20,37.0,31,29,0.703,32.335,12,524.36,0.754,34.682,10.9,11.399,1.023,4.3,46,0,0,48,0,0,3
5.866,21,52.3,44.0,21,1.105,23,34.1,31,29,0.722,31.789,18,452.29,0.744,32.75,6.8,10.279,1.02,2.3,44,0,1,46,0,1,1
5.774,20,43.3,53.0,18,1.114,26,36.7,41,38,0.695,41.683,12,577.47,0.716,42.932,11.7,9.624,1.032,3.3,60,0,0,63,2,0,6
4.0,10,38.6,31.0,9,1.12,17,47.7,25,23,0.634,27.894,6,347.55,0.696,30.62,2.3,7.899,0.994,6.8,44,0,0,46,0,0,7
4.356,21,48.0,43.0,23,1.111,24,44.0,31,28,0.655,32.74,22,370.48,0.691,34.534,4.0,7.41,0.994,4.0,50,0,0,53,0,0,3
6.326,23,48.1,50.5,28,1.114,25,38.5,36,32,0.682,35.444,27,424.49,0.701,36.477,5.8,8.163,1.009,7.7,52,0,0,56,0,0,2
4.0,14,40.5,35.0,14,1.119,17,38.1,27,26,0.699,29.378,12,432.78,0.744,31.239,4.8,10.304,1.026,7.1,42,0,0,43,3,0,3
4.914,23,48.0,50.5,28,1.115,24,36.0,36,32,0.693,34.632,27,426.46,0.703,35.171,8.0,8.529,1.018,8.0,50,0,0,54,0,0,1
4.0,7,38.5,18.0,7,1.117,10,46.2,14,14,0.634,16.492,6,212.29,0.676,17.58,11.5,8.165,1.014,0.0,26,0,0,26,0,0,3
6.116,7,36.1,21.0,7,1.127,13,52.8,17,17,0.594,21.379,6,253.4,0.65,23.415,5.6,7.039,0.994,2.8,36,0,0,36,0,0,6
5.785,13,42.5,29.0,13,1.114,17,47.5,22,21,0.634,25.379,12,301.44,0.685,27.415,5.0,7.536,0.995,2.5,40,0,0,41,0,0,4
5.9,27,51.9,56.0,33,1.106,27,34.6,39,34,0.71,36.918,32,446.49,0.725,37.716,5.8,8.586,1.011,7.7,52,0,0,57,0,0,0
6.023,23,50.0,49.5,28,1.11,23,32.6,35,31,0.722,33.218,27,430.87,0.735,33.813,6.5,9.367,1.022,8.7,46,0,0,50,1,0,0
5.466,17,44.2,40.0,16,1.11,19,34.9,30,28,0.71,30.517,12,463.33,0.735,31.614,11.6,10.775,1.031,4.7,43,0,1,45,0,0,2
4.0,11,41.4,27.0,10,1.118,12,34.5,20,19,0.696,20.196,6,278.31,0.708,20.523,13.8,9.597,1.039,6.9,29,0,0,30,0,0,1
5.553,17,44.4,40.0,16,1.112,20,37.8,30,28,0.692,31.131,12,416.91,0.721,32.426,8.9,9.265,1.022,4.4,45,0,0,47,1,0,3
6.26,23,48.2,53.5,28,1.114,27,39.3,39,34,0.678,37.971,27,450.53,0.701,39.239,5.4,8.045,1.006,7.1,56,0,0,61,0,0,4
4.631,13,46.9,30.0,13,1.141,15,31.3,23,22,0.733,23.455,12,392.23,0.753,24.086,0.0,12.257,1.051,3.1,32,0,1,33,0,0,2
6.38,21,46.2,48.5,21,1.109,24,36.5,36,33,0.699,36.373,17,482.97,0.724,37.642,9.6,9.288,1.023,3.8,52,0,0,55,1,0,3
4.131,11,48.0,22.5,12,1.108,12,40.0,16,15,0.671,16.778,11,202.22,0.687,17.171,12.0,8.089,1.016,0.0,25,0,0,26,0,0,1
4.216,23,43.8,52.5,25,1.118,28,43.8,39,36,0.652,41.739,23,500.67,0.69,44.171,4.7,7.823,1.001,6.3,64,0,0,67,0,0,5
4.416,13,42.5,32.0,13,1.14,17,40.0,25,24,0.663,26.529,12,355.41,0.681,27.228,5.0,8.885,1.033,2.5,40,0,0,41,0,0,4
4.569,13,41.1,37.0,13,1.143,23,48.2,30,29,0.619,34.644,12,425.58,0.658,36.824,0.0,7.6,1.009,1.8,56,0,0,57,0,0,10
5.364,13,43.2,29.0,13,1.122,16,43.2,22,21,0.655,24.236,12,305.4,0.692,25.591,5.4,8.254,1.011,2.7,37,0,0,38,0,0,3
4.0,7,35.7,22.0,9,1.124,10,42.9,16,16,0.64,17.922,6,244.29,0.66,18.489,17.9,8.725,1.036,0.0,28,0,0,28,0,0,3
4.499,15,44.0,38.0,17,1.114,22,48.0,29,26,0.635,31.74,16,364.55,0.69,34.489,2.0,7.291,0.987,4.0,50,0,0,53,0,0,7
6.24,23,50.0,48.5,28,1.111,23,34.8,34,30,0.704,32.391,27,396.43,0.716,32.955,6.5,8.618,1.015,8.7,46,0,0,50,0,0,0
4.0,13,41.5,35.0,15,1.117,17,41.5,26,24,0.669,27.416,12,364.88,0.707,28.972,7.3,8.9,1.016,4.9,41,0,0,43,1,0,4
4.398,22,51.1,45.0,21,1.109,24,36.2,33,30,0.696,32.699,18,404.41,0.703,33.063,10.6,8.604,1.023,0.0,47,0,0,50,0,0,2
4.26,13,43.2,31.0,13,1.14,16,37.8,24,23,0.676,25.002,12,341.38,0.688,25.466,5.4,9.226,1.039,2.7,37,0,0,38,0,0,3
4.0,13,40.0,37.0,15,1.114,18,42.2,28,26,0.67,30.13,12,410.98,0.72,32.381,6.7,9.133,1.014,4.4,45,0,0,47,1,0,5
4.0,13,41.9,31.0,15,1.113,13,32.3,22,21,0.731,22.663,12,345.22,0.76,23.545,9.7,11.136,1.043,6.5,31,0,0,32,2,0,0
4.0,13,37.5,37.0,15,1.131,18,45.8,28,26,0.628,30.158,12,374.51,0.664,31.887,6.3,7.802,1.009,8.3,48,0,0,50,0,0,5
4.0,6,28.6,28.0,10,1.173,8,28.6,21,20,0.698,19.555,6,331.33,0.678,18.989,14.3,11.833,1.101,10.7,28,0,0,29,0,0,2
4.0,4,38.6,25.0,4,1.128,17,54.5,19,20,0.579,25.466,0,276.41,0.625,27.5,6.8,6.282,0.991,0.0,44,0,0,43,0,4,9
4.0,5,34.5,23.0,3,1.136,19,61.8,20,21,0.534,29.385,0,294.53,0.597,32.853,3.6,5.355,0.976,0.0,55,0,0,54,0,0,14
4.0,3,33.3,21.0,2,1.138,18,63.0,19,20,0.526,28.385,0,282.52,0.59,31.853,3.7,5.232,0.975,0.0,54,0,0,53,0,0,15
4.0,5,34.7,21.0,3,1.136,17,61.2,18,19,0.537,26.332,0,266.47,0.599,29.33,4.1,5.438,0.978,0.0,49,0,0,48,0,0,12
4.349,5,34.4,25.0,3,1.136,21,62.3,22,23,0.532,32.439,0,322.59,0.596,36.376,3.3,5.288,0.974,0.0,61,0,0,60,0,0,16
4.0,5,34.2,31.0,3,1.137,27,63.3,28,29,0.527,41.6,0,406.77,0.594,46.944,2.5,5.149,0.971,0.0,79,0,0,78,0,0,22
4.0,1,32.7,34.0,1,1.14,32,65.3,33,34,0.513,50.287,0,480.96,0.584,57.274,2.0,4.908,0.969,0.0,98,0,0,97,0,0,31
4.0,1,30.0,31.0,1,1.146,21,57.1,30,30,0.542,37.969,0,436.61,0.576,40.318,12.9,6.237,1.009,0.0,70,0,0,70,0,0,20
4.0,5,37.5,12.0,6,1.135,6,43.8,9,9,0.627,10.031,6,125.14,0.637,10.199,12.5,7.821,1.025,6.3,16,0,0,16,0,0,1
4.1,16,45.2,40.5,19,1.114,19,35.7,29,27,0.707,29.691,17,398.9,0.738,31.006,4.8,9.498,1.018,9.5,42,0,0,44,1,1,2
4.309,21,44.0,48.0,23,1.123,22,36.0,34,32,0.681,34.062,18,434.44,0.682,34.08,12.0,8.689,1.031,8.0,50,0,0,52,0,0,1
4.0,12,47.1,33.5,14,1.098,16,35.3,24,22,0.72,24.481,11,328.44,0.765,26.023,5.9,9.66,1.013,5.9,34,0,0,36,0,2,2
4.826,16,43.6,40.0,20,1.116,17,33.3,28,26,0.704,27.459,16,371.4,0.711,27.744,12.8,9.523,1.037,7.7,39,0,0,41,0,0,1
4.52,11,39.0,34.5,14,1.123,16,41.5,25,24,0.667,27.357,11,359.52,0.716,29.347,2.4,8.769,1.007,12.2,41,0,0,42,0,1,4
4.052,22,50.0,47.5,25,1.111,23,34.8,34,30,0.704,32.391,23,396.43,0.716,32.955,6.5,8.618,1.015,8.7,46,0,0,50,0,0,1
5.854,12,44.4,25.5,13,1.122,12,37.0,18,17,0.678,18.294,11,230.24,0.682,18.421,11.1,8.527,1.027,7.4,27,0,0,28,0,0,0
5.349,24,43.8,55.5,26,1.118,28,40.6,41,38,0.666,42.641,23,530.65,0.692,44.318,7.8,8.291,1.013,6.3,64,0,0,67,0,0,4
4.004,25,46.0,57.0,26,1.112,29,39.7,42,38,0.677,42.62,22,527.64,0.703,44.313,7.9,8.375,1.012,4.8,63,0,0,67,0,0,4
5.788,9,44.8,24.0,8,1.112,13,41.4,19,17,0.677,19.637,6,294.16,0.718,20.835,6.9,10.143,1.01,3.4,29,0,1,31,0,0,4
5.079,13,39.3,43.0,11,1.129,22,42.9,35,32,0.635,35.556,6,444.48,0.643,36.023,14.3,7.937,1.028,3.6,56,0,0,59,0,0,9
5.886,11,44.8,23.5,12,1.118,13,44.8,17,16,0.642,18.612,11,215.27,0.672,19.483,6.9,7.423,1.002,3.4,29,0,0,30,0,0,2
4.125,10,38.6,40.5,13,1.136,22,49.1,33,29,0.608,34.638,11,392.56,0.647,36.864,1.8,6.887,0.994,10.5,57,0,0,61,0,0,12
5.046,14,40.4,42.5,18,1.113,19,38.3,32,29,0.691,32.479,15,446.62,0.737,34.659,6.4,9.503,1.017,8.5,47,0,0,50,0,0,5
5.097,10,41.7,35.5,13,1.12,20,47.9,27,25,0.63,30.234,11,353.53,0.682,32.733,2.1,7.365,0.991,6.3,48,0,0,50,0,1,9
4.745,18,44.2,47.0,23,1.118,23,40.4,35,31,0.672,34.938,22,431.56,0.705,36.676,3.8,8.299,1.006,9.6,52,0,0,56,0,0,5
4.921,16,47.6,41.5,19,1.108,20,35.7,30,27,0.704,29.557,17,377.45,0.728,30.597,7.1,8.987,1.016,7.1,42,0,0,45,0,1,3
4.699,16,45.8,40.5,19,1.112,22,43.8,29,27,0.661,31.707,17,375.53,0.708,33.972,2.1,7.824,0.993,6.3,48,0,0,50,0,1,5
4.658,16,48.7,38.5,19,1.104,19,35.9,27,25,0.717,27.954,17,367.88,0.758,29.546,2.6,9.433,1.009,7.7,39,0,0,41,1,1,2
4.796,16,44.9,41.5,19,1.114,22,42.9,30,28,0.662,32.422,17,391.53,0.703,34.426,4.1,7.99,1.0,6.1,49,0,0,51,0,1,5
5.097,16,50.0,37.0,21,1.09,17,32.4,26,23,0.753,25.593,20,358.89,0.807,27.426,2.9,10.556,1.013,5.9,34,0,0,37,1,0,1
4.824,16,45.7,40.5,19,1.112,21,41.3,29,27,0.672,30.895,17,377.5,0.71,32.665,4.3,8.207,1.002,6.5,46,0,0,48,0,1,4
4.125,10,37.9,43.5,13,1.137,25,51.5,36,32,0.594,39.218,11,434.65,0.639,42.148,1.5,6.586,0.99,9.1,66,0,0,70,0,0,15
4.125,17,41.2,56.5,23,1.128,28,44.1,44,38,0.645,43.868,21,526.73,0.684,46.523,1.5,7.746,0.999,11.8,68,0,0,74,0,0,11
4.125,16,40.9,50.5,19,1.132,27,47.0,40,35,0.624,41.186,17,469.65,0.661,43.631,1.5,7.116,0.995,10.6,66,0,0,71,0,0,11
4.125,16,40.0,52.5,19,1.133,28,47.1,42,37,0.62,43.428,17,499.68,0.655,45.847,2.9,7.138,0.998,10.0,70,0,0,75,0,0,12
5.125,14,39.0,41.5,14,1.13,23,47.5,33,31,0.613,36.18,11,428.53,0.638,37.637,10.2,7.263,1.011,3.4,59,0,0,61,0,0,9
5.575,18,41.5,52.5,23,1.128,27,44.6,40,36,0.635,41.288,21,487.61,0.661,42.983,6.2,7.502,1.006,7.7,65,0,0,69,0,0,9
5.678,21,54.5,48.0,24,1.118,24,29.5,34,31,0.732,32.224,22,422.37,0.721,31.722,9.1,9.599,1.044,0.0,44,0,0,47,0,2,1
5.481,21,56.1,46.0,24,1.108,23,29.3,32,29,0.739,30.313,22,390.35,0.732,30.023,9.8,9.521,1.037,0.0,41,0,0,44,0,2,0
5.721,21,53.3,49.0,24,1.12,24,28.9,35,32,0.732,32.938,22,438.37,0.715,32.176,11.1,9.742,1.05,0.0,45,0,0,48,0,2,1
5.6,10,43.8,27.0,9,1.12,14,40.6,21,19,0.658,21.041,6,259.28,0.669,21.392,12.5,8.103,1.022,3.1,32,0,0,34,0,0,4
4.553,11,42.9,25.5,12,1.121,15,48.6,19,18,0.619,21.665,11,243.33,0.657,23.006,5.7,6.952,0.995,2.9,35,0,0,36,0,0,4
4.493,28,48.4,63.0,34,1.112,31,37.5,45,40,0.686,43.928,32,532.59,0.702,44.909,7.8,8.322,1.014,6.3,64,0,0,69,0,0,3
4.0,5,34.6,22.0,3,1.136,18,61.5,19,20,0.536,27.858,0,280.5,0.598,31.091,3.8,5.394,0.977,0.0,52,0,0,51,0,0,13
5.523,10,42.4,27.0,9,1.125,14,42.4,21,19,0.647,21.348,6,258.3,0.665,21.943,9.1,7.827,1.015,6.1,33,0,0,35,0,0,4
4.0,7,42.1,15.0,7,1.12,8,42.1,11,11,0.645,12.252,6,152.16,0.653,12.409,15.8,8.008,1.027,0.0,19,0,0,19,0,0,1
4.121,10,40.8,43.0,6,1.123,29,53.5,37,33,0.59,41.868,0,450.67,0.638,45.285,5.6,6.347,0.987,0.0,71,0,0,75,0,0,19
4.907,16,53.3,33.5,21,1.103,16,33.3,23,20,0.719,21.58,21,262.28,0.732,21.966,6.7,8.743,1.013,6.7,30,0,0,33,0,0,0
4.0,15,51.7,31.0,15,1.103,15,31.0,22,20,0.724,20.988,12,267.25,0.72,20.869,13.8,9.216,1.033,3.4,29,0,0,31,0,0,0
4.0,9,38.5,25.5,11,1.133,15,51.3,20,19,0.606,23.633,11,277.83,0.66,25.728,0.0,7.124,0.989,7.7,39,0,0,40,1,0,6
4.943,17,42.1,46.0,16,1.123,24,42.1,36,33,0.646,36.841,12,452.5,0.659,37.568,12.3,7.939,1.021,3.5,57,0,0,60,0,0,7
4.707,15,51.7,32.0,15,1.101,15,27.6,23,21,0.738,21.396,12,284.23,0.716,20.773,20.7,9.801,1.052,0.0,29,0,0,31,0,0,0
4.084,4,35.4,47.0,2,1.134,35,58.6,45,41,0.551,54.566,0,574.93,0.604,59.808,6.1,5.807,0.986,0.0,99,0,0,103,0,0,31
4.0,13,47.1,30.0,13,1.11,16,41.2,22,20,0.663,22.547,10,270.3,0.681,23.148,11.8,7.95,1.015,0.0,34,0,0,36,0,0,3
4.812,1,43.5,30.0,5,1.117,20,52.2,21,22,0.603,27.751,0,296.44,0.653,30.046,4.3,6.444,0.984,0.0,46,0,0,45,0,8,11
5.218,9,44.8,23.0,8,1.118,13,44.8,18,16,0.642,18.612,6,215.27,0.672,19.483,6.9,7.423,1.002,3.4,29,0,0,31,0,0,4
6.316,19,43.2,50.0,27,1.111,19,29.5,34,31,0.729,32.076,22,459.49,0.734,32.301,15.9,10.443,1.049,6.8,44,0,0,47,0,0,0
5.62,19,39.4,59.5,24,1.114,26,39.4,44,40,0.681,44.918,17,618.84,0.723,47.716,9.1,9.376,1.021,6.1,66,0,0,70,0,0,7
6.208,25,45.2,60.5,28,1.103,28,35.5,44,40,0.714,44.295,23,612.19,0.753,46.705,8.1,9.874,1.021,4.8,62,0,0,66,1,0,3
5.824,25,45.2,59.5,28,1.104,28,37.1,43,39,0.701,43.467,23,577.75,0.739,45.847,8.1,9.319,1.016,4.8,62,0,0,66,0,0,3
5.921,25,45.2,60.5,28,1.103,28,35.5,44,40,0.714,44.295,23,612.19,0.753,46.705,8.1,9.874,1.021,4.8,62,0,0,66,1,0,3
4.0,12,46.2,32.5,18,1.096,12,23.1,22,20,0.782,20.33,15,306.34,0.794,20.648,15.4,11.782,1.055,7.7,26,0,0,28,0,0,0
5.614,8,35.1,31.0,12,1.13,13,40.5,24,22,0.663,24.545,10,337.47,0.704,26.04,5.4,9.121,1.02,13.5,37,0,0,39,0,0,5
5.907,5,33.3,20.0,5,1.158,7,33.3,15,14,0.67,14.063,0,193.19,0.652,13.699,9.5,9.2,1.05,23.8,21,0,0,22,0,0,2
5.406,8,40.0,22.0,11,1.12,10,40.0,16,15,0.671,16.767,10,222.29,0.705,17.614,8.0,8.892,1.019,8.0,25,0,0,26,0,0,2
5.638,5,37.5,13.5,6,1.13,6,37.5,10,10,0.652,10.44,5,142.12,0.631,10.102,25.0,8.883,1.06,0.0,16,0,0,16,0,0,1
6.06,25,45.2,60.5,28,1.11,28,35.5,44,40,0.707,43.851,23,595.74,0.738,45.784,8.1,9.609,1.025,4.8,62,0,0,66,0,0,3
4.0,7,42.1,15.0,7,1.12,8,42.1,11,11,0.645,12.252,6,152.16,0.653,12.409,15.8,8.008,1.027,0.0,19,0,0,19,0,0,1
4.301,30,47.8,65.5,35,1.114,33,39.1,47,42,0.678,46.761,33,557.65,0.699,48.222,5.8,8.082,1.008,7.2,69,0,0,74,0,0,3
4.987,13,42.1,34.0,12,1.131,16,39.5,25,23,0.662,25.171,6,309.36,0.677,25.745,5.3,8.141,1.015,13.2,38,0,0,40,0,0,3
5.886,17,45.2,39.0,16,1.119,19,35.7,29,27,0.694,29.16,12,386.43,0.708,29.744,9.5,9.201,1.031,4.8,42,0,0,44,0,0,2
5.907,5,33.3,21.0,5,1.156,8,37.5,16,15,0.65,15.59,0,207.22,0.644,15.46,8.3,8.634,1.039,20.8,24,0,0,25,0,0,3
