pXC50,N.,nH,Si,nAT,Se,nN,nBT,H.,Sp,AMW,nCsp3,Sv,Mp,nAB,RBN,RBF,Mv,Me,nDB,nBM,nHet,nC
4.301,11.6,17,48.611,43,43.793,5,45,39.5,28.96,8.172,3,28.412,0.673,17,7,0.156,0.661,1.018,2,19,8,18
4.301,15.8,14,42.86,38,38.473,6,40,36.8,26.534,8.378,2,25.95,0.698,17,5,0.125,0.683,1.012,1,19,7,17
4.301,10.9,21,52.023,46,45.905,5,48,45.7,30.574,7.292,5,29.036,0.665,17,6,0.125,0.631,0.998,1,18,6,19
8.161,5.9,14,37.907,34,34.16,2,36,41.2,23.489,7.833,3,22.633,0.691,16,5,0.139,0.666,1.005,1,17,4,16
4.301,10.9,21,52.023,46,45.905,5,48,45.7,30.574,7.292,5,29.036,0.665,17,6,0.125,0.631,0.998,1,18,6,19
4.301,11.9,17,47.402,42,42.465,5,44,40.5,28.506,7.986,3,27.697,0.679,17,6,0.136,0.659,1.011,2,19,7,18
4.301,11.6,17,48.611,43,43.793,5,45,39.5,28.96,8.172,3,28.412,0.673,17,7,0.156,0.661,1.018,2,19,8,18
4.301,12.8,20,53.315,47,47.451,6,49,42.6,31.273,7.754,4,30.246,0.665,17,6,0.122,0.644,1.01,2,19,8,19
4.301,10.3,16,43.903,39,39.363,4,41,41.0,26.5,7.907,3,25.676,0.679,17,6,0.146,0.658,1.009,1,18,6,17
4.301,10.3,16,43.903,39,39.363,4,41,41.0,26.5,7.907,3,25.676,0.679,17,6,0.146,0.658,1.009,1,18,6,17
8.699,4.9,16,45.531,41,41.371,2,43,39.0,28.705,8.107,3,27.875,0.7,17,7,0.163,0.68,1.009,1,19,5,20
8.337,3.8,20,57.78,52,52.793,2,55,38.5,36.136,8.24,3,35.358,0.695,23,9,0.164,0.68,1.015,2,25,7,25
7.398,3.8,20,57.78,52,52.793,2,55,38.5,36.136,8.24,3,35.358,0.695,23,9,0.164,0.68,1.015,2,25,7,25
8.456,3.6,22,61.196,55,55.676,2,58,40.0,37.898,8.045,4,36.885,0.689,23,10,0.172,0.671,1.012,2,25,7,26
7.357,4.2,18,53.156,48,48.582,2,51,37.5,33.921,8.301,2,33.116,0.707,23,7,0.137,0.69,1.012,2,25,6,24
8.658,3.9,20,56.571,51,51.465,2,54,39.2,35.682,8.088,3,34.643,0.7,23,8,0.148,0.679,1.009,2,25,6,25
7.658,4.2,18,53.156,48,48.582,2,51,37.5,33.921,8.301,2,33.116,0.707,23,7,0.137,0.69,1.012,2,25,6,24
6.745,2.8,15,39.824,36,35.942,1,38,41.7,25.245,7.704,2,24.139,0.701,17,5,0.132,0.671,0.998,1,18,3,18
6.116,2.9,16,39.08,35,35.054,1,36,45.7,24.358,9.206,4,22.691,0.696,11,5,0.139,0.648,1.002,1,12,4,15
4.0,5.9,25,57.481,51,50.68,3,53,49.0,33.302,6.892,7,31.289,0.653,17,9,0.17,0.614,0.994,0,17,5,21
7.187,6.6,36,69.846,61,59.872,4,61,59.0,36.66,5.715,16,33.229,0.601,5,16,0.262,0.545,0.982,2,7,5,20
8.456,5.0,16,44.531,40,40.371,2,42,40.0,27.705,8.009,2,26.875,0.693,17,6,0.143,0.672,1.009,2,19,5,19
6.886,4.8,27,70.315,63,63.218,3,67,42.9,42.972,7.644,7,41.245,0.682,23,9,0.134,0.655,1.003,2,25,7,29
5.959,3.8,22,58.986,53,53.349,2,56,41.5,36.443,7.821,4,35.17,0.688,23,8,0.143,0.664,1.007,1,24,6,25
5.0,4.1,20,54.362,49,49.138,2,52,40.8,34.228,7.846,3,32.928,0.699,23,7,0.135,0.672,1.003,1,24,5,24
5.959,4.0,20,55.571,50,50.465,2,53,40.0,34.682,8.009,3,33.643,0.694,23,7,0.132,0.673,1.009,1,24,6,24
6.921,4.3,31,77.774,69,69.967,3,72,44.9,44.858,7.56,11,43.443,0.65,17,10,0.139,0.63,1.014,3,20,10,28
8.18,4.9,16,45.741,41,41.698,2,43,39.0,28.159,8.204,2,27.59,0.687,17,7,0.163,0.673,1.017,2,19,6,19
4.523,6.0,21,55.651,50,49.912,3,53,42.0,34.779,7.67,3,33.235,0.696,23,7,0.132,0.665,0.998,1,24,5,24
8.523,3.7,22,59.986,54,54.349,2,57,40.7,37.443,7.898,4,36.17,0.693,23,9,0.158,0.67,1.006,2,25,6,26
6.301,11.5,22,58.73,52,52.334,6,55,42.3,35.034,7.74,6,33.772,0.674,22,10,0.182,0.649,1.006,1,23,8,22
8.921,3.9,20,56.571,51,51.465,2,54,39.2,35.682,8.088,3,34.643,0.7,23,8,0.148,0.679,1.009,2,25,6,25
5.0,4.0,20,55.571,50,50.465,2,53,40.0,34.682,8.009,3,33.643,0.694,23,7,0.132,0.673,1.009,1,24,6,24
4.301,3.8,22,57.777,52,52.022,2,55,42.3,35.989,7.663,4,34.455,0.692,23,8,0.145,0.663,1.0,1,24,5,25
8.268,4.3,20,52.571,47,47.465,2,49,42.6,31.682,7.754,4,30.643,0.674,17,7,0.143,0.652,1.01,2,19,6,21
7.745,4.5,29,73.73,66,66.101,3,70,43.9,44.733,7.509,8,42.772,0.678,23,10,0.143,0.648,1.002,2,25,7,30
8.699,3.6,22,61.196,55,55.676,2,58,40.0,37.898,8.045,4,36.885,0.689,23,10,0.172,0.671,1.012,2,25,7,26
5.398,6.0,21,55.651,50,49.912,3,53,42.0,34.779,7.67,3,33.235,0.696,23,7,0.132,0.665,0.998,1,24,5,24
8.301,4.5,29,74.65,67,67.178,3,71,43.3,46.381,7.876,8,43.959,0.692,23,10,0.141,0.656,1.003,2,25,8,30
8.959,4.4,18,49.737,45,44.927,2,48,40.0,32.012,7.876,2,30.687,0.711,23,6,0.125,0.682,0.998,1,24,4,23
8.174,4.0,22,55.986,50,50.349,2,52,44.0,33.443,7.569,5,32.17,0.669,17,8,0.154,0.643,1.007,2,19,6,22
7.509,4.5,29,74.94,67,67.429,3,71,43.3,45.188,7.636,8,43.487,0.674,23,10,0.141,0.649,1.006,2,25,8,30
4.0,1.5,37,73.101,65,63.41,1,66,56.9,41.813,6.149,15,37.406,0.643,10,16,0.242,0.575,0.976,2,12,3,25
6.824,4.7,27,71.524,64,64.545,3,68,42.2,43.426,7.775,7,41.96,0.679,23,9,0.132,0.656,1.009,2,25,8,29
7.699,2.6,15,43.242,39,39.596,1,41,38.5,27.154,8.24,2,26.568,0.696,17,6,0.146,0.681,1.015,2,19,5,19
6.745,11.1,20,60.524,54,54.778,6,58,37.0,37.727,8.38,3,36.96,0.699,28,9,0.155,0.684,1.014,1,29,9,25
7.602,3.7,26,60.398,54,53.461,2,57,48.1,36.057,6.936,8,33.794,0.668,17,7,0.123,0.626,0.99,1,18,4,24
7.301,4.2,18,53.156,48,48.582,2,51,37.5,33.921,8.301,2,33.116,0.707,23,7,0.137,0.69,1.012,2,25,6,24
7.48,2.3,17,47.867,43,43.807,1,45,39.5,29.369,8.172,3,28.81,0.683,17,8,0.178,0.67,1.019,2,19,6,20
8.796,2.2,19,51.282,46,46.691,1,48,41.3,31.131,7.944,4,30.337,0.677,17,9,0.188,0.659,1.015,2,19,6,21
7.538,4.8,27,69.315,62,62.218,3,65,43.5,41.972,7.574,6,40.245,0.677,23,10,0.154,0.649,1.004,2,25,7,28
8.638,4.4,18,49.737,45,44.927,2,48,40.0,32.012,7.876,2,30.687,0.711,23,6,0.125,0.682,0.998,1,24,4,23
9.222,3.9,20,56.571,51,51.465,2,54,39.2,35.682,8.088,3,34.643,0.7,23,8,0.148,0.679,1.009,2,25,6,25
7.268,3.8,20,57.78,52,52.793,2,55,38.5,36.136,8.24,3,35.358,0.695,23,9,0.164,0.68,1.015,2,25,7,25
7.443,4.1,18,54.365,49,49.909,2,52,36.7,34.375,8.458,2,33.831,0.702,23,8,0.154,0.69,1.019,2,25,7,24
8.921,2.4,17,46.578,42,42.556,1,44,40.5,29.563,8.463,3,28.282,0.704,17,6,0.136,0.673,1.013,3,20,6,19
5.155,3.8,22,57.777,52,52.022,2,55,42.3,35.989,7.663,4,34.455,0.692,23,8,0.145,0.663,1.0,1,24,5,25
8.699,2.5,14,45.467,40,41.691,1,42,35.0,27.273,9.033,3,27.53,0.682,17,6,0.143,0.688,1.042,1,18,7,19
5.046,3.8,22,58.986,53,53.349,2,56,41.5,36.443,7.821,4,35.17,0.688,23,8,0.143,0.664,1.007,1,24,6,25
8.301,5.3,14,42.116,38,38.487,2,40,36.8,26.943,8.378,2,26.348,0.709,17,6,0.15,0.693,1.013,1,19,5,19
9.35,5.4,14,40.907,37,37.16,2,39,37.8,26.489,8.172,2,25.633,0.716,17,5,0.128,0.693,1.004,1,19,4,19
8.77,2.3,17,47.867,43,43.807,1,45,39.5,29.369,8.172,3,28.81,0.683,17,8,0.178,0.67,1.019,2,19,6,20
7.242,2.5,15,44.452,40,40.924,1,42,37.5,27.608,8.434,2,27.283,0.69,17,7,0.167,0.682,1.023,2,19,6,19
7.357,4.5,29,73.73,66,66.101,3,70,43.9,44.733,7.509,8,42.772,0.678,23,9,0.129,0.648,1.002,2,25,7,30
4.699,4.1,20,54.362,49,49.138,2,52,40.8,34.228,7.846,3,32.928,0.699,23,7,0.135,0.672,1.003,1,24,5,24
7.854,4.3,39,79.387,70,68.865,3,71,55.7,43.631,6.081,16,39.976,0.623,11,18,0.254,0.571,0.984,2,13,5,26
8.347,4.5,18,49.156,44,44.582,2,46,40.9,29.921,7.964,3,29.116,0.68,17,8,0.174,0.662,1.013,2,19,6,20
9.155,2.6,14,44.258,39,40.363,1,41,35.9,26.818,8.855,3,26.815,0.688,17,5,0.122,0.688,1.035,1,18,6,19
8.824,3.9,20,56.571,51,51.465,2,54,39.2,35.682,8.088,3,34.643,0.7,23,8,0.148,0.679,1.009,2,25,6,25
8.921,6.1,19,54.445,49,49.356,3,52,38.8,34.472,8.111,2,33.423,0.704,23,7,0.135,0.682,1.007,2,25,6,24
8.886,6.1,19,54.445,49,49.356,3,52,38.8,34.472,8.111,2,33.423,0.704,23,7,0.135,0.682,1.007,2,25,6,24
8.432,3.1,36,72.474,64,62.879,2,65,56.3,39.864,6.01,15,36.428,0.623,10,16,0.246,0.569,0.982,2,12,4,24
6.0,5.9,21,56.86,51,51.24,3,54,41.2,35.233,7.833,3,33.95,0.691,23,7,0.13,0.666,1.005,1,24,6,24
8.398,2.5,16,44.169,40,40.222,1,42,40.0,30.12,10.831,3,27.697,0.753,17,7,0.167,0.692,1.006,1,18,5,19
6.569,2.5,17,44.448,40,40.153,1,42,42.5,27.46,7.684,3,26.38,0.687,17,7,0.167,0.66,1.004,1,18,4,19
8.523,2.5,17,44.159,40,39.902,1,42,42.5,28.654,8.086,3,26.853,0.716,17,6,0.143,0.671,0.998,1,18,4,19
4.699,5.9,21,56.86,51,51.24,3,54,41.2,35.233,7.833,3,33.95,0.691,23,7,0.13,0.666,1.005,1,24,6,24
8.523,4.3,20,51.362,46,46.138,2,48,43.5,31.228,7.575,4,29.928,0.679,17,6,0.125,0.651,1.003,2,19,5,21
5.432,0.0,31,64.287,56,55.887,0,55,55.4,34.211,6.366,12,31.82,0.611,0,14,0.255,0.568,0.998,5,5,4,21
4.076,0.0,36,71.812,64,62.636,0,64,56.3,41.262,6.261,12,37.099,0.645,5,17,0.266,0.58,0.979,5,10,3,25
6.628,1.5,37,73.391,65,63.661,1,66,56.9,40.62,5.902,15,36.933,0.625,10,16,0.242,0.568,0.979,2,12,3,25
4.444,1.5,39,76.806,68,66.545,1,68,57.4,42.381,5.848,13,38.46,0.623,5,16,0.235,0.566,0.979,5,10,3,26
4.252,1.4,41,78.221,69,67.428,1,69,59.4,42.143,5.618,16,37.987,0.611,0,16,0.232,0.551,0.977,5,5,3,25
4.481,0.0,40,76.932,68,66.654,0,68,58.8,41.591,5.715,16,37.68,0.612,0,17,0.25,0.554,0.98,5,5,3,25
4.97,0.0,40,76.932,68,66.654,0,68,58.8,41.591,5.715,16,37.68,0.612,0,17,0.25,0.554,0.98,5,5,3,25
4.553,0.0,38,75.228,67,65.519,0,67,56.7,43.023,6.19,13,38.626,0.642,5,18,0.269,0.577,0.978,5,10,3,26
5.347,4.3,39,78.387,69,67.865,3,70,56.5,42.631,5.995,16,38.976,0.618,10,17,0.243,0.565,0.984,2,12,5,25
7.229,0.0,34,74.315,66,65.985,0,67,51.5,41.671,6.706,12,39.244,0.631,12,17,0.254,0.595,1.0,2,14,6,26
6.759,2.6,18,43.496,39,38.938,1,41,46.2,27.12,8.93,6,25.217,0.695,11,3,0.073,0.647,0.998,1,12,4,17
4.523,3.8,13,29.408,26,26.058,1,26,50.0,16.483,6.894,3,15.612,0.634,6,3,0.115,0.6,1.002,1,7,3,10
4.939,3.4,14,33.163,29,29.454,1,29,48.3,18.182,7.285,4,17.522,0.627,6,5,0.172,0.604,1.016,1,7,4,11
4.0,0.0,15,42.965,38,38.818,0,40,39.5,26.12,8.325,4,25.606,0.687,16,3,0.075,0.674,1.022,1,17,4,19
5.62,0.0,27,57.875,50,50.774,0,50,54.0,29.597,6.729,14,28.196,0.592,0,11,0.22,0.564,1.015,2,2,6,17
6.439,0.0,33,64.702,56,55.77,0,55,58.9,32.972,5.974,16,30.347,0.589,0,15,0.273,0.542,0.996,2,2,4,19
6.487,0.0,29,60.872,53,53.003,0,53,54.7,32.449,6.462,13,30.294,0.612,6,12,0.226,0.572,1.0,1,7,4,20
7.097,0.0,6,22.043,19,20.498,0,19,31.6,12.869,9.997,1,31.873,0.677,6,1,0.053,0.638,1.079,0,6,6,7
5.032,3.1,30,72.856,65,65.211,2,68,46.2,42.943,7.302,8,40.992,0.661,18,11,0.162,0.631,1.003,2,20,7,28
5.824,0.0,6,17.949,16,16.589,0,16,37.5,11.233,8.746,0,31.873,0.702,6,1,0.063,0.638,1.037,0,6,4,6
5.1,1.5,39,73.806,65,63.545,1,64,60.0,39.381,5.564,14,35.46,0.606,0,16,0.25,0.546,0.978,5,5,3,23
4.886,0.0,9,22.234,20,20.287,0,20,45.0,13.511,7.599,1,31.873,0.676,6,2,0.1,0.638,1.014,0,6,4,7
4.167,0.0,6,22.043,19,20.498,0,19,31.6,12.869,9.997,1,31.873,0.677,6,1,0.053,0.638,1.079,0,6,6,7
6.824,0.0,7,20.529,19,19.153,0,20,36.8,14.943,9.37,0,31.873,0.786,10,1,0.05,0.638,1.008,0,10,4,8
7.638,3.1,36,72.474,64,62.879,2,65,56.3,39.864,6.01,15,36.428,0.623,10,16,0.246,0.569,0.982,2,12,4,24
5.585,2.4,19,45.574,41,40.785,1,43,46.3,28.415,7.645,5,26.379,0.693,16,7,0.163,0.643,0.995,1,17,4,18
5.799,2.2,20,52.503,46,47.014,1,48,43.5,30.103,7.9,7,29.396,0.654,12,4,0.083,0.639,1.022,1,13,6,20
6.442,3.1,32,72.062,64,63.767,2,67,50.0,41.25,6.822,12,38.804,0.645,12,7,0.104,0.606,0.996,2,14,6,26
8.062,2.1,23,52.694,47,46.803,1,49,48.9,30.745,6.924,7,28.961,0.654,12,5,0.102,0.616,0.996,1,13,4,20
5.125,7.3,17,45.95,41,41.549,3,43,41.5,28.358,8.377,4,27.083,0.692,17,7,0.163,0.661,1.013,2,19,7,17
4.77,6.3,12,35.491,32,32.276,2,34,37.5,22.727,8.259,1,22.106,0.71,17,4,0.118,0.691,1.009,1,18,4,16
9.081,5.8,25,58.481,52,51.68,3,54,48.1,34.302,6.99,8,32.289,0.66,17,11,0.204,0.621,0.994,1,18,5,22
7.745,4.5,37,75.972,67,65.981,3,68,55.2,41.87,6.144,15,38.449,0.625,11,17,0.25,0.574,0.985,2,13,5,25
7.796,2.9,38,76.889,68,66.763,2,69,55.9,42.626,6.039,15,38.955,0.627,11,17,0.246,0.573,0.982,2,13,4,26
7.305,4.4,20,50.571,45,45.465,2,47,44.4,29.682,7.565,6,28.643,0.66,12,5,0.106,0.637,1.01,3,15,6,19
8.041,3.0,38,75.889,67,65.763,2,68,56.7,41.626,5.95,16,37.955,0.621,10,16,0.235,0.566,0.982,2,12,4,25
4.848,1.5,39,73.806,65,63.545,1,65,60.0,39.381,5.564,17,35.46,0.606,5,16,0.246,0.546,0.978,2,7,3,23
7.509,2.9,38,76.889,68,66.763,2,69,55.9,42.626,6.039,15,38.955,0.627,11,17,0.246,0.573,0.982,2,13,4,26
6.658,2.4,19,45.654,41,40.709,1,43,46.3,27.767,7.156,5,26.192,0.677,16,7,0.163,0.639,0.993,1,17,3,19
7.781,4.5,20,49.152,44,43.811,2,46,45.5,29.773,7.282,5,28.214,0.677,17,8,0.174,0.641,0.996,1,18,4,20
8.481,4.1,26,55.398,49,48.461,2,50,53.1,31.057,6.418,10,28.794,0.634,11,11,0.22,0.588,0.989,1,12,4,19
4.62,0.0,38,75.228,67,65.519,0,67,56.7,43.023,6.19,13,38.626,0.642,5,18,0.269,0.577,0.978,5,10,3,26
8.252,6.5,21,51.651,46,45.912,3,48,45.7,30.779,7.292,6,29.235,0.669,17,9,0.188,0.636,0.998,1,18,5,20
4.699,4.2,24,53.773,48,47.251,2,50,50.0,31.841,6.676,7,29.552,0.663,17,9,0.18,0.616,0.984,0,17,3,21
4.921,0.0,36,71.812,64,62.636,0,64,56.3,41.262,6.261,12,37.099,0.645,5,17,0.266,0.58,0.979,5,10,3,25
7.651,4.7,18,47.737,43,42.927,2,45,41.9,30.012,7.684,4,28.687,0.698,17,6,0.133,0.667,0.998,1,19,4,21
9.553,4.7,20,48.152,43,42.811,2,45,46.5,28.773,7.172,6,27.214,0.669,16,8,0.178,0.633,0.996,1,17,4,19
7.481,4.9,18,45.737,41,40.927,2,43,43.9,28.012,7.473,4,26.687,0.683,17,7,0.163,0.651,0.998,1,18,4,19
8.337,6.5,21,51.651,46,45.912,3,48,45.7,30.779,7.292,6,29.235,0.669,17,9,0.188,0.636,0.998,1,18,5,20
4.959,7.1,12,31.491,28,28.276,2,29,42.9,18.727,7.724,3,18.106,0.669,11,4,0.138,0.647,1.01,1,12,4,12
7.215,2.9,38,76.889,68,66.763,2,69,55.9,42.626,6.039,15,38.955,0.627,11,17,0.246,0.573,0.982,2,13,4,26
5.745,3.0,38,74.889,66,64.763,2,67,57.6,40.626,5.858,16,36.955,0.616,10,16,0.239,0.56,0.981,1,11,4,24
5.854,1.6,37,70.391,62,60.661,1,62,59.7,37.62,5.606,16,33.933,0.607,5,16,0.258,0.547,0.978,2,7,3,22
4.824,1.4,41,79.932,71,69.178,1,71,57.7,45.336,6.025,14,40.459,0.639,5,17,0.239,0.57,0.974,5,10,3,27
9.0,3.1,34,72.059,64,62.996,2,65,53.1,41.103,6.353,11,37.901,0.642,10,15,0.231,0.592,0.984,5,15,4,26
5.56,1.3,43,84.636,75,73.312,1,75,57.3,46.904,5.836,14,42.514,0.625,6,18,0.24,0.567,0.977,5,11,3,29
4.602,1.4,43,81.636,72,70.312,1,72,59.7,43.904,5.579,17,39.514,0.61,6,18,0.25,0.549,0.977,2,8,3,26
4.921,1.5,37,73.101,65,63.41,1,65,56.9,41.813,6.149,12,37.406,0.643,5,16,0.246,0.575,0.976,5,10,3,25
7.155,2.4,18,47.088,41,42.131,1,42,43.9,26.341,7.936,7,25.869,0.642,11,8,0.19,0.631,1.028,1,12,6,17
7.523,2.6,18,42.994,38,38.222,1,39,47.4,24.705,7.246,6,23.576,0.65,11,8,0.205,0.62,1.006,1,12,4,16
4.301,1.3,45,86.261,76,74.523,1,77,59.2,46.12,5.681,20,41.755,0.607,6,19,0.247,0.549,0.981,1,7,4,27
5.319,2.3,15,48.466,44,45.204,1,47,34.1,33.278,10.19,2,31.937,0.756,21,4,0.085,0.726,1.027,3,24,8,21
7.638,5.0,27,67.315,60,60.218,3,62,45.0,39.972,7.426,8,38.245,0.666,17,9,0.145,0.637,1.004,2,20,7,26
8.398,4.4,20,50.072,45,44.887,2,47,44.4,31.421,7.833,5,29.401,0.698,17,9,0.191,0.653,0.997,1,18,5,20
5.699,4.0,24,56.192,50,49.905,2,52,48.0,32.75,7.049,7,30.982,0.655,17,9,0.173,0.62,0.998,0,17,5,21
7.046,4.4,20,50.362,45,45.138,2,47,44.4,30.228,7.476,5,28.928,0.672,17,9,0.191,0.643,1.003,1,18,5,20
5.824,4.5,37,74.972,66,64.981,3,67,56.1,40.87,6.055,15,37.449,0.619,10,16,0.239,0.567,0.985,2,12,5,24
8.62,4.7,31,72.145,64,63.985,3,66,48.4,41.495,7.025,10,39.299,0.648,17,12,0.182,0.614,1.0,2,19,7,26
7.77,6.7,17,50.239,45,45.8,3,47,37.8,31.165,8.342,4,30.611,0.693,17,7,0.149,0.68,1.018,3,21,7,21
6.699,4.2,22,53.777,48,48.022,2,50,45.8,31.989,7.301,6,30.455,0.666,17,9,0.18,0.634,1.0,1,18,5,21
5.602,6.3,14,35.907,32,32.16,2,34,43.8,21.489,7.572,5,20.633,0.672,11,3,0.088,0.645,1.005,1,12,4,14
6.284,5.7,16,39.242,35,35.12,2,36,45.7,23.898,7.897,4,22.347,0.683,11,6,0.167,0.638,1.003,1,12,5,14
7.469,4.1,20,54.571,49,49.465,2,51,40.8,33.682,7.928,5,32.643,0.687,17,8,0.157,0.666,1.009,2,20,6,23
5.097,3.3,27,67.492,60,60.589,2,63,45.0,40.313,7.843,9,38.321,0.672,16,7,0.111,0.639,1.01,2,18,8,25
4.357,4.0,24,56.192,50,49.905,2,53,48.0,32.75,7.049,9,30.982,0.655,12,5,0.094,0.62,0.998,1,13,5,21
4.495,11.4,15,49.036,44,45.062,5,47,34.1,32.494,9.671,2,31.26,0.739,22,7,0.149,0.71,1.024,2,24,10,19
4.301,1.3,44,87.205,77,75.847,1,77,57.1,47.978,6.21,18,43.583,0.623,6,19,0.247,0.566,0.985,3,9,5,28
5.155,11.8,11,38.333,34,35.185,4,36,32.4,24.563,9.717,1,24.193,0.722,17,5,0.139,0.712,1.035,1,18,8,15
4.301,1.1,47,101.398,90,89.592,1,91,52.2,58.268,7.03,18,53.894,0.647,12,23,0.253,0.599,0.995,4,16,8,35
4.301,1.3,44,86.982,77,75.592,1,77,57.1,49.779,7.398,18,44.072,0.646,6,19,0.247,0.572,0.982,3,9,5,28
4.276,0.0,36,72.102,64,62.887,0,64,56.3,40.069,6.01,12,36.627,0.626,5,17,0.266,0.572,0.983,5,10,3,25
5.276,4.3,18,52.156,47,47.582,2,50,38.3,32.921,8.222,2,32.116,0.7,23,8,0.16,0.683,1.012,1,24,6,23
8.658,4.3,18,50.657,46,46.003,2,49,39.1,33.659,8.402,2,31.874,0.732,23,7,0.143,0.693,1.0,1,24,5,23
5.222,4.3,20,52.491,47,47.542,2,49,42.6,32.33,8.181,5,30.83,0.688,17,9,0.184,0.656,1.012,3,20,7,20
8.481,4.0,24,55.983,50,49.578,2,52,48.0,33.296,6.97,7,31.267,0.666,17,9,0.173,0.625,0.992,1,18,4,22
8.208,3.9,24,57.192,51,50.905,2,53,47.1,33.75,7.147,7,31.982,0.662,17,10,0.189,0.627,0.998,1,18,5,22
6.845,5.0,16,44.451,40,40.447,2,42,40.0,28.352,8.511,3,27.062,0.709,16,6,0.143,0.677,1.011,2,18,6,18
4.301,1.2,47,95.095,84,83.061,1,85,56.0,51.79,6.117,18,47.712,0.617,12,20,0.235,0.568,0.989,1,13,6,31
4.007,1.4,41,78.221,69,67.428,1,69,59.4,42.143,5.618,16,37.987,0.611,0,16,0.232,0.551,0.977,5,5,3,25
9.046,4.3,21,52.511,47,47.018,2,49,44.7,32.392,7.849,6,30.568,0.689,17,9,0.184,0.65,1.0,1,18,5,21
7.268,4.7,18,48.156,43,43.582,2,45,41.9,28.921,7.87,4,28.116,0.673,16,7,0.156,0.654,1.014,2,18,6,19
6.699,6.1,23,55.066,49,48.796,3,51,46.9,32.54,7.132,6,30.762,0.664,17,9,0.176,0.628,0.996,1,18,5,21
5.0,4.3,20,52.491,47,47.542,2,49,42.6,32.33,8.181,5,30.83,0.688,17,9,0.184,0.656,1.012,3,20,7,20
7.432,3.8,24,59.321,53,53.309,2,55,45.3,35.853,7.784,7,33.884,0.676,17,10,0.182,0.639,1.006,3,20,7,22
8.481,3.9,24,56.903,51,50.654,2,53,47.1,34.944,7.462,7,32.454,0.685,17,10,0.189,0.636,0.993,1,18,5,22
7.824,3.1,34,73.059,65,63.996,2,67,52.3,42.103,6.44,12,38.901,0.648,17,14,0.209,0.598,0.985,1,18,4,27
7.328,4.5,18,48.866,44,44.331,2,47,40.9,31.114,8.329,5,29.589,0.707,16,5,0.106,0.672,1.008,2,18,6,20
7.252,4.3,20,52.282,47,47.214,2,50,42.6,32.875,8.096,6,31.116,0.699,16,5,0.1,0.662,1.005,2,18,6,21
7.699,4.7,17,47.681,43,43.251,2,45,39.5,30.87,8.485,4,29.514,0.718,17,6,0.133,0.686,1.006,1,19,5,21
8.398,4.0,21,57.002,50,51.116,2,52,42.0,33.108,8.049,7,32.417,0.662,17,9,0.173,0.648,1.022,1,18,7,22
6.818,4.5,16,48.741,44,44.698,2,47,36.4,31.159,8.464,1,30.59,0.708,22,6,0.128,0.695,1.016,2,24,6,22
7.456,4.2,22,53.777,48,48.022,2,50,45.8,31.989,7.301,6,30.455,0.666,17,9,0.18,0.634,1.0,1,18,5,21
4.301,5.6,27,60.896,54,53.563,3,56,50.0,35.063,6.769,7,32.815,0.649,16,8,0.143,0.608,0.992,1,17,5,22
5.0,2.8,40,81.304,72,70.647,2,73,55.6,45.387,6.065,13,41.482,0.63,10,16,0.219,0.576,0.981,4,14,4,28
6.26,5.5,42,83.091,73,71.523,4,74,57.5,44.944,5.845,17,40.81,0.616,10,17,0.23,0.559,0.98,2,12,5,26
5.0,2.8,40,81.304,72,70.647,2,73,55.6,45.387,6.065,13,41.482,0.63,10,16,0.219,0.576,0.981,4,14,4,28
4.538,1.5,39,74.597,66,64.218,1,66,59.1,40.927,5.601,13,36.745,0.62,5,17,0.258,0.557,0.973,4,9,2,25
7.385,1.7,35,66.976,59,57.778,1,59,59.3,35.859,5.654,15,32.407,0.608,5,16,0.271,0.549,0.979,2,7,3,21
5.301,5.3,15,42.252,38,38.44,2,40,39.5,28.364,11.112,2,26.192,0.746,16,5,0.125,0.689,1.012,1,17,6,17
4.469,1.5,37,73.391,65,63.661,1,65,56.9,40.62,5.902,12,36.933,0.625,5,16,0.246,0.568,0.979,5,10,3,25
4.301,3.5,32,64.643,57,56.112,2,58,56.1,35.341,6.045,12,32.374,0.62,10,12,0.207,0.568,0.984,1,11,4,21
4.301,3.3,34,68.059,60,58.996,2,61,56.7,37.103,5.976,13,33.901,0.618,10,13,0.213,0.565,0.983,1,11,4,22
4.469,3.4,30,65.228,58,57.229,2,60,51.7,37.58,6.527,9,34.848,0.648,16,11,0.183,0.601,0.987,1,17,4,24
4.218,0.0,14,36.535,33,33.167,0,35,42.4,22.693,7.706,3,21.832,0.688,12,5,0.143,0.662,1.005,1,13,3,16
4.926,0.0,36,70.102,62,60.887,0,62,58.1,38.069,5.816,14,34.627,0.614,0,17,0.274,0.558,0.982,5,5,3,23
5.432,4.0,24,56.192,50,49.905,2,52,48.0,32.75,7.049,6,30.982,0.655,16,6,0.115,0.62,0.998,1,17,5,21
5.721,5.3,15,42.475,38,38.694,2,40,39.5,26.563,8.705,2,25.702,0.699,16,5,0.125,0.676,1.018,1,17,6,17
5.798,0.0,34,65.687,58,57.003,0,58,58.6,35.307,5.768,14,32.1,0.609,0,16,0.276,0.553,0.983,4,4,3,21
6.623,5.4,14,41.036,37,37.564,2,39,37.8,26.591,8.822,2,25.535,0.719,16,5,0.128,0.69,1.015,2,18,6,17
4.523,3.3,32,68.643,61,60.112,2,63,52.5,39.341,6.436,10,36.374,0.645,16,12,0.19,0.596,0.985,1,17,4,25
