pXC50,RBN,Se,nBT,Si,Sv,nCsp2,Sp,nH,nHet,nC,nCsp3,nAT,nS,MW,nBO,nAB,nSK,nO,nDB,SCBO,Mv,nBM,RBF,N.,O.,nN,X.,H.,Mp,C.
6.509,6,48.549,50,53.119,32.029,19,33.534,20,6,22,3,48,1,396.49,30,18,28,5,3,42.0,0.667,21,0.12,0.0,10.4,0,0.0,41.7,0.699,45.8
8.319,6,47.767,49,52.202,31.524,19,32.779,19,7,21,2,47,1,397.48,30,18,28,5,3,42.0,0.671,21,0.122,2.1,10.6,1,0.0,40.4,0.697,44.7
7.208,7,43.145,44,47.99,27.127,14,28.432,20,4,19,5,43,0,312.39,24,12,23,4,2,32.0,0.631,14,0.159,0.0,9.3,0,0.0,46.5,0.661,44.2
4.051,5,35.898,36,38.873,23.449,13,24.25,14,6,15,2,35,1,306.36,22,12,21,5,3,31.0,0.67,15,0.139,0.0,14.3,0,0.0,40.0,0.693,42.9
4.301,7,51.633,53,57.265,32.711,12,34.71,23,8,20,8,51,1,422.97,30,11,28,4,2,37.5,0.641,13,0.132,3.9,7.8,2,2.0,45.1,0.681,39.2
6.155,9,63.96,67,71.567,40.464,18,43.137,30,7,27,9,64,1,478.66,37,17,34,4,2,47.5,0.632,19,0.134,3.1,6.3,2,0.0,46.9,0.674,42.2
4.602,7,58.941,61,66.11,36.924,14,37.949,25,10,23,9,58,0,452.54,36,17,33,3,2,46.5,0.637,19,0.115,10.3,5.2,6,1.7,43.1,0.654,39.7
5.046,7,53.734,55,59.764,33.733,12,35.716,24,9,20,8,53,1,437.99,31,11,29,4,2,38.5,0.636,13,0.127,5.7,7.5,3,1.9,45.3,0.674,37.7
8.77,13,79.483,82,89.806,49.189,20,53.597,40,8,32,12,80,0,583.16,42,18,40,4,3,54.0,0.615,21,0.159,2.5,5.0,2,1.3,50.0,0.67,40.0
7.854,7,44.091,44,50.238,24.389,1,26.608,25,6,13,12,44,1,291.46,19,0,19,4,3,22.0,0.554,3,0.159,2.3,9.1,1,0.0,56.8,0.605,29.5
8.399,14,83.37,86,94.487,50.603,20,54.955,43,8,33,13,84,0,578.75,43,18,41,5,3,55.0,0.602,21,0.163,2.4,6.0,2,0.0,51.2,0.654,39.3
7.886,7,44.323,45,49.408,27.336,11,29.085,21,6,17,6,44,1,335.46,24,11,23,4,3,32.5,0.621,14,0.156,2.3,9.1,1,0.0,47.7,0.661,38.6
7.031,11,66.509,68,75.616,39.781,14,43.455,35,7,25,11,67,0,458.59,33,12,32,4,3,42.0,0.594,15,0.162,3.0,6.0,2,0.0,52.2,0.649,37.3
