pXC50,MW,Sv,SCBO,Sp,nSK,nBO,nBM,nBT,Se,nAT,Si,nC,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nAB,nB,nBR,nCL,nCsp,nCsp2
5.1,490.51,37.359,49.0,37.307,35,38,22,60,59.152,57,65.919,23,8.605,40.4,38.6,1.038,1.156,0.655,0.655,10.5,22,0,0,0,0,16
6.6,457.59,38.847,49.5,40.563,34,38,19,65,61.203,61,69.059,25,7.501,41.0,44.3,1.003,1.132,0.665,0.637,11.5,17,0,0,0,1,15
6.4,502.62,39.87,54.5,41.381,36,40,28,63,59.807,59,66.405,26,8.519,44.1,39.0,1.014,1.126,0.701,0.676,10.2,27,0,0,0,0,23
5.1,302.36,25.434,36.5,26.284,23,25,19,39,37.153,37,41.279,18,8.172,48.6,37.8,1.004,1.116,0.71,0.687,10.8,17,0,0,0,1,16
5.1,390.33,25.405,37.0,24.307,26,28,17,36,36.985,34,39.655,16,11.48,47.1,23.5,1.088,1.166,0.715,0.747,5.9,16,0,0,0,0,14
5.1,242.28,19.576,28.0,20.006,18,20,16,31,29.454,29,32.994,13,8.354,44.8,37.9,1.016,1.138,0.69,0.675,13.8,16,0,0,0,0,12
5.1,279.37,24.467,31.5,25.801,21,23,17,40,37.818,38,42.611,17,7.352,44.7,44.7,0.995,1.121,0.679,0.644,7.9,17,0,0,0,0,14
5.1,281.3,22.117,32.5,22.222,21,22,14,33,32.814,32,36.156,14,8.791,43.8,34.4,1.025,1.13,0.694,0.691,15.6,11,0,0,0,2,11
5.1,458.68,39.836,48.0,43.023,33,38,17,68,62.298,63,70.52,27,7.281,42.9,47.6,0.989,1.119,0.683,0.632,6.3,16,0,0,0,2,13
6.3,241.27,19.601,27.5,19.972,18,20,13,31,29.494,29,32.575,13,8.32,44.8,37.9,1.017,1.123,0.689,0.676,10.3,11,0,0,0,0,12
5.1,600.21,51.233,61.5,54.398,43,47,28,85,80.843,81,90.75,35,7.41,43.2,46.9,0.998,1.12,0.672,0.633,3.7,27,0,0,1,0,25
5.8,238.31,20.918,27.5,22.034,18,20,13,34,31.833,32,35.697,15,7.447,46.9,43.8,0.995,1.116,0.689,0.654,6.3,11,0,0,0,0,13
5.7,358.48,31.542,41.0,33.33,27,30,22,52,48.687,49,54.939,22,7.316,44.9,44.9,0.994,1.121,0.68,0.644,8.2,22,0,0,0,0,18
5.2,286.42,25.542,29.0,27.33,21,23,11,45,42.687,43,48.939,16,6.661,37.2,51.2,0.993,1.138,0.636,0.594,9.3,10,0,0,0,0,8
5.2,399.69,25.776,36.0,26.949,24,26,18,35,34.324,33,36.243,16,12.112,48.5,27.3,1.04,1.098,0.817,0.781,6.1,16,0,0,3,0,16
5.1,251.28,18.175,24.0,18.517,17,18,9,27,27.022,26,28.917,11,9.665,42.3,34.6,1.039,1.112,0.712,0.699,3.8,6,0,0,0,0,10
5.1,387.28,29.342,38.0,30.727,26,28,19,44,42.574,42,46.625,20,9.221,47.6,38.1,1.014,1.11,0.732,0.699,4.8,18,0,0,2,0,18
5.4,211.24,17.359,25.0,17.756,16,18,13,27,25.284,25,27.95,12,8.45,48.0,36.0,1.011,1.118,0.71,0.694,12.0,12,0,0,0,0,12
5.1,275.76,21.767,27.5,22.898,19,21,12,35,33.258,33,37.14,14,8.356,42.4,42.4,1.008,1.125,0.694,0.66,9.1,11,0,0,1,0,10
5.1,286.31,23.063,30.5,23.398,21,23,13,37,35.814,35,39.325,15,8.18,42.9,40.0,1.023,1.124,0.669,0.659,5.7,11,0,0,0,0,11
5.1,455.58,33.982,49.5,35.5,31,35,27,53,50.014,49,54.996,21,9.298,42.9,36.7,1.021,1.122,0.724,0.694,10.2,25,0,0,0,0,18
5.1,339.38,27.611,36.0,28.165,25,27,15,44,42.8,42,47.239,18,8.08,42.9,40.5,1.019,1.125,0.671,0.657,7.1,12,0,0,0,0,15
5.1,333.3,24.079,35.5,23.341,24,26,18,36,35.909,34,39.381,15,9.803,44.1,29.4,1.056,1.158,0.687,0.708,14.7,17,0,0,0,0,14
5.1,287.33,21.655,31.0,22.307,20,22,17,32,30.764,30,33.253,15,9.578,50.0,33.3,1.025,1.108,0.744,0.722,3.3,16,0,0,0,0,14
5.1,528.69,43.255,56.5,45.421,38,42,28,70,66.389,66,74.105,28,8.01,42.4,42.4,1.006,1.123,0.688,0.655,9.1,27,0,0,0,0,23
5.1,385.5,33.762,43.0,35.54,29,32,20,55,51.796,52,58.066,24,7.413,46.2,44.2,0.996,1.117,0.683,0.649,5.8,18,0,0,0,0,20
5.1,375.45,28.314,38.0,29.063,26,27,16,44,44.196,43,48.74,16,8.731,37.2,39.5,1.028,1.133,0.676,0.658,11.6,12,0,0,0,1,12
5.2,459.61,33.172,44.0,35.108,30,33,16,50,48.029,47,51.999,20,9.779,42.6,36.2,1.022,1.106,0.747,0.706,6.4,10,0,0,0,0,17
5.1,423.53,33.275,46.5,34.642,30,34,25,53,49.68,49,55.413,22,8.643,44.9,38.8,1.014,1.131,0.707,0.679,10.2,25,0,0,0,0,18
5.1,423.43,32.659,46.5,32.625,31,34,24,50,48.56,47,53.626,22,9.009,46.8,34.0,1.033,1.141,0.694,0.695,10.6,23,0,0,0,0,21
5.1,312.38,25.871,33.5,26.745,23,25,13,42,40.432,40,45.449,17,7.809,42.5,42.5,1.011,1.136,0.669,0.647,10.0,11,0,0,0,1,11
5.1,344.39,28.875,40.0,29.705,26,29,20,45,42.371,42,46.531,21,8.2,50.0,38.1,1.009,1.108,0.707,0.687,4.8,18,0,0,0,0,20
5.1,373.41,28.185,39.5,28.71,26,29,19,44,42.327,41,45.581,18,9.108,43.9,36.6,1.032,1.112,0.7,0.687,2.4,17,0,0,0,0,16
5.1,249.33,18.589,24.5,19.415,17,18,12,29,28.564,28,31.867,10,8.905,35.7,39.3,1.02,1.138,0.693,0.664,17.9,11,0,0,0,0,9
5.1,381.26,25.943,31.5,27.068,23,25,12,42,40.803,40,45.369,15,9.531,37.5,42.5,1.02,1.134,0.677,0.649,10.0,11,0,1,0,0,9
5.1,380.43,27.842,42.5,28.125,27,30,23,42,40.313,39,44.156,16,9.755,41.0,30.8,1.034,1.132,0.721,0.714,20.5,21,0,0,0,0,16
6.3,542.77,46.12,56.0,49.25,39,42,25,76,72.712,73,82.141,30,7.435,41.1,46.6,0.996,1.125,0.675,0.632,8.2,22,0,0,0,0,23
5.1,297.36,24.85,32.5,25.739,22,24,17,40,38.331,38,42.95,17,7.825,44.7,42.1,1.009,1.13,0.677,0.654,7.9,17,0,0,0,0,14
5.6,302.39,23.336,33.0,24.387,21,23,18,37,35.556,35,39.408,14,8.64,40.0,40.0,1.016,1.126,0.697,0.667,11.4,16,0,0,0,0,13
5.1,350.42,29.597,38.0,30.711,26,28,19,47,45.323,45,50.492,21,7.787,46.7,42.2,1.007,1.122,0.682,0.658,4.4,18,0,0,0,0,18
5.1,486.35,34.723,51.5,35.858,32,36,25,52,48.694,48,53.243,24,10.132,50.0,33.3,1.014,1.109,0.747,0.723,10.4,21,0,1,0,1,21
5.1,452.56,38.299,52.5,39.796,34,38,28,62,58.218,58,65.145,26,7.803,44.8,41.4,1.004,1.123,0.686,0.66,10.3,27,0,0,0,0,22
5.2,331.19,21.933,30.5,22.875,20,22,13,33,31.498,31,34.705,14,10.684,45.2,35.5,1.016,1.12,0.738,0.708,12.9,11,0,1,0,1,11
5.1,506.72,44.702,49.0,47.58,37,41,14,79,74.73,75,85.261,28,6.756,37.3,50.7,0.996,1.137,0.634,0.596,8.0,12,0,0,0,0,12
6.3,339.5,28.707,35.5,30.972,24,27,16,48,44.662,45,50.361,19,7.544,42.2,46.7,0.992,1.119,0.688,0.638,6.7,15,0,0,0,0,12
5.1,258.3,21.348,28.0,21.943,19,21,12,35,33.487,33,37.116,14,7.827,42.4,42.4,1.015,1.125,0.665,0.647,6.1,10,0,0,0,0,10
6.0,449.55,35.321,48.0,36.614,32,35,24,55,52.822,52,58.492,23,8.645,44.2,38.5,1.016,1.125,0.704,0.679,9.6,22,0,0,0,0,21
5.1,359.42,29.697,42.0,30.506,27,30,23,47,44.465,44,49.402,20,8.169,45.5,38.6,1.011,1.123,0.693,0.675,11.4,22,0,0,0,0,19
7.1,480.01,38.874,49.0,40.625,34,38,19,64,60.534,60,67.631,25,8.0,41.7,43.3,1.009,1.127,0.677,0.648,8.3,16,0,0,1,0,18
5.1,315.41,26.95,31.0,28.233,23,24,10,45,44.24,44,49.86,17,7.168,38.6,47.7,1.005,1.133,0.642,0.612,6.8,6,0,0,0,0,10
6.2,436.56,37.584,51.5,39.341,33,37,28,61,56.891,57,63.936,26,7.659,45.6,42.1,0.998,1.122,0.69,0.659,10.5,27,0,0,0,0,22
5.3,404.51,34.498,44.5,36.0,30,33,22,57,54.225,54,60.773,23,7.491,42.6,44.4,1.004,1.125,0.667,0.639,7.4,21,0,0,0,0,17
5.1,404.56,35.837,42.0,38.069,30,32,19,60,57.665,58,65.394,24,6.975,41.4,48.3,0.994,1.127,0.656,0.618,6.9,18,0,0,0,0,18
5.1,393.55,34.133,41.0,36.108,29,32,17,59,55.876,56,63.85,21,7.028,37.5,48.2,0.998,1.14,0.645,0.61,12.5,16,0,0,0,0,13
5.1,328.43,25.863,35.5,27.148,23,25,19,41,39.44,39,43.823,16,8.421,41.0,41.0,1.011,1.124,0.696,0.663,10.3,17,0,0,0,0,14
5.1,332.39,27.676,38.0,28.5,25,28,19,44,41.363,41,45.903,19,8.107,46.3,39.0,1.009,1.12,0.695,0.675,9.8,18,0,0,0,0,18
5.1,296.36,24.676,33.5,25.5,22,25,16,41,38.363,38,42.903,16,7.799,42.1,42.1,1.01,1.129,0.671,0.649,10.5,15,0,0,0,0,11
5.1,282.23,20.455,28.0,19.744,20,22,9,31,30.822,29,33.139,14,9.732,48.3,31.0,1.063,1.143,0.681,0.705,0.0,6,0,0,0,0,10
5.1,258.33,19.568,27.5,20.409,18,19,13,29,28.462,28,31.368,12,9.226,42.9,35.7,1.016,1.12,0.729,0.699,14.3,11,0,0,0,1,10
5.1,277.75,19.374,28.0,20.261,18,20,16,28,26.684,26,28.814,12,10.683,46.2,30.8,1.026,1.108,0.779,0.745,11.5,16,0,0,1,0,12
5.1,384.88,27.647,35.0,28.676,25,26,15,43,43.302,42,47.601,15,9.164,35.7,40.5,1.031,1.133,0.683,0.658,9.5,12,0,0,1,0,12
5.5,607.69,47.274,68.5,48.324,44,50,35,73,68.421,67,75.243,32,9.07,47.8,34.3,1.021,1.123,0.721,0.706,10.4,33,0,0,0,0,29
6.0,380.48,30.058,42.0,31.392,27,30,22,47,44.509,44,49.369,20,8.647,45.5,38.6,1.012,1.122,0.713,0.683,9.1,20,0,0,0,0,18
5.1,361.26,25.234,36.0,26.636,23,25,18,35,33.673,33,36.09,17,10.947,51.5,30.3,1.02,1.094,0.807,0.765,6.1,16,0,0,2,1,15
5.1,451.47,36.127,54.5,36.415,34,38,26,55,52.12,51,56.82,25,8.852,49.0,33.3,1.022,1.114,0.714,0.708,9.8,21,0,0,0,1,22
5.4,242.32,19.052,27.0,20.159,17,19,16,29,27.142,27,29.787,13,8.975,48.1,37.0,1.005,1.103,0.747,0.706,7.4,16,0,0,0,0,12
5.4,359.41,29.896,42.0,30.71,27,30,23,47,44.473,44,49.03,21,8.168,47.7,38.6,1.011,1.114,0.698,0.679,6.8,22,0,0,0,0,20
5.6,367.49,32.321,43.5,34.12,28,31,19,52,48.578,49,54.813,23,7.5,46.9,42.9,0.991,1.119,0.696,0.66,10.2,17,0,0,0,3,14
6.1,310.38,26.402,33.5,27.466,23,25,14,43,41.254,41,45.946,18,7.57,43.9,43.9,1.006,1.121,0.67,0.644,4.9,11,0,0,0,0,14
4.7,222.64,15.88,22.0,16.063,15,16,9,23,22.833,22,24.605,10,10.12,45.5,31.8,1.038,1.118,0.73,0.722,9.1,6,0,0,1,0,10
5.9,481.7,43.724,52.0,46.904,36,41,22,76,70.09,71,79.929,30,6.785,42.3,49.3,0.987,1.126,0.661,0.616,7.0,22,0,0,0,0,18
5.1,421.53,34.989,45.0,36.284,31,34,22,58,55.505,55,62.774,22,7.664,40.0,43.6,1.009,1.141,0.66,0.636,12.7,22,0,0,0,0,16
5.1,322.42,25.622,36.0,26.932,23,27,17,41,37.229,37,41.199,17,8.714,45.9,37.8,1.006,1.113,0.728,0.692,10.8,16,0,0,0,0,13
5.1,305.79,24.009,29.5,25.114,21,23,12,39,37.469,37,41.764,15,8.265,40.5,43.2,1.013,1.129,0.679,0.649,8.1,11,0,0,1,0,10
5.1,317.67,20.578,29.5,19.642,21,23,12,30,30.356,28,32.538,12,11.345,42.9,25.0,1.084,1.162,0.702,0.735,10.7,11,0,0,1,0,10
5.1,331.74,23.659,34.0,23.534,23,24,15,34,34.465,33,37.309,14,10.053,42.4,30.3,1.044,1.131,0.713,0.717,15.2,12,0,0,1,1,12
5.113,220.26,17.622,22.0,17.977,16,16,8,28,28.596,28,32.073,10,7.866,35.7,42.9,1.021,1.145,0.642,0.629,14.3,6,0,0,0,1,6
5.1,297.35,24.171,32.0,24.745,22,23,14,38,37.582,37,41.986,15,8.036,40.5,40.5,1.016,1.135,0.669,0.653,13.5,12,0,0,0,1,11
5.113,252.3,20.908,29.0,21.523,19,20,14,32,31.269,31,34.863,14,8.139,45.2,38.7,1.009,1.125,0.694,0.674,12.9,12,0,0,0,1,12
5.113,356.42,29.159,36.0,29.932,26,27,14,47,46.785,46,52.152,18,7.748,39.1,43.5,1.017,1.134,0.651,0.634,8.7,12,0,0,0,1,12
5.6,340.37,27.106,38.0,27.409,25,27,19,43,42.018,41,46.322,17,8.302,41.5,39.0,1.025,1.13,0.669,0.661,9.8,16,0,0,0,0,14
5.113,443.95,32.636,39.0,33.864,29,30,15,52,52.505,51,57.767,18,8.705,35.3,43.1,1.03,1.133,0.664,0.64,5.9,12,0,0,1,0,12
5.113,434.52,33.303,42.0,34.25,30,31,16,53,53.4,52,58.906,19,8.356,36.5,42.3,1.027,1.133,0.659,0.64,7.7,12,0,0,0,1,12
5.1,360.41,29.192,42.0,29.75,27,30,23,46,43.683,43,48.485,19,8.382,44.2,37.2,1.016,1.128,0.692,0.679,14.0,22,0,0,0,0,18
5.7,414.38,30.342,45.0,29.563,30,33,23,46,45.222,43,49.504,19,9.637,44.2,30.2,1.052,1.151,0.688,0.706,14.0,22,0,0,0,0,18
5.0,507.63,41.999,52.0,43.478,37,40,23,70,67.81,67,76.438,26,7.577,38.8,44.8,1.012,1.141,0.649,0.627,10.4,22,0,0,0,0,18
5.6,343.42,28.983,41.0,30.051,26,29,23,46,43.138,43,48.192,20,7.987,46.5,39.5,1.003,1.121,0.699,0.674,11.6,22,0,0,0,0,20
5.4,357.45,30.509,42.0,31.813,27,30,23,49,46.022,46,51.607,21,7.771,45.7,41.3,1.0,1.122,0.692,0.663,10.9,22,0,0,0,0,20
5.9,570.67,46.54,61.5,47.693,42,47,28,77,73.171,72,81.601,29,7.926,40.3,41.7,1.016,1.133,0.662,0.646,11.1,27,0,0,0,0,21
5.442,414.51,34.772,46.0,36.034,31,34,21,56,53.334,53,59.73,23,7.821,43.4,41.5,1.006,1.127,0.68,0.656,11.3,18,0,0,0,0,19
5.0,346.46,26.906,36.0,28.159,24,26,18,44,42.643,42,47.82,15,8.249,35.7,42.9,1.015,1.139,0.67,0.641,14.3,16,0,0,0,0,11
5.0,312.42,26.531,33.0,27.819,23,25,12,45,43.123,43,49.106,16,7.266,37.2,46.5,1.003,1.142,0.647,0.617,14.0,10,0,0,0,1,7
5.1,463.92,34.964,43.0,35.466,32,34,14,56,55.749,54,61.429,20,8.591,37.0,40.7,1.032,1.138,0.657,0.647,9.3,12,0,0,1,1,11
5.15,375.44,30.893,43.0,31.75,28,31,23,49,46.534,46,51.947,21,8.162,45.7,39.1,1.012,1.129,0.69,0.672,10.9,22,0,0,0,0,20
5.117,431.92,33.535,41.0,34.557,30,32,14,54,53.094,52,59.01,20,8.306,38.5,42.3,1.021,1.135,0.665,0.645,9.6,12,0,0,1,1,11
5.05,466.95,33.405,44.0,34.142,31,33,16,52,51.833,50,56.807,18,9.339,36.0,38.0,1.037,1.136,0.683,0.668,12.0,12,0,0,1,1,11
5.5,213.26,17.886,24.5,18.517,16,18,12,29,27.167,27,30.365,12,7.899,44.4,40.7,1.006,1.125,0.686,0.662,11.1,11,0,0,0,0,10
5.1,340.41,28.961,42.0,30.046,26,30,23,46,42.036,42,46.694,21,8.105,50.0,38.1,1.001,1.112,0.715,0.69,9.5,22,0,0,0,0,19
5.1,307.35,25.323,35.5,25.978,23,26,18,40,37.447,37,41.535,18,8.307,48.6,37.8,1.012,1.123,0.702,0.684,8.1,17,0,0,0,0,16
5.0,346.38,27.665,40.5,27.989,26,29,23,43,40.8,40,45.069,18,8.659,45.0,35.0,1.02,1.127,0.7,0.692,15.0,23,0,0,0,0,18
7.854,439.5,36.665,53.0,37.688,33,40,25,61,54.567,54,60.069,26,8.139,48.1,38.9,1.011,1.112,0.698,0.679,5.6,24,0,0,0,0,19
7.0,570.69,48.793,68.0,50.739,43,51,32,81,73.203,73,81.228,35,7.818,47.9,41.1,1.003,1.113,0.695,0.668,5.5,30,0,0,0,0,26
5.1,378.46,29.532,42.0,30.631,27,30,23,45,42.625,42,46.954,20,9.011,47.6,35.7,1.015,1.118,0.729,0.703,9.5,22,0,0,0,0,20
6.2,312.42,26.531,33.0,27.819,23,25,12,45,43.123,43,49.106,16,7.266,37.2,46.5,1.003,1.142,0.647,0.617,14.0,10,0,0,0,1,7
5.338,458.55,39.256,55.5,40.784,35,40,30,62,57.014,57,63.149,29,8.045,50.9,38.6,1.0,1.108,0.716,0.689,7.0,29,0,0,0,0,27
5.2,404.95,32.654,38.0,34.415,28,30,14,55,53.425,53,60.505,19,7.641,35.8,47.2,1.008,1.142,0.649,0.616,11.3,12,0,0,1,0,10
5.0,475.4,34.718,41.5,36.597,30,33,17,57,54.523,54,61.161,22,8.804,40.7,44.4,1.01,1.133,0.678,0.643,7.4,17,0,1,0,0,14
5.385,471.97,34.47,46.5,35.477,32,35,19,53,51.396,50,56.472,20,9.439,40.0,36.0,1.028,1.129,0.71,0.689,14.0,17,0,0,1,1,14
5.5,387.48,32.751,43.5,34.029,29,33,18,54,50.232,50,56.232,22,7.75,44.0,42.0,1.005,1.125,0.681,0.655,10.0,17,0,0,0,1,14
5.0,255.36,22.268,28.5,23.597,19,21,15,38,35.811,36,40.983,14,7.093,38.9,47.2,0.995,1.138,0.655,0.619,13.9,15,0,0,0,0,10
5.4,532.46,36.025,41.5,37.642,32,34,13,58,57.541,56,64.128,20,9.508,35.7,42.9,1.028,1.145,0.672,0.643,8.9,11,0,1,0,0,11
5.0,529.57,41.756,58.5,42.159,39,43,30,65,62.53,61,69.453,28,8.681,45.9,36.1,1.025,1.139,0.691,0.685,11.5,29,0,0,0,0,25
5.1,368.45,30.64,38.5,31.722,27,30,17,51,48.527,48,54.489,20,7.676,41.7,43.8,1.011,1.135,0.661,0.638,8.3,17,0,0,0,0,13
5.0,476.89,35.797,52.0,35.995,34,38,26,53,50.596,49,54.942,25,9.732,51.0,30.6,1.033,1.121,0.735,0.731,8.2,24,0,0,1,0,24
5.1,308.35,22.239,30.5,22.534,21,22,14,34,34.327,33,37.412,12,9.344,36.4,36.4,1.04,1.134,0.683,0.674,12.1,11,0,0,0,0,10
5.1,411.46,33.213,49.5,33.756,31,35,28,52,48.785,48,53.983,22,8.572,45.8,35.4,1.016,1.125,0.703,0.692,14.6,27,0,0,0,0,21
6.2,441.46,33.702,46.0,33.637,32,35,20,53,51.763,50,57.623,21,8.829,42.0,36.0,1.035,1.152,0.673,0.674,14.0,18,0,0,0,0,18
5.1,287.35,24.214,36.0,25.074,22,25,22,38,35.043,35,39.152,17,8.21,48.6,37.1,1.001,1.119,0.716,0.692,14.3,22,0,0,0,0,17
5.0,366.46,30.971,38.0,32.239,27,29,18,51,49.342,49,55.358,20,7.479,40.8,44.9,1.007,1.13,0.658,0.632,8.2,18,0,0,0,0,16
5.9,394.47,30.048,43.0,30.881,28,31,23,46,43.945,43,48.535,19,9.174,44.2,34.9,1.022,1.129,0.718,0.699,14.0,22,0,0,0,0,18
6.1,453.32,31.943,44.0,33.068,29,32,23,49,46.803,46,51.369,21,9.855,45.7,37.0,1.017,1.117,0.719,0.694,8.7,22,0,1,0,0,20
5.1,408.87,31.745,44.0,32.574,29,32,23,49,46.898,46,51.472,21,8.888,45.7,37.0,1.02,1.119,0.708,0.69,8.7,22,0,0,1,0,20
5.1,338.43,28.199,36.5,29.302,25,28,17,47,44.309,44,50.236,18,7.692,40.9,43.2,1.007,1.142,0.666,0.641,13.6,17,0,0,0,0,13
5.0,331.37,27.323,39.5,27.978,25,28,23,42,39.447,39,43.535,20,8.497,51.3,35.9,1.011,1.116,0.717,0.701,7.7,23,0,0,0,0,20
5.0,530.5,41.755,49.5,44.006,36,39,18,68,65.625,65,73.405,26,8.162,40.0,44.6,1.01,1.129,0.677,0.642,7.7,17,0,0,2,1,15
5.0,380.59,30.157,33.0,32.841,25,27,11,51,49.051,49,55.404,17,7.767,34.7,49.0,1.001,1.131,0.67,0.615,8.2,10,0,0,0,0,7
6.0,327.19,22.417,32.0,23.625,20,23,17,34,31.178,31,34.124,16,10.555,51.6,35.5,1.006,1.101,0.762,0.723,6.5,16,0,1,0,0,15
5.0,515.66,44.858,61.0,47.074,39,45,29,74,67.767,68,75.893,32,7.583,47.1,42.6,0.997,1.116,0.692,0.66,7.4,26,0,0,0,0,25
7.6,378.46,32.488,49.0,33.807,29,34,26,52,46.92,47,52.109,24,8.052,51.1,38.3,0.998,1.109,0.719,0.691,8.5,24,0,0,0,1,19
5.6,281.4,24.795,31.0,26.358,21,23,16,42,39.694,40,45.398,16,7.035,40.0,47.5,0.992,1.135,0.659,0.62,12.5,16,0,0,0,0,11
5.1,333.36,26.992,39.5,27.461,25,28,23,41,38.632,38,42.666,20,8.773,52.6,34.2,1.017,1.123,0.723,0.71,7.9,23,0,0,0,0,20
5.0,485.99,38.257,47.5,39.563,34,37,19,62,60.047,59,66.971,24,8.237,40.7,42.4,1.018,1.135,0.671,0.648,8.5,17,0,0,1,0,17
5.1,392.67,27.621,37.5,28.818,25,28,18,40,37.913,37,40.656,19,10.613,51.4,32.4,1.025,1.099,0.779,0.747,2.7,17,0,0,3,0,16
5.1,328.18,21.911,32.0,22.87,20,23,17,33,30.396,30,33.207,15,10.939,50.0,33.3,1.013,1.107,0.762,0.73,10.0,16,0,1,0,0,14
5.7,391.83,30.197,43.0,30.807,28,31,21,45,42.913,42,46.558,21,9.329,50.0,33.3,1.022,1.109,0.733,0.719,7.1,18,0,0,1,0,21
5.1,371.42,30.896,43.0,31.71,28,31,21,48,45.473,45,50.03,22,8.254,48.9,37.8,1.011,1.112,0.705,0.687,6.7,18,0,0,0,0,21
5.1,512.59,41.924,58.0,42.949,38,44,24,69,63.941,63,71.11,28,8.136,44.4,39.7,1.015,1.129,0.682,0.665,9.5,20,0,0,0,0,20
5.1,399.55,33.707,44.5,35.972,29,32,24,53,49.662,50,55.361,24,7.991,48.0,42.0,0.993,1.107,0.719,0.674,6.0,23,0,0,0,0,21
6.0,403.55,33.223,44.0,35.222,29,32,23,53,49.982,50,55.943,22,8.071,44.0,42.0,1.0,1.119,0.704,0.664,10.0,22,0,0,0,0,19
5.05,447.92,34.25,42.0,35.012,31,33,14,55,54.422,53,60.219,20,8.451,37.7,41.5,1.027,1.136,0.661,0.646,9.4,12,0,0,1,1,11
5.1,342.43,29.488,41.0,30.807,26,29,23,47,43.92,44,49.109,21,7.782,47.7,40.9,0.998,1.116,0.7,0.67,9.1,22,0,0,0,0,20
5.0,370.42,29.828,40.0,30.415,27,30,20,49,46.971,46,52.283,19,8.053,41.3,41.3,1.021,1.137,0.661,0.648,8.7,20,0,0,0,0,14
5.113,383.89,28.152,35.0,29.432,25,26,15,44,44.084,43,48.518,16,8.928,37.2,41.9,1.025,1.128,0.684,0.655,7.0,12,0,0,1,0,12
5.2,375.45,28.314,38.0,29.063,26,27,16,44,44.196,43,48.74,16,8.731,37.2,39.5,1.028,1.133,0.676,0.658,11.6,12,0,0,0,1,12
5.113,448.55,34.83,43.0,36.012,31,32,16,56,56.283,55,62.322,20,8.155,36.4,43.6,1.023,1.133,0.655,0.633,7.3,12,0,0,0,1,12
5.0,358.48,31.542,41.0,33.33,27,30,22,52,48.687,49,54.939,22,7.316,44.9,44.9,0.994,1.121,0.68,0.644,8.2,22,0,0,0,0,18
5.1,325.77,24.955,35.5,25.591,23,26,18,38,35.702,35,38.934,17,9.308,48.6,34.3,1.02,1.112,0.731,0.713,8.6,17,0,0,1,0,16
5.1,291.41,23.369,29.5,24.904,20,22,13,39,37.222,37,41.74,14,7.876,37.8,45.9,1.006,1.128,0.673,0.632,8.1,11,0,0,0,0,9
5.0,441.51,32.661,41.0,33.222,30,32,15,53,52.872,51,58.665,18,8.657,35.3,41.2,1.037,1.15,0.651,0.64,9.8,12,0,0,0,0,11
5.004,443.38,32.33,43.0,34.171,29,32,20,48,45.644,45,49.917,21,9.853,46.7,35.6,1.014,1.109,0.759,0.718,8.9,18,0,0,2,0,19
5.1,476.65,39.739,49.0,42.171,34,38,18,66,62.069,62,69.524,26,7.688,41.9,45.2,1.001,1.121,0.68,0.641,6.5,16,0,0,0,2,14
5.0,577.74,49.868,62.0,52.267,43,48,26,83,78.072,78,87.557,34,7.407,43.6,44.9,1.001,1.123,0.67,0.639,6.4,24,0,0,0,0,26
5.1,416.61,34.54,39.0,36.966,29,31,14,59,57.061,57,64.896,20,7.309,35.1,49.1,1.001,1.139,0.649,0.606,10.5,12,0,0,0,0,10
5.5,374.5,30.675,42.0,32.455,27,30,23,48,44.996,45,50.029,21,8.322,46.7,40.0,1.0,1.112,0.721,0.682,8.9,22,0,0,0,0,20
5.4,394.91,29.976,42.0,31.551,27,30,23,45,42.436,42,46.558,20,9.403,47.6,35.7,1.01,1.109,0.751,0.714,9.5,22,0,0,1,0,20
4.858,549.68,46.815,60.0,48.745,41,46,26,77,72.305,72,80.727,32,7.634,44.4,43.1,1.004,1.121,0.677,0.65,6.9,24,0,0,0,0,26
6.6,415.54,35.805,45.5,37.551,31,35,18,60,56.0,56,63.062,24,7.42,42.9,44.6,1.0,1.126,0.671,0.639,8.9,17,0,0,0,1,14
5.1,390.46,31.914,44.0,32.756,29,32,23,51,48.636,48,54.445,21,8.135,43.8,39.6,1.013,1.134,0.682,0.665,12.5,22,0,0,0,0,19
5.1,372.47,31.531,43.0,32.819,28,31,23,51,48.123,48,54.106,21,7.76,43.8,41.7,1.003,1.127,0.684,0.657,12.5,22,0,0,0,0,19
5.1,163.21,13.161,18.0,13.551,12,13,10,22,21.276,21,24.322,7,7.772,33.3,42.9,1.013,1.158,0.645,0.627,23.8,10,0,0,0,0,5
5.4,459.45,34.085,47.0,33.574,33,36,20,53,52.276,50,57.963,21,9.189,42.0,34.0,1.046,1.159,0.671,0.682,14.0,18,0,0,0,0,18
5.1,465.38,34.987,48.5,36.33,32,35,24,53,50.763,50,56.366,22,9.308,44.0,36.0,1.015,1.127,0.727,0.7,16.0,23,0,0,2,1,18
5.8,433.89,32.723,41.0,33.25,30,32,14,52,51.538,50,56.804,19,8.678,38.0,40.0,1.031,1.136,0.665,0.654,10.0,12,0,0,1,1,11
5.1,360.41,28.297,37.0,28.694,26,28,17,46,45.149,44,50.785,17,8.191,38.6,40.9,1.026,1.154,0.652,0.643,13.6,16,0,0,0,0,12
5.1,401.87,31.691,39.0,32.75,28,31,14,51,48.898,48,53.641,21,8.372,43.8,41.7,1.019,1.118,0.682,0.66,2.1,12,0,0,1,0,15
