pXC50,nBM,nAB,nBT,Si,nAT,SCBO,nBO,MW,Sv,Sp,Se,nC,RBF,nSK,nN,nH,nCsp2,nDB,C.,X.,O.,nF,N.,nO
5.0,14,12,51,53.641,48,39.0,31,401.87,31.691,32.75,48.898,21,0.039,28,1,20,15,2,43.8,2.1,10.4,0,2.1,5
6.866,27,25,56,55.238,50,52.5,38,438.54,35.39,36.909,50.323,25,0.036,32,4,18,21,2,50.0,0.0,4.0,0,8.0,2
5.959,23,22,60,62.401,56,48.0,36,428.52,36.697,38.205,56.232,26,0.1,32,2,24,20,1,46.4,0.0,7.1,0,3.6,4
7.18,22,20,71,74.308,66,52.0,40,469.64,41.385,43.836,65.65,28,0.056,35,5,31,17,2,42.4,0.0,3.0,0,7.6,2
6.413,24,23,61,63.694,57,50.5,38,457.52,37.906,38.904,57.778,26,0.082,34,3,23,22,1,45.6,0.0,8.8,0,5.3,5
7.678,24,23,51,54.543,48,46.5,34,422.44,33.165,33.381,49.341,23,0.059,31,4,17,21,1,47.9,6.3,2.1,3,8.3,1
6.237,29,28,60,61.93,56,54.0,39,484.96,38.997,40.301,56.673,28,0.1,35,2,21,26,1,50.0,1.8,7.1,0,3.6,4
6.569,23,22,52,55.962,49,47.0,35,442.43,33.594,33.29,50.996,22,0.077,32,4,17,20,1,44.9,6.1,6.1,3,8.2,3
4.915,22,22,73,76.514,68,51.0,40,467.67,42.197,45.143,67.207,29,0.068,35,5,33,18,0,42.6,0.0,1.5,0,7.4,1
5.991,21,21,79,84.218,74,53.5,43,516.72,44.976,47.614,73.839,28,0.089,38,8,36,15,0,37.8,0.0,2.7,0,10.8,2
6.284,27,26,86,90.716,80,63.0,49,579.78,49.997,52.62,79.941,32,0.07,43,9,37,20,1,40.0,0.0,2.5,0,11.3,2
5.824,22,22,54,57.438,51,42.0,31,373.5,32.563,34.336,50.789,22,0.074,28,5,23,18,0,43.1,0.0,2.0,0,9.8,1
6.169,23,23,69,73.099,65,49.5,38,453.64,40.67,43.381,64.323,28,0.101,34,5,31,19,0,43.1,0.0,1.5,0,7.7,1
5.969,27,26,85,89.427,79,63.0,49,580.76,49.691,52.069,79.167,32,0.071,43,8,36,20,1,40.5,0.0,3.8,0,10.1,3
8.398,28,26,75,78.75,69,64.0,49,590.63,46.413,46.83,70.919,31,0.053,43,6,26,23,2,44.9,5.8,2.9,4,8.7,2
4.602,26,24,80,86.739,76,62.0,48,603.71,49.104,50.421,77.276,32,0.088,44,7,32,24,2,42.1,3.9,2.6,3,9.2,2
5.888,23,22,50,52.527,47,43.0,31,389.52,31.697,33.461,47.098,21,0.06,28,5,19,19,1,44.7,0.0,2.1,0,10.6,1
5.0,24,23,49,50.113,45,45.5,33,384.42,31.391,31.955,45.691,22,0.082,29,4,16,21,1,48.9,0.0,6.7,0,8.9,3
5.046,5,0,59,64.568,57,35.0,30,391.51,33.685,35.392,57.436,21,0.085,28,1,29,7,5,36.8,0.0,10.5,0,1.8,6
7.699,27,25,68,68.899,62,56.5,42,494.66,41.497,43.955,61.858,29,0.059,36,4,26,21,2,46.8,0.0,3.2,0,6.5,2
4.0,16,15,31,32.657,29,28.5,20,257.35,19.875,20.96,29.236,12,0.065,18,5,11,11,1,41.4,0.0,0.0,0,17.2,0
6.038,23,22,51,53.737,48,44.0,32,405.52,32.411,33.915,48.425,21,0.078,29,5,19,19,1,43.8,0.0,4.2,0,10.4,2
6.125,22,22,74,78.095,69,52.0,41,483.68,42.713,45.393,68.527,28,0.068,36,7,33,17,0,40.6,0.0,1.4,0,10.1,1
5.0,13,11,44,47.705,42,34.5,27,382.28,27.879,28.983,42.996,16,0.091,25,5,17,11,2,38.1,4.8,4.8,0,11.9,2
6.656,26,23,83,88.189,78,64.5,50,612.72,50.461,51.904,79.13,33,0.133,45,6,33,24,3,42.3,1.3,6.4,1,7.7,5
6.206,21,18,52,56.67,50,47.0,34,437.45,34.385,34.591,51.451,24,0.058,32,3,18,19,2,48.0,6.0,4.0,3,6.0,2
5.174,22,17,82,86.282,77,61.5,48,641.67,50.216,53.387,77.578,32,0.085,43,4,34,20,5,41.6,2.6,5.2,0,5.2,4
4.0,17,17,39,42.066,37,31.5,23,280.37,23.762,24.841,37.029,15,0.103,21,6,16,13,0,40.5,0.0,0.0,0,16.2,0
4.167,19,17,41,43.986,39,36.5,26,321.37,26.171,26.745,39.582,17,0.122,24,5,15,16,2,43.6,0.0,5.1,0,12.8,2
5.233,22,22,75,79.012,70,52.0,41,482.69,43.218,46.148,69.309,29,0.067,36,6,34,18,0,41.4,0.0,1.4,0,8.6,1
4.0,18,17,38,40.568,36,32.5,23,277.36,23.741,24.836,35.927,16,0.079,21,5,15,15,1,44.4,0.0,0.0,0,13.9,0
4.959,24,22,68,71.441,64,53.0,40,484.59,41.465,43.182,64.327,29,0.132,36,2,28,23,2,45.3,0.0,7.8,0,3.1,5
4.602,18,16,61,65.235,58,45.0,35,438.52,36.653,37.875,58.771,24,0.131,32,2,26,17,2,41.4,0.0,10.3,0,3.4,6
7.585,26,23,84,89.446,79,65.5,51,629.72,51.35,52.597,80.425,34,0.131,46,5,33,25,3,43.0,2.5,6.3,2,6.3,5
5.947,22,22,82,87.424,77,55.0,44,526.76,46.788,49.921,76.396,30,0.085,39,8,38,17,0,39.0,0.0,1.3,0,10.4,1
7.796,33,33,60,61.315,55,56.5,40,460.53,38.246,39.273,55.451,27,0.1,35,6,20,26,0,49.1,0.0,3.6,0,10.9,2
6.03,23,22,83,88.716,78,58.0,46,555.76,47.997,50.62,77.941,30,0.072,41,9,37,18,1,38.5,0.0,2.6,0,11.5,2
7.357,33,33,60,61.026,55,56.5,40,476.6,38.718,40.466,55.2,27,0.1,35,6,20,26,0,49.1,0.0,1.8,0,10.9,1
6.693,26,26,83,87.298,77,59.0,46,535.77,47.568,50.711,76.287,31,0.072,40,9,37,19,0,40.3,0.0,0.0,0,11.7,0
5.242,23,22,75,79.095,70,54.0,42,495.69,43.713,46.393,69.527,29,0.067,37,7,33,18,1,41.4,0.0,1.4,0,10.0,1
8.301,30,29,61,63.73,57,54.5,39,462.55,38.772,40.034,57.334,27,0.098,35,6,22,26,1,47.4,0.0,3.5,0,10.5,2
6.959,33,33,64,66.019,59,57.5,41,473.58,40.079,41.586,59.109,28,0.094,36,7,23,26,0,47.5,0.0,1.7,0,11.9,1
6.62,33,33,64,66.019,59,57.5,41,473.58,40.079,41.586,59.109,28,0.094,36,7,23,26,0,47.5,0.0,1.7,0,11.9,1
4.086,9,6,45,48.574,43,32.0,26,349.45,27.325,28.574,43.76,16,0.089,24,3,19,9,3,37.2,0.0,9.3,0,7.0,4
8.699,33,33,64,66.019,59,57.5,41,473.58,40.079,41.586,59.109,28,0.094,36,7,23,26,0,47.5,0.0,1.7,0,11.9,1
5.936,22,22,85,91.965,81,55.0,44,543.79,48.535,51.893,80.388,31,0.141,40,7,41,17,0,38.3,0.0,2.5,0,8.6,2
5.081,25,24,78,83.431,74,57.0,44,538.71,46.648,49.057,73.963,31,0.115,40,6,34,23,1,41.9,0.0,4.1,0,8.1,3
6.699,20,18,55,59.749,52,47.0,36,456.47,34.922,34.847,53.872,22,0.055,33,6,19,18,2,42.3,5.8,3.8,3,11.5,2
6.0,26,23,73,77.521,69,58.5,44,539.64,45.003,46.438,69.749,30,0.11,40,5,29,24,3,43.5,0.0,7.2,0,7.2,5
6.301,22,18,58,62.191,55,52.0,39,512.93,38.28,38.426,57.018,25,0.121,36,4,19,23,4,45.5,5.5,7.3,2,7.3,4
5.523,26,22,48,49.747,45,49.0,34,450.53,32.953,33.943,46.287,21,0.083,31,4,14,21,4,46.7,0.0,8.9,0,8.9,4
6.052,24,22,84,89.846,79,60.0,47,591.82,48.899,51.722,79.345,29,0.095,42,9,37,17,2,36.7,0.0,3.8,0,11.4,3
6.602,28,28,54,56.189,50,49.0,35,409.49,34.025,35.063,50.342,23,0.111,31,7,19,22,0,46.0,0.0,2.0,0,14.0,1
6.229,28,28,57,59.604,53,50.0,36,423.52,35.552,36.824,53.225,24,0.105,32,7,21,22,0,45.3,0.0,1.9,0,13.2,1
5.066,26,26,46,46.697,42,44.0,31,373.47,29.643,30.938,42.331,20,0.087,27,5,15,19,0,47.6,0.0,2.4,0,11.9,1
6.917,28,27,63,67.002,59,56.5,42,522.52,40.363,40.267,61.091,27,0.095,38,4,21,23,1,45.8,5.1,6.8,3,6.8,4
5.06,26,26,46,46.697,42,44.0,31,373.47,29.643,30.938,42.331,20,0.087,27,5,15,19,0,47.6,0.0,2.4,0,11.9,1
7.569,33,33,64,67.038,59,60.5,44,527.55,41.229,41.398,60.647,28,0.094,39,7,20,26,0,47.5,5.1,1.7,3,11.9,1
5.0,24,22,72,77.522,68,56.0,43,532.64,43.494,44.722,69.029,27,0.111,39,8,29,20,2,39.7,1.5,4.4,1,11.8,3
6.509,28,28,60,63.019,56,51.0,37,437.55,37.079,38.586,56.109,25,0.1,33,7,23,22,0,44.6,0.0,1.8,0,12.5,1
7.699,33,33,61,62.604,56,56.5,40,459.55,38.552,39.824,56.225,27,0.098,35,7,21,26,0,48.2,0.0,1.8,0,12.5,1
6.218,22,22,75,79.384,70,52.0,41,482.7,43.02,45.944,69.301,28,0.067,36,8,34,17,0,40.0,0.0,0.0,0,11.4,0
8.398,25,24,60,65.165,57,52.0,39,494.52,38.449,38.608,58.756,25,0.1,36,6,21,22,1,43.9,5.3,3.5,3,10.5,2
6.328,28,28,60,64.038,56,54.0,40,491.52,38.229,38.398,57.647,25,0.1,36,7,20,22,0,44.6,5.4,1.8,3,12.5,1
4.67,22,22,56,58.438,52,44.0,33,385.51,33.563,35.336,51.789,23,0.071,29,5,23,18,0,44.2,0.0,1.9,0,9.6,1
6.602,22,22,75,79.012,70,52.0,41,482.69,43.218,46.148,69.309,29,0.067,36,6,34,18,0,41.4,0.0,1.4,0,8.6,1
5.0,26,26,41,40.494,37,42.0,29,360.49,27.567,29.364,37.094,19,0.073,25,4,12,19,0,51.4,0.0,0.0,0,10.8,0
5.0,27,27,47,47.348,43,45.5,32,402.93,31.261,33.097,43.109,22,0.064,28,4,15,21,0,51.2,2.3,0.0,0,9.3,0
6.0,27,27,44,44.273,40,45.5,32,406.89,30.118,31.273,40.738,21,0.068,28,4,12,21,0,52.5,5.0,0.0,1,10.0,0
5.0,32,32,65,67.149,60,58.0,42,509.64,40.981,42.688,60.512,27,0.108,37,7,23,24,0,45.0,0.0,3.3,0,11.7,2
5.357,26,26,41,40.438,37,43.0,30,394.93,28.395,30.222,37.418,19,0.073,26,4,11,19,0,51.4,2.7,0.0,0,10.8,0
5.387,26,26,41,40.834,37,43.0,30,378.48,27.95,29.301,37.607,19,0.073,26,4,11,19,0,51.4,2.7,0.0,1,10.8,0
5.155,27,27,45,44.85,41,44.5,31,387.91,30.24,32.091,41.007,22,0.067,27,3,14,22,0,53.7,2.4,0.0,0,7.3,0
5.0,27,27,49,49.475,45,46.5,33,417.94,32.481,34.307,45.218,23,0.082,29,3,16,22,0,51.1,2.2,2.2,0,6.7,1
6.509,19,18,60,65.113,57,47.0,37,470.51,36.827,37.097,58.712,22,0.117,34,6,23,16,1,38.6,1.8,8.8,1,10.5,5
5.602,26,26,50,51.322,46,46.0,33,403.5,31.885,33.154,46.542,21,0.1,29,5,17,19,0,45.7,0.0,4.3,0,10.9,2
5.886,26,26,45,45.78,41,44.0,31,374.46,29.138,30.182,41.549,19,0.089,27,6,14,18,0,46.3,0.0,2.4,0,14.6,1
5.241,24,22,57,61.149,54,47.0,34,437.58,34.981,36.688,54.512,21,0.088,31,7,23,17,2,38.9,0.0,3.7,0,13.0,2
6.283,23,22,85,90.843,80,59.0,47,570.77,49.218,51.83,80.05,31,0.094,42,8,38,18,1,38.8,0.0,3.8,0,10.0,3
5.373,22,22,54,55.939,50,43.0,32,370.49,32.542,34.33,49.687,23,0.074,28,4,22,18,0,46.0,0.0,2.0,0,8.0,1
5.0,25,23,65,69.687,62,51.5,38,469.59,40.046,41.767,62.211,27,0.138,35,5,27,22,2,43.5,0.0,4.8,0,8.1,3
4.022,21,20,37,38.445,34,36.0,25,292.33,23.424,23.773,34.589,15,0.081,22,6,12,14,1,44.1,0.0,2.9,0,17.6,1
5.288,22,22,52,53.734,48,43.0,32,372.46,31.73,33.023,48.131,22,0.077,28,4,20,18,0,45.8,0.0,4.2,0,8.3,2
5.0,22,22,37,37.911,34,36.0,25,289.33,24.082,24.762,34.236,18,0.054,22,3,12,18,0,52.9,2.9,0.0,1,8.8,0
4.585,18,16,72,77.411,69,48.0,38,494.72,42.93,46.523,68.756,27,0.139,35,2,34,17,2,39.1,0.0,7.2,0,2.9,5
5.051,26,22,69,69.982,63,59.0,44,519.67,42.992,45.199,63.076,30,0.101,38,5,25,25,4,47.6,0.0,3.2,0,7.9,2
4.959,18,16,63,67.441,60,45.0,35,436.55,37.465,39.182,60.327,25,0.127,32,2,28,17,2,41.7,0.0,8.3,0,3.3,5
4.959,18,16,66,70.856,63,46.0,36,450.58,38.992,40.943,63.211,26,0.121,33,2,30,17,2,41.3,0.0,7.9,0,3.2,5
5.77,24,22,65,68.026,61,52.0,39,470.56,39.938,41.421,61.443,28,0.123,35,2,26,23,2,45.9,0.0,8.2,0,3.3,5
5.921,26,26,42,42.072,38,42.0,29,343.44,27.401,28.722,38.12,19,0.071,25,5,13,19,0,50.0,0.0,0.0,0,13.2,0
5.301,23,22,44,46.949,41,45.0,33,433.8,30.148,29.415,43.443,19,0.091,30,5,11,18,1,46.3,9.8,4.9,3,12.2,2
6.854,21,21,64,67.944,60,47.5,37,450.56,37.935,39.461,60.505,25,0.125,33,4,27,16,0,41.7,1.7,5.0,1,6.7,3
5.0,27,27,50,51.484,46,46.5,33,399.52,31.971,33.495,46.207,21,0.1,29,7,17,20,0,45.7,0.0,0.0,0,15.2,0
5.0,16,15,61,66.268,58,43.5,34,425.55,35.562,37.017,58.531,21,0.082,31,7,27,8,0,36.2,0.0,5.2,0,12.1,3
5.222,22,21,39,40.072,36,37.5,26,319.42,25.401,26.722,36.12,17,0.077,23,5,13,17,1,47.2,0.0,0.0,0,13.9,0
4.854,22,21,42,43.488,39,38.5,27,333.45,26.928,28.483,39.003,18,0.095,24,5,15,17,1,46.2,0.0,0.0,0,12.8,0
4.0,17,17,42,45.481,40,32.5,24,294.4,25.289,26.603,39.912,16,0.119,22,6,18,13,0,40.0,0.0,0.0,0,15.0,0
5.194,18,17,36,38.152,34,33.5,23,275.34,23.214,24.074,34.043,16,0.028,21,5,13,13,0,47.1,0.0,0.0,0,14.7,0
4.0,18,17,35,36.491,33,31.5,22,279.39,22.885,24.472,32.8,16,0.086,20,3,13,16,1,48.5,0.0,0.0,0,9.1,0
5.553,24,23,49,51.398,46,42.5,30,353.46,30.795,32.358,45.694,22,0.102,27,5,19,21,1,47.8,0.0,0.0,0,10.9,0
4.0,18,17,38,40.86,36,33.5,24,294.35,23.95,24.534,36.473,15,0.079,22,6,14,14,1,41.7,0.0,2.8,0,16.7,1
4.678,18,17,54,57.727,51,39.5,30,360.51,31.87,33.887,50.563,21,0.111,27,6,24,15,1,41.2,0.0,0.0,0,11.8,0
4.194,18,17,35,37.152,33,31.5,22,263.33,22.214,23.074,33.043,15,0.086,20,5,13,15,1,45.5,0.0,0.0,0,15.2,0
4.0,18,17,35,36.491,33,31.5,22,279.39,22.885,24.472,32.8,16,0.086,20,3,13,16,1,48.5,0.0,0.0,0,9.1,0
4.26,22,21,37,37.518,34,37.5,26,338.84,25.207,26.574,34.342,17,0.081,23,4,11,17,1,50.0,2.9,0.0,0,11.8,0
5.602,22,22,85,92.305,81,56.0,45,561.78,48.918,51.83,80.901,31,0.141,41,7,40,17,0,38.3,1.2,2.5,1,8.6,2
5.076,18,17,35,37.152,33,31.5,22,263.33,22.214,23.074,33.043,15,0.086,20,5,13,15,1,45.5,0.0,0.0,0,15.2,0
5.284,22,21,39,40.072,36,37.5,26,319.42,25.401,26.722,36.12,17,0.077,23,5,13,17,1,47.2,0.0,0.0,0,13.9,0
4.0,28,27,56,57.733,52,49.5,35,423.58,35.508,37.767,51.654,25,0.107,31,5,21,23,1,48.1,0.0,0.0,0,9.6,0
4.959,23,21,44,45.697,41,41.5,29,361.46,28.643,29.938,41.331,19,0.091,26,5,15,18,2,46.3,0.0,2.4,0,12.2,1
5.0,19,18,47,50.468,45,38.0,28,366.88,29.842,31.426,45.127,20,0.106,26,4,19,17,1,44.4,2.2,2.2,0,8.9,1
4.569,22,21,37,37.574,34,36.5,25,304.4,24.38,25.716,34.018,17,0.081,22,4,12,17,1,50.0,0.0,0.0,0,11.8,0
6.097,28,24,83,89.263,80,69.0,53,942.28,55.807,58.489,82.196,34,0.157,50,4,30,28,4,42.5,5.0,10.0,0,5.0,8
6.545,26,23,85,90.023,80,64.5,50,610.74,51.472,53.415,80.694,35,0.129,45,4,35,25,3,43.8,1.3,6.3,1,5.0,5
4.319,18,16,45,46.737,42,37.0,27,318.4,27.687,29.012,41.927,20,0.067,24,2,18,17,2,47.6,0.0,4.8,0,4.8,2
4.0,16,15,28,29.186,26,28.5,20,277.76,19.175,20.057,26.676,11,0.071,18,5,8,11,1,42.3,3.8,0.0,0,19.2,0
5.933,20,18,86,93.039,82,57.0,46,614.29,50.264,53.853,82.116,30,0.105,42,7,40,16,2,36.6,1.2,3.7,0,8.5,3
4.509,18,16,69,73.066,65,49.0,39,478.59,40.707,42.398,65.538,27,0.101,35,2,30,17,2,41.5,0.0,9.2,0,3.1,6
5.0,14,12,81,87.76,77,50.0,42,521.74,45.723,48.586,76.832,28,0.086,38,7,39,12,2,36.4,0.0,3.9,0,9.1,3
5.0,27,27,44,43.877,40,45.5,32,423.34,30.562,32.193,40.549,21,0.068,28,4,12,21,0,52.5,5.0,0.0,0,10.0,0
5.0,26,26,45,45.119,41,44.0,31,390.52,29.809,31.58,41.305,20,0.089,27,4,14,19,0,48.8,0.0,2.4,0,9.8,1
5.0,27,27,57,59.152,53,49.5,36,443.57,35.938,37.676,53.309,24,0.105,32,5,21,21,0,45.3,0.0,3.8,0,9.4,2
6.076,27,27,55,56.654,51,48.5,35,428.55,34.917,36.671,51.207,24,0.091,31,4,20,21,0,47.1,0.0,3.9,0,7.8,2
5.0,28,27,53,54.322,49,51.5,36,439.53,34.884,36.154,49.542,24,0.113,32,5,17,21,0,49.0,0.0,4.1,0,10.2,2
6.602,28,28,57,59.604,53,50.0,36,423.52,35.552,36.824,53.225,24,0.105,32,7,21,22,0,45.3,0.0,1.9,0,13.2,1
6.337,25,24,57,60.73,54,48.0,35,426.52,35.772,37.034,54.334,24,0.105,32,6,22,22,1,44.4,0.0,3.7,0,11.1,2
5.721,26,26,42,42.072,38,42.0,29,343.44,27.401,28.722,38.12,19,0.071,25,5,13,19,0,50.0,0.0,0.0,0,13.2,0
4.602,18,16,57,60.611,54,43.0,33,408.49,34.412,35.659,54.56,23,0.123,30,2,24,17,2,42.6,0.0,9.3,0,3.7,5
4.071,21,20,37,38.445,34,36.0,25,292.33,23.424,23.773,34.589,15,0.081,22,6,12,14,1,44.1,0.0,2.9,0,17.6,1
4.469,18,16,50,52.571,47,40.0,30,364.43,30.643,31.682,47.465,21,0.1,27,2,20,17,2,44.7,0.0,8.5,0,4.3,4
5.0,22,20,67,70.108,62,52.0,40,513.71,39.936,42.313,62.683,23,0.075,35,7,27,13,2,37.1,0.0,4.8,0,11.3,3
5.357,32,32,65,67.149,60,58.0,42,509.64,40.981,42.688,60.512,27,0.108,37,7,23,24,0,45.0,0.0,3.3,0,11.7,2
5.0,18,16,54,56.861,50,43.0,33,392.48,32.441,33.517,50.52,21,0.037,29,6,21,16,2,42.0,2.0,2.0,1,12.0,1
5.538,18,17,41,42.488,38,35.5,26,321.44,25.928,27.483,38.003,17,0.073,23,5,15,15,1,44.7,0.0,0.0,0,13.2,0
4.387,23,21,53,55.943,50,44.5,32,403.55,33.223,35.222,49.982,22,0.094,29,5,21,18,2,44.0,0.0,2.0,0,10.0,1
4.886,22,21,39,40.412,36,38.5,27,337.41,25.785,26.659,36.633,17,0.077,24,5,12,17,1,47.2,2.8,0.0,1,13.9,0
4.0,17,17,36,38.651,34,30.5,22,266.34,22.236,23.08,34.145,14,0.083,20,6,14,13,0,41.2,0.0,0.0,0,17.6,0
4.0,18,17,38,40.86,36,33.5,24,294.35,23.95,24.534,36.473,15,0.079,22,6,14,14,1,41.7,0.0,2.8,0,16.7,1
5.252,23,22,42,43.568,39,39.0,27,313.39,26.741,27.836,38.927,19,0.071,24,5,15,19,1,48.7,0.0,0.0,0,12.8,0
5.0,18,17,46,48.318,43,37.5,28,334.41,28.203,29.262,43.247,19,0.087,25,4,18,15,1,44.2,0.0,4.7,0,9.3,2
4.0,17,17,42,43.983,39,33.5,25,291.39,25.268,26.597,38.811,17,0.071,22,5,17,13,0,43.6,0.0,0.0,0,12.8,0
5.42,18,17,38,40.568,36,32.5,23,277.36,23.741,24.836,35.927,16,0.079,21,5,15,15,1,44.4,0.0,0.0,0,13.9,0
4.167,28,27,50,50.903,46,47.5,33,395.52,32.455,34.245,45.887,23,0.1,29,5,17,23,1,50.0,0.0,0.0,0,10.9,0
4.0,22,21,39,40.072,36,37.5,26,319.42,25.401,26.722,36.12,17,0.077,23,5,13,17,1,47.2,0.0,0.0,0,13.9,0
4.081,23,22,46,47.9,43,40.0,28,326.43,28.773,30.353,42.592,21,0.065,25,4,18,20,1,48.8,0.0,0.0,0,9.3,0
4.62,18,16,60,64.026,57,44.0,34,422.52,35.938,37.421,57.443,24,0.133,31,2,26,17,2,42.1,0.0,8.8,0,3.5,5
5.284,18,16,50,52.571,47,40.0,30,364.43,30.643,31.682,47.465,21,0.1,27,2,20,17,2,44.7,0.0,8.5,0,4.3,4
5.602,17,17,57,61.161,54,41.5,33,475.4,34.718,36.597,54.523,22,0.105,30,4,24,14,0,40.7,3.7,3.7,1,7.4,2
5.0,14,11,58,63.734,56,39.5,31,398.53,34.22,36.006,56.178,22,0.121,29,4,27,14,3,39.3,1.8,3.6,1,7.1,2
4.602,19,18,56,59.824,53,44.0,34,457.4,35.239,37.057,53.538,22,0.089,31,6,22,17,1,41.5,3.8,1.9,0,11.3,1
5.0,17,16,43,45.08,40,37.0,28,342.35,26.973,27.097,41.211,18,0.07,25,2,15,14,1,45.0,2.5,10.0,1,5.0,4
5.0,18,17,54,58.485,52,41.5,31,393.48,33.191,34.449,52.451,22,0.185,29,3,23,14,0,42.3,0.0,7.7,0,5.8,4
5.0,30,28,70,74.017,66,60.0,44,581.11,44.664,46.421,67.232,29,0.157,40,4,26,24,2,43.9,3.0,6.1,1,6.1,4
5.886,27,27,57,61.559,53,54.5,41,518.46,37.357,36.205,56.083,24,0.088,37,6,16,21,0,45.3,11.3,1.9,6,11.3,1
6.284,29,29,55,56.84,51,50.5,36,438.95,35.643,37.222,51.12,25,0.091,32,6,19,24,0,49.0,2.0,0.0,0,11.8,0
7.62,29,29,60,62.754,56,52.5,38,468.0,38.192,39.989,56.105,26,0.1,34,7,22,24,0,46.4,1.8,0.0,0,12.5,0
6.699,27,27,67,71.055,63,51.5,38,451.63,39.945,42.415,62.432,27,0.075,34,7,29,20,0,42.9,0.0,0.0,0,11.1,0
6.398,30,29,61,63.893,57,55.5,39,458.57,38.859,40.375,57.0,27,0.098,35,8,22,24,0,47.4,0.0,0.0,0,14.0,0
8.237,33,33,66,68.228,61,58.5,42,504.67,41.573,43.784,60.96,28,0.091,37,8,24,25,0,45.9,0.0,0.0,0,13.1,0
8.092,30,29,62,64.81,58,55.5,39,457.58,39.364,41.131,57.781,28,0.097,35,7,23,24,0,48.3,0.0,0.0,0,12.1,0
7.328,29,29,58,61.331,54,53.5,39,472.51,37.493,37.938,55.218,26,0.086,35,6,19,24,0,48.1,5.6,0.0,3,11.1,0
6.347,18,17,65,69.268,61,46.5,37,464.66,38.341,40.762,61.054,23,0.108,33,8,28,14,1,37.7,0.0,1.6,0,13.1,1
5.0,19,18,54,57.438,51,41.0,31,373.5,32.563,34.336,50.789,22,0.093,28,5,23,17,1,43.1,0.0,2.0,0,9.8,1
5.0,21,21,46,47.113,42,40.5,30,348.39,28.391,28.955,42.691,19,0.043,26,4,16,15,0,45.2,0.0,7.1,0,9.5,3
5.0,22,21,43,43.87,40,38.5,27,336.43,27.546,29.102,40.127,20,0.07,24,0,16,18,1,50.0,0.0,7.5,0,0.0,3
5.0,22,21,46,47.285,43,39.5,28,350.46,29.073,30.864,43.011,21,0.087,25,0,18,18,1,48.8,0.0,7.0,0,0.0,3
7.721,19,18,71,78.324,68,51.0,41,529.63,42.578,43.66,69.392,26,0.113,38,7,30,17,1,38.2,4.4,2.9,3,10.3,2
6.0,28,28,55,56.757,51,49.0,35,425.95,35.149,36.978,50.902,25,0.073,31,5,20,23,0,49.0,2.0,0.0,0,9.8,0
5.0,26,25,77,81.145,72,58.5,45,560.74,46.023,48.398,72.483,29,0.104,40,6,32,19,1,40.3,0.0,5.6,0,8.3,4
6.0,29,28,67,69.351,62,56.0,41,474.61,41.111,43.103,61.774,29,0.06,36,6,26,24,1,46.8,0.0,1.6,0,9.7,1
6.921,33,33,59,60.422,54,56.5,40,478.98,38.159,39.472,54.44,26,0.085,35,8,19,25,0,48.1,1.9,0.0,0,14.8,0
5.0,27,27,80,84.351,75,59.5,46,570.78,47.835,50.705,75.04,31,0.125,41,6,34,21,0,41.3,0.0,4.0,0,8.0,3
6.229,27,27,80,85.37,75,62.5,49,624.75,48.985,50.517,76.578,31,0.125,44,6,31,21,0,41.3,4.0,4.0,3,8.0,3
5.0,27,27,76,79.67,71,58.5,45,575.19,46.421,49.347,71.152,30,0.118,40,6,31,21,0,42.3,1.4,2.8,0,8.5,2
6.387,27,27,76,79.67,71,58.5,45,575.19,46.421,49.347,71.152,30,0.118,40,6,31,21,0,42.3,1.4,2.8,0,8.5,2
6.174,27,27,76,79.726,71,57.5,44,540.75,45.593,48.489,70.829,30,0.118,39,6,32,21,0,42.3,0.0,2.8,0,8.5,2
6.056,27,27,77,80.936,72,58.5,45,556.75,46.308,48.944,72.156,30,0.117,40,6,32,21,0,41.7,0.0,4.2,0,8.3,3
6.409,27,27,80,84.351,75,59.5,46,570.78,47.835,50.705,75.04,31,0.125,41,6,34,21,0,41.3,0.0,4.0,0,8.0,3
5.509,27,27,76,80.066,71,58.5,45,558.74,45.977,48.427,71.341,30,0.118,40,6,31,21,0,42.3,1.4,2.8,1,8.5,2
5.0,27,27,83,87.766,78,60.5,47,584.81,49.362,52.466,77.923,32,0.12,42,6,36,21,0,41.0,0.0,3.8,0,7.7,3
5.0,27,27,80,84.351,75,59.5,46,570.78,47.835,50.705,75.04,31,0.125,41,6,34,21,0,41.3,0.0,4.0,0,8.0,3
5.0,27,27,79,84.161,74,61.5,48,608.75,48.27,50.063,75.25,31,0.114,43,6,31,21,0,41.9,4.1,2.7,3,8.1,2
5.241,27,27,79,84.161,74,61.5,48,608.75,48.27,50.063,75.25,31,0.114,43,6,31,21,0,41.9,4.1,2.7,3,8.1,2
6.211,27,27,76,80.01,71,59.5,46,593.18,46.804,49.284,71.665,30,0.118,41,6,30,21,0,42.3,2.8,2.8,1,8.5,2
5.215,27,27,80,84.351,75,59.5,46,570.78,47.835,50.705,75.04,31,0.125,41,6,34,21,0,41.3,0.0,4.0,0,8.0,3
5.854,27,27,80,84.351,75,59.5,46,570.78,47.835,50.705,75.04,31,0.125,41,6,34,21,0,41.3,0.0,4.0,0,8.0,3
5.398,27,27,76,79.67,71,58.5,45,575.19,46.421,49.347,71.152,30,0.118,40,6,31,21,0,42.3,1.4,2.8,0,8.5,2
