pXC50,Sp,Si,Sv,nAT,Se,nBT,nSK,nC,MW,nH,nBO,Me,nAB,SCBO,O.,RBN,AMW
7.717,25.063,39.544,23.401,35,35.985,36,21,13,403.2,14,22,1.028,10,30.0,11.4,5,11.52
9.523,25.063,39.544,23.401,35,35.985,36,21,13,403.2,14,22,1.028,10,30.0,11.4,5,11.52
5.068,24.165,43.239,23.611,38,38.8,39,21,14,291.34,17,22,1.021,10,30.0,10.5,5,7.667
8.959,26.824,42.96,24.928,38,38.869,39,22,14,417.23,16,23,1.023,10,31.0,10.5,5,10.98
8.097,35.517,62.106,33.53,55,54.891,57,28,22,381.52,27,30,0.998,16,39.0,5.5,8,6.937
8.745,30.057,54.398,27.794,48,47.461,50,22,18,302.46,26,24,0.989,6,28.0,4.2,6,6.301
8.503,32.063,57.896,29.815,51,50.563,53,24,19,329.49,27,26,0.991,10,32.0,3.9,6,6.461
6.955,34.875,61.915,33.965,54,55.101,56,30,22,419.49,24,32,1.02,16,41.0,3.7,7,7.768
5.149,13.722,24.993,13.085,22,22.174,22,11,8,153.2,11,11,1.008,6,14.0,9.1,2,6.964
8.658,25.773,45.152,24.214,40,39.811,41,20,16,272.38,20,21,0.995,11,27.5,5.0,6,6.809
6.0,26.154,46.36,24.477,41,40.752,42,20,16,273.39,21,21,0.994,11,27.5,4.9,5,6.668
8.229,22.25,38.322,21.16,34,34.043,35,18,14,244.32,16,19,1.001,11,25.5,5.9,4,7.186
6.0,24.392,42.945,22.95,38,37.869,39,19,15,259.36,19,20,0.997,11,26.5,5.3,4,6.825
7.215,25.012,42.737,23.687,38,37.927,39,20,16,270.36,18,21,0.998,12,28.0,5.3,5,7.115
7.509,26.773,46.152,25.214,41,40.811,42,21,17,284.39,20,22,0.995,12,29.0,4.9,6,6.936
7.469,27.228,47.362,25.928,42,42.138,43,22,17,300.39,20,23,1.003,12,30.0,7.1,6,7.152
7.009,25.46,42.448,24.38,38,38.153,39,21,17,283.35,17,22,1.004,12,30.0,7.9,5,7.457
7.921,27.773,47.152,26.214,42,41.811,44,22,18,296.4,20,24,0.995,12,31.0,4.8,5,7.057
7.201,26.222,44.863,24.907,40,40.036,41,21,17,285.37,19,22,1.001,12,29.0,7.5,6,7.134
6.301,28.324,46.993,26.809,42,42.44,43,23,17,333.44,19,24,1.01,12,33.0,9.5,6,7.939
7.201,27.983,48.279,26.434,43,42.92,44,22,18,299.4,21,23,0.998,12,30.0,7.0,7,6.963
6.745,24.915,42.658,24.095,38,38.48,39,21,16,287.34,17,22,1.013,12,29.0,10.5,6,7.562
7.004,25.46,42.448,24.38,38,38.153,40,21,17,283.35,17,23,1.004,12,30.0,7.9,5,7.457
7.745,27.222,45.863,25.907,41,41.036,43,22,18,297.38,19,24,1.001,12,31.0,7.3,5,7.253
6.301,26.222,44.863,24.907,40,40.036,41,21,17,285.37,19,22,1.001,12,29.0,7.5,5,7.134
6.301,27.983,48.279,26.434,43,42.92,44,22,18,299.4,21,23,0.998,12,30.0,7.0,6,6.963
7.215,26.012,43.737,24.687,39,38.927,41,21,17,282.37,18,23,0.998,12,30.0,5.1,5,7.24
7.538,27.415,44.574,25.379,40,39.785,41,21,17,301.44,19,22,0.995,12,29.0,5.0,6,7.536
6.301,25.466,43.946,24.402,39,39.254,40,21,16,286.36,18,22,1.007,12,29.0,7.7,5,7.343
7.444,29.534,50.567,27.74,45,44.694,47,23,19,310.43,22,25,0.993,12,32.0,4.4,5,6.898
9.0,26.773,46.152,25.214,41,40.811,42,21,17,284.39,20,22,0.995,12,29.0,4.9,5,6.936
7.032,35.415,64.645,32.826,57,56.498,58,26,21,359.54,31,27,0.991,11,33.5,5.3,9,6.308
7.963,27.529,47.069,25.719,42,41.592,43,21,18,283.4,21,22,0.99,12,29.0,4.8,6,6.748
6.301,26.773,46.152,25.214,41,40.811,42,21,17,284.39,20,22,0.995,12,29.0,4.9,5,6.936
7.036,27.767,45.654,26.192,41,40.709,43,22,19,293.39,19,24,0.993,16,33.0,4.9,5,7.156
8.367,29.199,51.903,27.675,46,46.131,47,23,18,317.42,23,24,1.003,11,30.5,8.7,8,6.9
6.301,24.699,40.033,23.853,36,36.269,37,21,17,281.33,15,22,1.007,12,31.0,8.3,5,7.815
7.0,31.404,50.414,28.277,45,44.872,46,23,18,427.31,22,24,0.997,11,30.5,6.7,7,9.496
6.301,25.466,43.946,24.402,39,39.254,40,21,16,286.36,18,22,1.007,12,29.0,7.7,6,7.343
6.975,28.534,49.567,26.74,44,43.694,45,22,18,298.42,22,23,0.993,12,30.0,4.5,5,6.782
6.301,27.773,47.152,26.214,42,41.811,44,22,18,296.4,20,24,0.995,12,31.0,4.8,5,7.057
7.036,27.676,47.073,26.622,42,42.363,44,23,18,313.38,19,25,1.009,12,32.0,9.5,5,7.461
9.409,28.745,50.694,26.961,45,44.803,46,22,18,301.42,23,23,0.996,11,29.5,6.7,7,6.698
7.377,33.273,60.022,31.036,53,52.672,54,25,20,344.5,28,26,0.994,11,32.5,5.7,9,6.5
7.076,22.699,38.033,21.853,34,34.269,35,19,15,257.31,15,20,1.008,12,27.0,8.8,4,7.568
6.301,26.222,44.863,24.907,40,40.036,41,21,17,285.37,19,22,1.001,12,29.0,7.5,6,7.134
10.301,25.012,42.737,23.687,38,37.927,39,20,16,270.36,18,21,0.998,12,28.0,5.3,4,7.115
7.387,28.529,48.069,26.719,43,42.592,45,22,19,295.41,21,24,0.991,12,31.0,4.7,5,6.87
6.301,27.222,45.863,25.907,41,41.036,42,22,18,297.38,19,23,1.001,12,31.0,7.3,6,7.253
8.114,32.267,57.524,30.014,51,50.571,52,24,20,329.48,27,25,0.992,11,31.5,5.9,9,6.46
6.301,26.222,44.863,24.907,40,40.036,41,21,17,285.37,19,22,1.001,12,29.0,7.5,6,7.134
6.245,28.222,46.863,26.907,42,42.036,44,23,19,309.39,19,25,1.001,16,34.0,7.1,5,7.366
8.27,30.989,52.777,29.455,47,47.022,49,25,20,338.44,22,27,1.0,16,36.0,6.4,6,7.201
8.143,30.841,50.223,29.261,45,45.243,47,25,20,357.86,20,27,1.005,16,36.0,6.7,6,7.952
7.538,29.228,49.362,27.928,44,44.138,46,24,19,324.41,20,26,1.003,16,35.0,6.8,6,7.373
10.398,29.228,49.362,27.928,44,44.138,46,24,19,324.41,20,26,1.003,16,35.0,6.8,5,7.373
7.37,37.029,63.939,34.541,57,56.454,59,28,24,379.54,29,30,0.99,16,39.0,5.3,10,6.659
9.125,29.921,50.618,28.817,45,45.432,47,25,20,341.41,20,27,1.01,16,36.0,6.7,6,7.587
8.05,35.057,59.398,32.794,53,52.461,56,27,23,362.51,26,30,0.99,16,39.0,3.8,7,6.84
6.631,34.296,56.983,32.267,51,50.578,55,27,23,360.49,24,31,0.992,16,40.0,3.9,6,7.068
7.15,32.841,54.773,30.552,49,48.251,52,25,22,332.48,24,28,0.985,16,37.0,2.0,5,6.785
8.996,30.983,51.279,29.434,46,45.92,48,25,21,335.43,21,27,0.998,16,37.0,6.5,6,7.292
6.156,33.438,54.488,32.149,49,49.247,52,28,23,375.45,21,31,1.005,21,42.5,8.2,7,7.662
7.839,33.296,55.983,31.267,50,49.578,53,26,22,348.48,24,29,0.992,16,38.0,4.0,6,6.97
7.191,31.29,52.484,29.246,47,46.476,49,24,21,321.45,23,26,0.989,16,35.0,4.3,6,6.839
6.41,29.319,47.943,27.499,43,42.483,46,23,20,304.42,20,26,0.988,16,35.0,2.3,3,7.08
7.889,31.676,51.073,30.622,46,46.363,49,27,22,361.42,19,30,1.008,21,41.5,8.7,6,7.857
7.27,30.983,51.279,29.434,46,45.92,48,25,21,335.43,21,27,0.998,16,37.0,6.5,7,7.292
7.073,31.699,50.167,30.089,45,45.567,47,26,20,392.3,19,28,1.013,16,37.0,6.7,6,8.718
6.558,33.506,57.109,31.487,51,50.687,53,26,22,351.48,25,28,0.994,16,37.0,5.9,7,6.892
8.483,33.506,57.109,31.487,51,50.687,53,26,22,351.48,25,28,0.994,16,37.0,5.9,8,6.892
7.26,33.199,55.903,31.675,50,50.131,52,27,22,365.46,23,29,1.003,16,39.0,8.0,8,7.309
7.602,32.745,54.694,30.961,49,48.803,51,26,22,349.46,23,28,0.996,16,38.0,6.1,8,7.132
6.71,27.557,44.528,25.972,40,39.6,43,22,19,290.39,18,25,0.99,16,34.0,2.5,3,7.26
8.74,29.773,49.152,28.214,44,43.811,47,24,20,320.42,20,27,0.996,16,36.0,4.5,4,7.282
5.89,30.534,51.567,28.74,46,45.694,48,24,20,322.44,22,26,0.993,16,35.0,4.3,6,7.01
6.932,33.841,55.773,31.552,50,49.251,54,26,23,344.49,24,30,0.985,16,39.0,2.0,4,6.89
6.62,31.887,51.409,29.766,46,45.923,48,25,20,401.33,21,27,0.998,16,36.0,4.3,6,8.725
7.502,33.506,57.109,31.487,51,50.687,53,26,22,351.48,25,28,0.994,16,37.0,5.9,8,6.892
7.1,34.603,58.188,32.079,52,51.134,55,26,23,346.51,26,29,0.983,16,38.0,1.9,5,6.664
6.939,32.841,54.773,30.552,49,48.251,52,25,22,332.48,24,28,0.985,16,37.0,2.0,4,6.785
5.74,23.012,40.737,21.687,36,35.927,37,18,14,246.34,18,19,0.998,10,25.0,5.6,4,6.843
5.5,30.125,47.994,28.239,43,43.04,45,24,19,387.3,19,26,1.001,16,35.0,4.7,5,9.007
6.56,22.603,37.163,21.185,33,33.273,34,18,13,311.2,15,19,1.008,10,25.0,6.1,4,9.43
5.53,23.012,40.737,21.687,36,35.927,37,18,14,246.34,18,19,0.998,10,25.0,5.6,5,6.843
6.51,32.296,54.983,30.267,49,48.578,51,25,21,336.47,24,27,0.991,16,36.0,4.1,7,6.867
6.08,32.296,54.983,30.267,49,48.578,51,25,21,336.47,24,27,0.991,16,36.0,4.1,7,6.867
5.61,19.034,32.697,17.918,29,28.833,30,15,12,202.28,14,16,0.994,10,22.0,3.4,3,6.975
6.87,23.012,40.737,21.687,36,35.927,37,18,14,246.34,18,19,0.998,10,25.0,5.6,5,6.843
5.07,21.25,37.322,20.16,33,33.043,34,17,13,232.31,16,18,1.001,10,24.0,6.1,4,7.04
6.12,37.819,63.813,35.321,57,56.345,61,29,25,388.55,28,33,0.989,16,42.0,3.5,5,6.817
5.921,32.08,52.358,30.026,47,46.367,51,25,22,330.46,22,29,0.987,16,38.0,2.1,4,7.031
5.53,37.819,63.813,35.321,57,56.345,61,29,25,388.55,28,33,0.989,16,42.0,3.5,6,6.817
5.69,33.841,55.773,31.552,50,49.251,54,26,23,344.49,24,30,0.985,16,39.0,2.0,4,6.89
7.3,24.364,40.579,22.712,36,36.156,37,19,14,325.23,17,20,1.004,10,26.0,5.6,5,9.034
5.4,22.603,37.163,21.185,33,33.273,34,18,13,311.2,15,19,1.008,10,25.0,6.1,4,9.43
5.91,19.489,33.907,18.633,30,30.16,31,16,12,218.28,14,17,1.005,10,23.0,6.7,3,7.276
8.23,33.296,55.983,31.267,50,49.578,53,26,22,348.48,24,29,0.992,16,38.0,4.0,5,6.97
6.16,33.296,55.983,31.267,50,49.578,53,26,22,348.48,24,29,0.992,16,38.0,4.0,6,6.97
