pXC50,nAB,nH,RBN,Sp,Sv,nSK,SCBO,nBO,Si,nBM,nC,Se,nBT,MW,nAT,nCsp2,H.,Mv,nCsp3,AMW,RBF,Me,C.,Mp,nN,nHet,Mi,N.
7.699,22,20,8,35.75,34.427,31,45.0,34,57.618,22,21,51.982,54,459.37,51,17,39.2,0.675,4,9.007,0.148,1.019,41.2,0.701,6,10,1.13,11.8
7.373,22,26,8,37.557,35.826,31,45.0,34,64.561,22,23,57.101,60,418.55,57,17,45.6,0.629,6,7.343,0.133,1.002,40.4,0.659,6,8,1.133,10.5
5.7,22,27,8,42.961,41.967,38,55.0,42,74.106,24,26,66.145,69,518.61,65,20,41.5,0.646,6,7.979,0.116,1.018,40.0,0.661,8,12,1.14,12.3
7.523,22,26,7,41.375,39.094,34,49.0,38,68.026,22,24,60.298,64,497.48,60,17,43.3,0.652,7,8.291,0.109,1.005,40.0,0.69,8,10,1.134,13.3
7.412,22,24,7,40.068,38.282,34,49.0,38,65.821,22,23,58.742,62,499.45,58,17,41.4,0.66,6,8.611,0.113,1.013,39.7,0.691,8,11,1.135,13.8
6.721,22,31,9,41.631,39.186,33,47.0,36,72.68,22,25,63.643,67,445.63,64,17,48.4,0.612,8,6.963,0.134,0.994,39.1,0.65,7,8,1.136,10.9
5.0,22,29,8,44.722,43.494,39,56.0,43,77.522,24,27,69.029,72,532.64,68,20,42.6,0.64,7,7.833,0.111,1.015,39.7,0.658,8,12,1.14,11.8
8.35,22,38,9,48.921,45.788,38,53.0,42,86.424,22,29,75.396,80,514.75,76,17,50.0,0.602,12,6.773,0.113,0.992,38.2,0.644,8,9,1.137,10.5
5.398,22,26,8,37.103,35.111,30,44.0,33,63.351,22,23,55.774,59,402.55,56,17,46.4,0.627,6,7.188,0.136,0.996,41.1,0.663,6,7,1.131,10.7
6.9,18,23,7,37.097,36.827,34,47.0,37,65.113,19,22,58.712,60,470.51,57,16,40.4,0.646,6,8.255,0.117,1.03,38.6,0.651,6,12,1.142,10.5
5.25,22,23,5,36.688,34.981,31,47.0,34,61.149,24,21,54.512,57,437.58,54,17,42.6,0.648,4,8.103,0.088,1.009,38.9,0.679,7,10,1.132,13.0
5.4,21,15,6,32.449,30.679,28,42.5,31,48.059,22,18,43.833,46,430.98,43,16,34.9,0.713,2,10.023,0.13,1.019,41.9,0.755,6,10,1.118,14.0
6.8,17,20,4,31.466,29.718,26,37.5,29,52.026,17,18,46.2,49,368.51,46,13,43.5,0.646,5,8.011,0.082,1.004,39.1,0.684,6,8,1.131,13.0
6.1,24,20,6,40.489,39.897,37,55.0,41,63.851,26,27,58.505,61,518.96,57,24,35.1,0.7,3,9.105,0.098,1.026,47.4,0.71,4,10,1.12,7.0
5.0,23,27,9,41.767,40.046,35,51.5,38,69.687,25,27,62.211,65,469.59,62,22,43.5,0.646,5,7.574,0.138,1.003,43.5,0.674,5,8,1.124,8.1
5.602,22,32,8,42.387,39.692,33,47.0,36,73.597,22,26,64.425,68,444.64,65,17,49.2,0.611,9,6.841,0.118,0.991,40.0,0.652,6,7,1.132,9.2
7.699,22,23,8,37.608,35.546,31,45.0,34,61.113,22,22,54.312,57,456.42,54,17,42.6,0.658,5,8.452,0.14,1.006,40.7,0.696,7,9,1.132,13.0
6.854,22,33,10,42.938,39.998,33,47.0,36,74.886,22,26,65.199,69,443.66,66,17,50.0,0.606,9,6.722,0.145,0.988,39.4,0.651,7,7,1.135,10.6
6.854,22,21,7,35.847,34.019,30,44.0,33,57.698,22,21,51.429,54,442.39,51,17,41.2,0.667,4,8.674,0.13,1.008,41.2,0.703,7,9,1.131,13.7
7.699,22,30,8,40.625,38.165,32,46.0,35,70.182,22,25,61.541,65,430.61,62,17,48.4,0.616,8,6.945,0.123,0.993,40.3,0.655,6,7,1.132,9.7
7.398,22,24,8,38.818,36.766,32,46.0,35,63.239,22,23,56.422,59,471.43,56,17,42.9,0.657,6,8.418,0.136,1.008,41.1,0.693,6,9,1.129,10.7
7.921,22,32,9,47.114,44.389,38,53.0,42,79.481,22,27,70.276,74,555.57,70,17,45.7,0.634,10,7.937,0.122,1.004,38.6,0.673,8,11,1.135,11.4
7.699,22,40,9,50.682,47.315,39,54.0,43,89.839,22,30,78.279,83,528.78,79,17,50.6,0.599,13,6.693,0.108,0.991,38.0,0.642,8,9,1.137,10.1
7.699,22,28,8,43.137,40.621,35,50.0,39,71.442,22,25,63.181,67,511.51,63,17,44.4,0.645,8,8.119,0.119,1.003,39.7,0.685,8,10,1.134,12.7
7.285,22,19,6,35.54,34.207,31,46.0,34,56.492,23,21,50.873,53,456.37,50,18,38.0,0.684,3,9.127,0.113,1.017,42.0,0.711,7,10,1.13,14.0
8.9,18,27,9,42.79,40.513,35,49.0,38,69.781,20,26,62.414,65,512.48,62,19,43.5,0.653,7,8.266,0.138,1.007,41.9,0.69,5,9,1.125,8.1
5.2,21,27,8,39.461,37.935,33,47.5,37,67.944,21,25,60.505,64,450.56,60,16,45.0,0.632,9,7.509,0.125,1.008,41.7,0.658,4,8,1.132,6.7
5.0,15,27,5,37.017,35.562,31,43.5,34,66.268,16,21,58.531,61,425.55,58,8,46.6,0.613,11,7.337,0.082,1.009,36.2,0.638,7,10,1.143,12.1
7.699,22,40,12,51.83,48.918,41,56.0,45,92.305,22,31,80.901,85,561.78,81,17,49.4,0.604,14,6.936,0.141,0.999,38.3,0.64,7,10,1.14,8.6
7.523,22,34,12,50.023,47.52,41,56.0,45,85.363,22,29,75.781,79,602.6,75,17,45.3,0.634,12,8.035,0.152,1.01,38.7,0.667,7,12,1.138,9.3
5.4,16,11,1,23.426,23.316,22,36.0,25,36.784,19,16,33.822,36,293.3,33,15,33.3,0.707,1,8.888,0.028,1.025,48.5,0.71,3,6,1.115,9.1
8.699,18,40,9,53.853,50.264,42,57.0,46,93.039,20,30,82.116,86,614.29,82,16,48.8,0.613,14,7.491,0.105,1.001,36.6,0.657,7,12,1.135,8.5
5.0,12,39,7,48.586,45.723,38,50.0,42,87.76,14,28,76.832,81,521.74,77,12,50.6,0.594,16,6.776,0.086,0.998,36.4,0.631,7,10,1.14,9.1
7.722,22,39,9,50.62,47.698,40,55.0,44,90.179,22,30,78.792,83,546.77,79,17,49.4,0.604,13,6.921,0.108,0.997,38.0,0.641,8,10,1.142,10.1
5.678,22,36,9,47.16,44.261,37,52.0,41,83.009,22,28,72.512,77,500.72,73,17,49.3,0.606,11,6.859,0.117,0.993,38.4,0.646,8,9,1.137,11.0
7.228,22,29,7,40.87,38.659,33,48.0,37,70.265,22,25,61.76,66,443.61,62,17,46.8,0.624,8,7.155,0.106,0.996,40.3,0.659,7,8,1.133,11.3
6.854,22,21,6,38.756,37.449,34,50.0,38,62.117,23,23,56.083,59,498.41,55,18,38.2,0.681,5,9.062,0.102,1.02,41.8,0.705,7,11,1.129,12.7
7.412,22,25,8,40.824,38.788,34,49.0,38,66.738,22,24,59.523,63,498.46,59,17,42.4,0.657,7,8.448,0.127,1.009,40.7,0.692,7,10,1.131,11.9
5.26,22,29,8,40.563,38.548,33,47.0,36,70.521,22,25,62.054,65,448.6,62,17,46.8,0.622,8,7.235,0.123,1.001,40.3,0.654,6,8,1.137,9.7
7.461,22,29,8,39.415,36.945,31,45.0,34,68.055,22,24,59.432,63,415.6,60,17,48.3,0.616,7,6.927,0.127,0.991,40.0,0.657,7,7,1.134,11.7
5.0,20,27,5,42.313,39.936,35,52.0,40,70.108,22,23,62.683,67,513.71,62,13,43.5,0.644,10,8.286,0.075,1.011,37.1,0.682,7,12,1.131,11.3
5.2,16,21,2,33.517,32.441,29,43.0,33,56.861,18,21,50.52,54,392.48,50,16,42.0,0.649,5,7.85,0.037,1.01,42.0,0.67,6,8,1.137,12.0
5.0,17,18,4,29.262,28.203,25,37.5,28,48.318,18,19,43.247,46,334.41,43,15,41.9,0.656,4,7.777,0.087,1.006,44.2,0.681,4,6,1.124,9.3
5.355,11,27,7,36.006,34.22,29,39.5,31,63.734,14,22,56.178,58,398.53,56,14,48.2,0.611,8,7.117,0.121,1.003,39.3,0.643,4,7,1.138,7.1
5.4,20,11,2,22.767,22.402,21,35.0,24,35.947,21,15,32.487,35,277.31,32,15,34.4,0.7,0,8.666,0.057,1.015,46.9,0.711,5,6,1.123,15.6
5.4,18,16,2,29.159,28.59,26,39.0,29,46.741,19,20,42.698,45,348.38,42,19,38.1,0.681,1,8.295,0.044,1.017,47.6,0.694,2,6,1.113,4.8
5.2,17,23,10,34.449,33.191,29,41.5,31,58.485,18,22,52.451,54,393.48,52,14,44.2,0.638,6,7.567,0.185,1.009,42.3,0.662,3,7,1.125,5.8
5.2,28,26,11,46.421,44.664,40,60.0,44,74.017,30,29,67.232,70,581.11,66,24,39.4,0.677,5,8.805,0.157,1.019,43.9,0.703,4,11,1.121,6.1
5.0,27,16,5,36.205,37.357,37,54.5,41,61.559,27,24,56.083,57,518.46,53,21,30.2,0.705,3,9.782,0.088,1.058,45.3,0.683,6,13,1.161,11.3
5.4,21,22,3,38.034,36.772,33,51.5,38,61.73,24,25,55.334,60,438.53,55,20,40.0,0.669,5,7.973,0.05,1.006,45.5,0.692,6,8,1.122,10.9
5.379,17,28,7,40.762,38.341,33,46.5,37,69.268,18,23,61.054,65,464.66,61,14,45.9,0.629,9,7.617,0.108,1.001,37.7,0.668,8,10,1.136,13.1
5.0,18,23,5,34.336,32.563,28,41.0,31,57.438,19,22,50.789,54,373.5,51,17,45.1,0.638,5,7.324,0.093,0.996,43.1,0.673,5,6,1.126,9.8
5.0,21,16,2,28.955,28.391,26,40.5,30,47.113,21,19,42.691,46,348.39,42,15,38.1,0.676,4,8.295,0.043,1.016,45.2,0.689,4,7,1.122,9.5
5.2,18,30,8,43.66,42.578,38,51.0,41,78.324,19,26,69.392,71,529.63,68,17,44.1,0.626,9,7.789,0.113,1.02,38.2,0.642,7,12,1.152,10.3
5.0,25,32,8,48.398,46.023,40,58.5,45,81.145,26,29,72.483,77,560.74,72,19,44.4,0.639,10,7.788,0.104,1.007,40.3,0.672,6,11,1.127,8.3
5.4,30,21,5,38.017,36.024,32,52.0,37,59.315,30,24,52.974,58,439.59,53,21,39.6,0.68,3,8.294,0.086,1.0,45.3,0.717,7,8,1.119,13.2
5.0,11,34,5,45.409,43.066,37,50.5,41,81.142,15,24,71.687,75,530.73,71,9,47.9,0.607,15,7.475,0.067,1.01,33.8,0.64,8,13,1.143,11.3
5.0,11,23,3,32.04,30.794,27,37.5,30,57.229,13,18,50.436,53,369.48,50,9,46.0,0.616,9,7.39,0.057,1.009,36.0,0.641,7,9,1.145,14.0
5.0,17,25,4,37.801,36.321,32,46.5,36,64.644,19,23,57.32,61,431.55,57,15,43.9,0.637,8,7.571,0.066,1.006,40.4,0.663,7,9,1.134,12.3
6.119,17,22,5,35.75,34.128,30,41.5,33,59.081,17,21,52.832,55,450.38,52,14,42.3,0.656,7,8.661,0.091,1.016,40.4,0.688,5,9,1.136,9.6
5.284,17,23,8,38.347,37.015,33,47.5,35,63.346,20,24,56.836,58,467.97,56,18,41.1,0.661,5,8.357,0.138,1.015,42.9,0.685,5,9,1.131,8.9
5.0,21,15,3,29.358,28.504,26,40.5,29,45.847,22,19,41.687,44,366.83,41,17,36.6,0.695,2,8.947,0.068,1.017,46.3,0.716,4,7,1.118,9.8
5.0,20,28,2,42.523,40.552,35,53.0,40,70.604,23,28,62.992,68,468.6,63,20,44.4,0.644,8,7.438,0.029,1.0,44.4,0.675,4,7,1.121,6.3
5.5,17,24,8,36.557,35.236,31,42.5,34,62.472,17,22,55.945,58,446.95,55,14,43.6,0.641,8,8.126,0.138,1.017,40.0,0.665,4,9,1.136,7.3
5.2,24,31,7,45.631,43.186,37,54.0,41,76.68,25,29,67.643,72,493.67,68,22,45.6,0.635,7,7.26,0.097,0.995,42.6,0.671,7,8,1.128,10.3
