pXC50,nCsp3,nH,Se,Si,nBT,nO,nAT,Mv,Sv,Sp,Mp,AMW,MW,C.,H.,Mi,nC,nSK,nBO,SCBO,Me,N.,nAB,nB,nBM,nBR,nCL,nCsp,nCsp2,nDB
5.8,3,16,45.985,50.694,46,5,44,0.656,28.852,28.364,0.645,8.827,388.39,34.1,36.4,1.152,15,28,30,40.0,1.045,18.2,16,0,18,0,0,0,12,2
5.7,4,21,49.534,55.117,51,3,49,0.65,31.839,32.926,0.672,7.764,380.45,44.9,42.9,1.125,22,28,30,40.0,1.011,4.1,18,0,19,0,0,0,18,1
5.7,7,20,51.211,56.595,52,4,50,0.66,33.008,33.796,0.676,8.598,429.9,40.0,40.0,1.132,20,30,32,42.0,1.024,10.0,12,0,15,0,1,1,12,2
5.7,1,14,36.16,39.907,39,2,36,0.684,24.633,25.489,0.708,8.065,290.34,50.0,38.9,1.109,18,22,25,34.5,1.004,5.6,17,0,18,0,0,0,17,1
5.7,5,21,50.52,56.861,53,1,50,0.649,32.441,33.517,0.67,7.85,392.48,42.0,42.0,1.137,21,29,32,43.0,1.01,12.0,22,0,22,0,0,0,16,0
5.7,4,27,70.28,77.979,76,2,70,0.686,48.034,50.211,0.717,8.368,585.74,47.1,38.6,1.114,33,43,49,67.5,1.004,10.0,33,0,35,0,0,0,29,2
5.7,2,14,38.825,42.084,40,4,38,0.7,26.593,27.506,0.724,10.217,388.23,47.4,36.8,1.107,18,24,26,35.0,1.022,2.6,12,0,15,1,0,0,16,3
5.7,8,21,42.912,48.651,45,2,43,0.61,26.235,27.779,0.646,6.963,299.41,39.5,48.8,1.131,17,22,24,30.0,0.998,7.0,6,0,9,0,0,0,9,3
5.7,4,15,44.247,48.42,47,2,43,0.701,30.135,30.779,0.716,9.29,399.45,46.5,34.9,1.126,20,28,32,41.0,1.029,7.0,12,0,15,0,0,0,16,3
5.9,6,18,42.345,47.551,45,1,42,0.651,27.337,28.671,0.683,8.187,343.85,40.5,42.9,1.132,17,24,27,35.0,1.008,11.9,16,0,16,0,1,0,11,0
5.7,6,22,53.916,60.615,56,1,53,0.648,34.351,35.216,0.664,8.009,424.5,41.5,41.5,1.144,22,31,34,45.0,1.017,11.3,22,0,22,0,0,0,16,0
5.7,6,29,64.767,72.893,69,2,65,0.644,41.858,44.074,0.678,7.379,479.63,44.6,44.6,1.121,29,36,40,54.5,0.996,7.7,27,0,28,0,0,0,23,1
5.7,10,50,104.945,120.613,105,2,104,0.594,61.76,64.444,0.62,7.183,747.02,30.8,48.1,1.16,32,54,55,71.0,1.009,19.2,12,0,22,0,0,0,22,10
5.7,9,27,60.17,68.106,64,1,60,0.634,38.021,39.802,0.663,7.443,446.58,41.7,45.0,1.135,25,33,37,48.0,1.003,10.0,22,0,22,0,0,0,16,0
5.7,3,21,45.585,51.441,48,1,46,0.642,29.52,31.324,0.681,7.205,331.45,45.7,45.7,1.118,21,25,27,37.0,0.991,6.5,18,0,19,0,0,0,18,1
5.7,2,19,45.778,50.946,49,1,46,0.678,31.181,33.211,0.722,8.12,373.51,47.8,41.3,1.108,22,27,30,42.0,0.995,6.5,22,0,23,0,0,0,20,1
5.8,2,17,49.996,54.962,50,3,48,0.679,32.594,32.29,0.673,8.967,430.42,43.8,35.4,1.145,21,31,33,44.0,1.042,8.3,18,0,20,0,0,0,19,2
5.7,0,5,20.949,22.19,22,2,20,0.768,15.354,15.301,0.765,11.031,220.62,50.0,25.0,1.109,10,15,17,24.0,1.047,10.0,10,0,12,0,1,0,10,2
7.5,3,18,41.323,46.238,43,2,41,0.644,26.39,27.909,0.681,8.06,330.45,39.0,43.9,1.128,16,23,25,35.0,1.008,9.8,16,0,18,0,0,0,13,2
5.7,2,16,42.691,47.113,45,3,42,0.676,28.391,28.955,0.689,8.295,348.39,45.2,38.1,1.122,19,26,29,40.0,1.016,9.5,16,0,19,0,0,0,17,3
5.7,0,9,24.967,27.499,27,0,25,0.727,18.175,19.409,0.776,10.926,273.14,52.0,36.0,1.1,13,16,18,26.0,0.999,8.0,16,0,16,1,0,0,13,0
5.7,2,22,62.771,68.083,64,6,61,0.695,42.378,43.591,0.715,9.306,567.66,44.3,36.1,1.116,27,39,42,59.0,1.029,4.9,24,0,29,0,0,0,25,5
5.7,6,21,52.2,58.604,54,3,51,0.637,32.498,32.983,0.647,8.068,411.48,35.3,41.2,1.149,18,30,33,43.0,1.024,17.6,16,0,18,0,0,0,12,2
5.7,9,25,56.901,64.529,59,1,56,0.623,34.899,35.983,0.643,7.67,429.53,37.5,44.6,1.152,21,31,34,43.0,1.016,12.5,16,0,17,0,0,0,12,1
5.7,2,18,47.025,51.97,51,1,47,0.698,32.821,34.421,0.732,8.509,399.9,51.1,38.3,1.106,24,29,33,45.0,1.001,6.4,18,0,21,0,1,0,22,3
5.7,3,16,37.363,41.903,39,2,37,0.64,23.676,24.5,0.662,7.685,284.35,40.5,43.2,1.133,15,21,23,31.0,1.01,10.8,16,0,16,0,0,0,12,0
5.7,1,11,31.814,35.156,33,2,31,0.681,21.117,21.222,0.685,8.687,269.29,41.9,35.5,1.134,13,20,22,32.0,1.026,16.1,16,0,18,0,0,0,12,2
5.8,2,15,40.665,44.534,43,3,40,0.689,27.557,28.597,0.715,8.836,353.43,45.0,37.5,1.113,18,25,28,38.0,1.017,7.5,16,0,18,0,0,0,16,2
6.8,1,17,44.542,49.322,47,2,44,0.679,29.885,31.154,0.708,8.625,379.48,43.2,38.6,1.121,19,27,30,43.0,1.012,11.4,22,0,24,0,0,0,18,2
5.7,3,21,48.912,54.651,52,2,49,0.658,32.235,33.779,0.689,7.581,371.47,46.9,42.9,1.115,23,28,31,43.0,0.998,6.1,22,0,23,0,0,0,20,1
8.2,4,22,55.498,61.139,56,5,54,0.656,35.437,36.659,0.679,8.889,479.99,37.0,40.7,1.132,20,32,34,45.0,1.028,9.3,18,0,20,0,1,0,16,2
5.7,0,16,47.305,51.951,49,3,46,0.691,31.796,31.898,0.693,8.813,405.42,45.7,34.8,1.129,21,30,33,46.0,1.028,10.9,22,0,24,0,0,0,21,2
5.7,4,23,49.796,56.066,52,2,50,0.635,31.762,33.54,0.671,7.23,361.48,44.0,46.0,1.121,22,27,29,39.0,0.996,6.0,18,0,19,0,0,0,18,1
5.7,8,24,57.8,65.031,61,1,57,0.647,36.878,37.978,0.666,7.904,450.54,42.1,42.1,1.141,24,33,37,48.0,1.014,10.5,22,0,22,0,0,0,16,0
5.7,0,9,24.967,27.499,27,0,25,0.727,18.175,19.409,0.776,10.926,273.14,52.0,36.0,1.1,13,16,18,26.0,0.999,8.0,16,0,16,1,0,0,13,0
6.4,1,12,35.607,38.831,37,2,35,0.719,25.153,26.085,0.745,10.578,370.22,48.6,34.3,1.109,17,23,25,36.0,1.017,8.6,16,0,18,1,0,1,15,1
5.7,3,23,58.596,64.697,61,3,58,0.679,39.367,41.54,0.716,8.718,505.67,43.1,39.7,1.115,25,35,38,54.0,1.01,8.6,22,0,26,0,0,2,20,3
5.7,3,25,61.294,68.319,65,2,61,0.667,40.693,42.245,0.693,7.878,480.58,47.5,41.0,1.12,29,36,40,55.0,1.005,6.6,28,0,29,0,0,0,26,1
5.7,8,21,38.585,44.441,40,1,39,0.577,22.52,24.324,0.624,6.343,247.38,35.9,53.8,1.14,14,18,19,23.0,0.989,7.7,6,0,7,0,0,0,6,1
5.7,1,10,35.909,39.381,36,1,34,0.708,24.079,23.341,0.687,9.803,333.3,44.1,29.4,1.158,15,24,26,35.5,1.056,14.7,17,0,18,0,0,0,14,1
5.7,2,17,45.214,50.112,49,1,45,0.693,31.17,32.699,0.727,8.611,387.5,46.7,37.8,1.114,21,28,32,44.0,1.005,11.1,22,0,23,0,0,0,19,1
5.7,0,9,33.113,35.522,35,2,32,0.753,24.11,24.722,0.773,10.775,344.8,46.9,28.1,1.11,15,23,26,36.5,1.035,12.5,21,0,21,0,1,0,15,0
5.7,2,15,37.262,41.405,39,2,37,0.666,24.655,25.495,0.689,7.928,293.35,45.9,40.5,1.119,17,22,24,33.0,1.007,8.1,12,0,15,0,0,0,15,3
5.7,3,20,50.211,55.784,53,1,50,0.685,34.248,36.574,0.731,9.649,482.44,44.0,40.0,1.116,22,30,33,45.5,1.004,10.0,21,0,23,1,0,0,19,2
5.0,1,7,20.084,22.084,22,0,20,0.732,14.648,15.648,0.782,11.755,235.09,50.0,35.0,1.104,10,13,15,20.5,1.004,10.0,11,0,11,1,0,0,9,0
5.7,1,14,40.905,44.93,43,2,40,0.7,27.998,28.602,0.715,9.195,367.82,45.0,35.0,1.123,18,26,29,39.0,1.023,12.5,18,0,19,0,1,0,17,1
5.7,1,15,44.244,48.033,46,5,43,0.693,29.799,29.858,0.694,8.776,377.38,46.5,34.9,1.117,20,28,31,43.0,1.029,7.0,18,0,21,0,0,0,19,3
5.7,6,20,42.796,48.896,46,0,43,0.624,26.816,28.364,0.66,7.173,308.43,39.5,46.5,1.137,17,23,26,34.0,0.995,14.0,16,0,16,0,0,0,11,0
5.7,0,11,34.236,37.657,37,0,34,0.732,24.875,25.96,0.764,9.335,317.4,50.0,32.4,1.108,17,23,26,38.5,1.007,14.7,21,0,22,0,0,1,16,0
5.7,3,18,44.24,49.69,47,1,44,0.659,29.004,30.057,0.683,7.873,346.43,43.2,40.9,1.129,19,26,29,40.5,1.005,13.6,21,0,22,0,0,0,16,1
5.8,6,20,43.451,49.315,45,2,43,0.61,26.246,27.273,0.634,7.358,316.41,34.9,46.5,1.147,15,23,25,31.0,1.01,14.0,12,0,12,0,0,0,9,0
5.7,5,23,54.789,61.438,60,1,55,0.665,36.563,38.336,0.697,7.664,421.54,47.3,41.8,1.117,26,32,37,50.5,0.996,9.1,27,0,27,0,0,0,21,0
5.7,0,9,27.367,29.498,29,2,27,0.731,19.745,20.608,0.763,9.456,255.31,51.9,33.3,1.093,14,18,20,29.0,1.014,3.7,16,0,17,0,0,0,14,1
5.7,5,20,51.032,57.2,53,1,50,0.656,32.824,33.455,0.669,8.209,410.47,42.0,40.0,1.144,21,30,33,44.0,1.021,12.0,22,0,22,0,0,0,16,0
5.7,7,20,51.032,57.2,54,1,50,0.656,32.824,33.455,0.669,8.209,410.47,42.0,40.0,1.144,21,30,34,44.5,1.021,12.0,21,0,21,0,0,0,14,0
5.7,3,20,50.465,55.571,53,4,50,0.673,33.643,34.682,0.694,8.009,400.46,48.0,40.0,1.111,24,30,33,45.0,1.009,4.0,18,0,21,0,0,0,21,3
5.7,6,14,32.323,36.498,34,1,32,0.649,20.773,22.949,0.717,11.225,359.2,34.4,43.8,1.141,11,18,20,25.0,1.01,15.6,10,0,10,0,0,0,5,0
5.7,4,17,36.818,41.611,39,1,37,0.634,23.467,24.801,0.67,7.226,267.36,43.2,45.9,1.125,16,20,22,30.0,0.995,8.1,16,0,16,0,0,0,12,0
5.7,6,17,37.825,42.239,41,2,38,0.649,24.665,26.006,0.684,7.352,279.36,47.4,44.7,1.112,18,21,24,31.5,0.995,2.6,11,0,13,0,0,0,12,2
4.7,2,10,24.462,27.368,25,1,24,0.649,15.568,16.409,0.684,8.762,210.29,33.3,41.7,1.14,8,14,15,20.5,1.019,16.7,9,0,10,0,0,0,6,1
5.7,3,19,45.134,50.096,47,2,45,0.668,30.041,31.631,0.703,8.153,366.87,46.7,42.2,1.113,21,26,28,38.0,1.003,4.4,18,0,19,0,1,0,18,1
5.7,0,13,39.96,43.875,42,1,39,0.71,27.706,27.915,0.716,8.958,349.36,51.3,33.3,1.125,20,26,29,41.0,1.025,7.7,22,0,23,0,0,0,20,1
5.7,2,11,29.898,32.704,30,3,29,0.673,19.503,20.074,0.692,9.149,265.32,37.9,37.9,1.128,11,18,19,26.0,1.031,10.3,10,0,12,0,0,0,9,2
5.9,2,17,40.818,45.611,44,1,41,0.67,27.467,28.801,0.702,7.693,315.4,48.8,41.5,1.112,20,24,27,37.5,0.996,7.3,17,0,19,0,0,0,18,2
5.7,5,16,39.691,44.113,42,3,39,0.651,25.391,25.955,0.666,8.009,312.36,41.0,41.0,1.131,16,23,26,34.5,1.018,10.3,15,0,16,0,0,0,11,1
5.7,5,23,51.872,57.986,55,2,52,0.653,33.949,36.188,0.696,7.799,405.56,44.2,44.2,1.115,23,29,32,43.5,0.998,5.8,21,0,22,0,0,0,18,1
6.7,2,16,38.44,42.823,40,2,38,0.654,24.863,26.148,0.688,8.327,316.42,39.5,42.1,1.127,15,22,24,34.0,1.012,10.5,16,0,18,0,0,0,13,2
5.7,11,34,69.309,79.012,75,1,70,0.617,43.218,46.148,0.659,6.896,482.69,41.4,48.6,1.129,29,36,41,52.0,0.99,8.6,22,0,22,0,0,0,18,0
5.7,1,16,47.56,52.626,49,1,46,0.688,31.659,31.625,0.688,8.944,411.42,45.7,34.8,1.144,21,30,33,45.0,1.034,10.9,22,0,23,0,0,0,20,1
5.7,1,17,43.145,47.82,46,2,43,0.679,29.181,30.256,0.704,7.986,343.41,48.8,39.5,1.112,21,26,29,41.0,1.003,7.0,22,0,23,0,0,0,20,1
5.7,2,19,49.182,54.075,53,2,49,0.696,34.082,36.313,0.741,8.849,433.59,46.9,38.8,1.104,23,30,34,49.0,1.004,6.1,26,0,28,0,0,0,21,2
5.8,6,18,41.018,46.342,44,0,41,0.649,26.622,28.216,0.688,7.996,327.85,41.5,43.9,1.13,17,23,26,34.0,1.0,12.2,16,0,16,0,1,0,11,0
5.7,4,17,40.145,44.82,43,2,40,0.655,26.181,27.256,0.681,7.684,307.38,45.0,42.5,1.121,18,23,26,35.0,1.004,7.5,16,0,17,0,0,0,14,1
5.7,2,19,48.676,54.026,51,3,48,0.665,31.939,32.722,0.682,8.114,389.45,43.8,39.6,1.126,21,29,32,44.0,1.014,10.4,22,0,23,0,0,0,19,1
5.7,3,16,40.567,44.997,42,1,40,0.679,27.143,28.523,0.713,9.082,363.27,42.5,40.0,1.125,17,24,26,35.0,1.014,10.0,16,0,17,0,2,0,14,1
5.7,5,20,52.327,58.457,54,1,51,0.661,33.713,34.148,0.67,8.382,427.47,43.1,39.2,1.146,22,31,34,45.0,1.026,9.8,22,0,22,0,0,0,17,0
5.7,6,24,50.218,57.145,51,2,50,0.606,30.299,31.796,0.636,7.13,356.48,36.0,48.0,1.143,18,26,27,35.0,1.004,12.0,12,0,14,0,0,0,12,2
6.0,2,15,34.934,39.196,37,1,35,0.655,22.94,24.04,0.687,7.581,265.34,45.7,42.9,1.12,16,20,22,30.5,0.998,8.6,17,0,17,0,0,0,14,0
5.7,3,20,44.811,50.152,47,2,45,0.649,29.214,30.773,0.684,7.387,332.43,46.7,44.4,1.114,21,25,27,37.0,0.996,4.4,18,0,19,0,0,0,18,1
5.7,1,13,46.265,50.471,47,1,44,0.721,31.703,31.449,0.715,10.169,447.45,45.5,29.5,1.147,20,31,34,46.0,1.051,11.4,22,0,23,0,0,0,19,1
5.7,0,6,21.811,23.157,22,1,21,0.78,16.378,17.608,0.838,14.552,305.59,42.9,28.6,1.103,9,15,16,22.0,1.039,9.5,10,0,11,1,1,0,9,1
5.7,0,14,39.258,43.14,42,1,39,0.712,27.767,28.898,0.741,8.918,347.82,51.3,35.9,1.106,20,25,28,40.0,1.007,7.7,22,0,23,0,1,0,20,1
5.7,3,15,45.32,48.953,47,5,44,0.704,30.986,31.506,0.716,9.306,409.45,45.5,34.1,1.113,20,29,32,44.0,1.03,6.8,10,0,16,0,0,1,16,5
5.7,2,19,48.356,53.445,51,3,48,0.675,32.423,33.472,0.697,8.03,385.45,47.9,39.6,1.113,23,29,32,44.0,1.007,6.3,18,0,21,0,0,0,21,3
5.7,5,22,47.367,53.358,51,1,48,0.646,31.026,33.08,0.689,7.135,342.47,47.9,45.8,1.112,23,26,29,39.0,0.987,4.2,18,0,19,0,0,0,18,1
5.7,0,10,28.142,30.787,30,1,28,0.716,20.052,21.159,0.756,9.083,254.33,50.0,35.7,1.1,14,18,20,29.0,1.005,7.1,16,0,17,0,0,0,14,1
5.7,1,16,42.356,47.275,45,1,42,0.678,28.477,29.296,0.698,8.2,344.41,45.2,38.1,1.126,19,26,29,41.0,1.008,14.3,22,0,23,0,0,0,18,1
5.7,1,12,28.949,32.282,31,1,29,0.669,19.392,20.273,0.699,7.734,224.28,48.3,41.4,1.113,14,17,19,26.0,0.998,6.9,12,0,13,0,0,0,13,1
5.7,1,10,37.909,41.381,38,1,36,0.724,26.079,25.341,0.704,9.926,357.32,47.2,27.8,1.149,17,26,28,39.5,1.053,13.9,17,0,19,0,0,1,15,1
5.7,8,32,72.76,81.434,79,3,73,0.652,47.605,50.046,0.686,7.462,544.7,46.6,43.8,1.116,34,41,47,61.5,0.997,5.5,29,0,29,0,0,0,26,0
5.7,6,17,40.898,45.472,42,3,40,0.644,25.745,26.574,0.664,8.42,336.81,37.5,42.5,1.137,15,23,25,31.5,1.022,10.0,11,0,12,0,1,0,9,1
5.9,0,11,35.218,38.285,36,3,34,0.706,24.019,24.324,0.715,9.687,329.37,41.2,32.4,1.126,14,23,25,35.0,1.036,14.7,16,0,18,0,0,0,14,2
5.7,0,7,29.396,31.308,30,1,28,0.78,21.844,22.387,0.8,13.186,369.2,50.0,25.0,1.118,14,21,23,32.0,1.05,7.1,16,0,17,1,0,0,14,1
6.3,1,18,48.24,53.69,52,1,48,0.688,33.004,34.057,0.71,8.218,394.47,47.9,37.5,1.119,23,30,34,48.5,1.005,12.5,27,0,28,0,0,0,22,1
5.7,3,16,36.036,40.694,38,1,36,0.638,22.961,24.046,0.668,7.454,268.35,41.7,44.4,1.13,15,20,22,30.0,1.001,11.1,16,0,16,0,0,0,12,0
5.7,2,14,37.64,40.956,39,3,37,0.695,25.722,27.239,0.736,9.364,346.46,43.2,37.8,1.107,16,23,25,36.0,1.017,5.4,16,0,19,0,0,0,14,3
5.7,4,14,30.229,34.199,31,1,30,0.621,18.622,19.932,0.664,7.945,238.35,33.3,46.7,1.14,10,16,17,22.0,1.008,13.3,10,0,10,0,0,0,6,0
5.7,5,24,51.571,58.355,55,1,52,0.636,33.068,35.091,0.675,7.164,372.51,44.2,46.2,1.122,23,28,31,42.0,0.992,7.7,22,0,22,0,0,0,18,0
5.7,2,19,47.098,52.527,50,1,47,0.674,31.697,33.461,0.712,8.288,389.52,44.7,40.4,1.118,21,28,31,43.0,1.002,10.6,22,0,23,0,0,0,19,1
6.0,2,14,38.491,42.247,40,2,38,0.702,26.68,27.847,0.733,10.112,384.25,47.4,36.8,1.112,18,24,26,37.0,1.013,7.9,16,0,18,1,0,1,15,1
5.7,1,14,37.564,41.036,39,3,37,0.69,25.535,26.591,0.719,8.822,326.4,45.9,37.8,1.109,17,23,25,34.0,1.015,5.4,12,0,15,0,0,0,16,3
7.2,3,14,46.709,51.164,50,2,45,0.71,31.959,31.625,0.703,9.342,420.41,46.7,31.1,1.137,21,31,36,48.0,1.038,13.3,22,0,23,0,0,0,18,1
5.7,2,21,54.963,60.571,57,4,54,0.673,36.368,37.585,0.696,8.584,463.56,42.6,38.9,1.122,23,33,36,50.0,1.018,9.3,18,0,23,0,0,0,21,5
5.7,0,10,31.429,34.415,34,0,31,0.734,22.742,23.648,0.763,9.528,295.36,51.6,32.3,1.11,16,21,24,34.5,1.014,9.7,21,0,21,0,0,0,16,0
5.7,1,12,29.949,33.282,32,1,30,0.68,20.392,21.273,0.709,7.876,236.29,50.0,40.0,1.109,15,18,20,29.0,0.998,6.7,16,0,17,0,0,0,14,1
5.7,4,40,93.207,105.955,94,2,92,0.626,57.61,59.387,0.646,7.705,708.9,34.8,43.5,1.152,32,52,54,73.0,1.013,19.6,18,0,28,0,0,0,28,10
5.7,1,13,44.945,48.89,46,1,43,0.725,31.187,31.199,0.726,10.033,431.44,48.8,30.2,1.137,21,30,33,45.0,1.045,7.0,22,0,23,0,0,0,20,1
5.7,2,22,58.963,64.824,62,4,58,0.682,39.575,40.387,0.696,8.337,483.53,48.3,37.9,1.118,28,36,40,54.0,1.017,5.2,24,0,26,0,0,0,26,2
5.7,6,18,44.673,49.761,46,2,44,0.66,29.052,30.125,0.685,8.451,371.86,40.9,40.9,1.131,18,26,28,37.0,1.015,11.4,12,0,14,0,1,1,11,1
5.7,2,14,46.429,50.863,46,2,44,0.698,30.696,30.182,0.686,9.973,438.83,40.9,31.8,1.156,18,30,32,42.0,1.055,13.6,18,0,19,0,1,0,16,1
5.7,6,29,63.516,71.603,67,1,64,0.646,41.33,44.267,0.692,7.558,483.69,43.8,45.3,1.119,28,35,38,52.0,0.992,7.8,22,0,24,0,0,2,20,1
5.7,5,12,33.422,36.711,34,4,32,0.668,21.39,22.551,0.705,12.287,393.17,31.3,37.5,1.147,10,20,22,27.0,1.044,15.6,10,0,10,0,0,0,5,0
5.7,5,29,68.163,76.394,72,2,68,0.655,44.561,46.972,0.691,7.937,539.72,42.6,42.6,1.123,29,39,43,58.5,1.002,10.3,27,0,29,0,0,0,24,2
4.7,2,8,19.931,22.162,22,0,20,0.691,13.81,14.943,0.747,8.813,176.26,45.0,40.0,1.108,9,12,14,19.0,0.997,10.0,10,0,10,0,0,0,7,0
5.7,6,22,53.916,60.615,56,1,53,0.648,34.351,35.216,0.664,8.009,424.5,41.5,41.5,1.144,22,31,34,45.0,1.017,11.3,22,0,22,0,0,0,16,0
5.7,3,24,60.225,66.773,65,3,60,0.675,40.498,42.0,0.7,7.943,476.57,48.3,40.0,1.113,29,36,41,56.5,1.004,6.7,27,0,29,0,0,0,26,2
5.7,0,5,24.007,24.927,25,2,23,0.823,18.925,20.091,0.874,14.836,341.22,47.8,21.7,1.084,11,18,20,27.0,1.044,8.7,6,0,10,1,0,0,11,4
5.7,7,32,83.283,92.367,89,3,82,0.674,55.303,56.625,0.691,8.241,675.76,47.6,39.0,1.126,39,50,57,75.0,1.016,6.1,34,0,35,0,0,0,32,1
5.7,9,27,61.203,69.059,65,2,61,0.637,38.847,40.563,0.665,7.501,457.59,41.0,44.3,1.132,25,34,38,49.5,1.003,11.5,17,0,19,0,0,1,15,1
5.7,2,8,36.985,39.655,36,1,34,0.747,25.405,24.307,0.715,11.48,390.33,47.1,23.5,1.166,16,26,28,37.0,1.088,5.9,16,0,17,0,0,0,14,1
5.7,1,11,29.454,32.994,31,0,29,0.675,19.576,20.006,0.69,8.354,242.28,44.8,37.9,1.138,13,18,20,28.0,1.016,13.8,16,0,16,0,0,0,12,0
7.0,1,15,37.927,42.568,41,0,38,0.677,25.741,26.836,0.706,7.931,301.38,47.4,39.5,1.12,18,23,26,37.0,0.998,13.2,22,0,22,0,0,0,17,0
5.7,3,17,37.818,42.611,40,1,38,0.644,24.467,25.801,0.679,7.352,279.37,44.7,44.7,1.121,17,21,23,31.5,0.995,7.9,17,0,17,0,0,0,14,0
6.1,1,11,32.814,36.156,33,2,32,0.691,22.117,22.222,0.694,8.791,281.3,43.8,34.4,1.13,14,21,22,32.5,1.025,15.6,11,0,14,0,0,2,11,1
5.7,12,30,62.298,70.52,68,1,63,0.632,39.836,43.023,0.683,7.281,458.68,42.9,47.6,1.119,27,33,38,48.0,0.989,6.3,16,0,17,0,0,2,13,0
5.7,4,21,53.665,59.302,57,3,53,0.675,35.799,37.097,0.7,8.471,448.94,45.3,39.6,1.119,24,32,36,48.0,1.013,7.5,22,0,23,0,1,0,20,1
5.7,1,11,29.494,32.575,31,2,29,0.676,19.601,19.972,0.689,8.32,241.27,44.8,37.9,1.123,13,18,20,27.5,1.017,10.3,11,0,13,0,0,0,12,2
6.0,2,14,31.833,35.697,34,1,32,0.654,20.918,22.034,0.689,7.447,238.31,46.9,43.8,1.116,15,18,20,27.5,0.995,6.3,11,0,13,0,0,0,13,2
5.7,4,22,48.687,54.939,52,1,49,0.644,31.542,33.33,0.68,7.316,358.48,44.9,44.9,1.121,22,27,30,41.0,0.994,8.2,22,0,22,0,0,0,18,0
5.7,8,22,42.687,48.939,45,1,43,0.594,25.542,27.33,0.636,6.661,286.42,37.2,51.2,1.138,16,21,23,29.0,0.993,9.3,10,0,11,0,0,0,8,1
5.7,0,9,34.324,36.243,35,2,33,0.781,25.776,26.949,0.817,12.112,399.69,48.5,27.3,1.098,16,24,26,36.0,1.04,6.1,16,0,18,0,3,0,16,2
5.7,1,9,27.022,28.917,27,4,26,0.699,18.175,18.517,0.712,9.665,251.28,42.3,34.6,1.112,11,17,18,24.0,1.039,3.8,6,0,9,0,0,0,10,3
6.5,8,28,55.985,63.976,57,2,56,0.596,33.353,35.319,0.631,6.867,384.54,35.7,50.0,1.142,20,28,29,37.0,1.0,10.7,12,0,14,0,0,0,12,2
5.7,0,9,25.284,27.95,27,1,25,0.694,17.359,17.756,0.71,8.45,211.24,48.0,36.0,1.118,12,16,18,25.0,1.011,12.0,12,0,13,0,0,0,12,1
5.7,4,14,33.258,37.14,35,1,33,0.66,21.767,22.898,0.694,8.356,275.76,42.4,42.4,1.125,14,19,21,27.5,1.008,9.1,11,0,12,0,1,0,10,1
5.7,4,14,35.814,39.325,37,4,35,0.659,23.063,23.398,0.669,8.18,286.31,42.9,40.0,1.124,15,21,23,30.5,1.023,5.7,11,0,13,0,0,0,11,2
5.9,1,17,48.752,54.03,52,1,48,0.696,33.387,33.995,0.708,8.593,412.46,47.9,35.4,1.126,23,31,35,49.5,1.016,12.5,27,0,28,0,0,0,22,1
5.7,3,18,50.014,54.996,53,2,49,0.694,33.982,35.5,0.724,9.298,455.58,42.9,36.7,1.122,21,31,35,49.5,1.021,10.2,25,0,27,0,0,0,18,2
5.7,1,10,35.909,39.381,36,1,34,0.708,24.079,23.341,0.687,9.803,333.3,44.1,29.4,1.158,15,24,26,35.5,1.056,14.7,17,0,18,0,0,0,14,1
5.7,4,23,51.796,58.066,55,2,52,0.649,33.762,35.54,0.683,7.413,385.5,46.2,44.2,1.117,24,29,32,43.0,0.996,5.8,18,0,20,0,0,0,20,2
5.7,3,17,44.196,48.74,44,4,43,0.658,28.314,29.063,0.676,8.731,375.45,37.2,39.5,1.133,16,26,27,38.0,1.028,11.6,12,0,16,0,0,1,12,3
5.7,4,19,49.68,55.413,53,0,49,0.679,33.275,34.642,0.707,8.643,423.53,44.9,38.8,1.131,22,30,34,46.5,1.014,10.2,25,0,25,0,0,0,18,0
5.7,1,16,48.56,53.626,50,1,47,0.695,32.659,32.625,0.694,9.009,423.43,46.8,34.0,1.141,22,31,34,46.5,1.033,10.6,23,0,24,0,0,0,21,1
5.7,5,17,40.432,45.449,42,1,40,0.647,25.871,26.745,0.669,7.809,312.38,42.5,42.5,1.136,17,23,25,33.5,1.011,10.0,11,0,13,0,0,1,11,1
6.1,7,34,72.712,82.141,76,2,73,0.632,46.12,49.25,0.675,7.435,542.77,41.1,46.6,1.125,30,39,42,56.0,0.996,8.2,22,0,25,0,0,0,23,3
5.7,1,15,41.262,45.405,45,2,41,0.699,28.655,29.495,0.719,8.327,341.39,51.2,36.6,1.107,21,26,30,42.0,1.006,7.3,22,0,23,0,0,0,20,1
5.7,3,16,38.331,42.95,40,1,38,0.654,24.85,25.739,0.677,7.825,297.36,44.7,42.1,1.13,17,22,24,32.5,1.009,7.9,17,0,17,0,0,0,14,0
5.7,3,19,44.029,49.235,46,2,44,0.652,28.708,30.017,0.682,7.578,333.42,45.5,43.2,1.119,20,25,27,37.0,1.001,6.8,18,0,19,0,0,0,17,1
6.7,1,14,35.556,39.408,37,2,35,0.667,23.336,24.387,0.697,8.64,302.39,40.0,40.0,1.126,14,21,23,33.0,1.016,11.4,16,0,18,0,0,0,13,2
5.7,3,19,45.323,50.492,47,2,45,0.658,29.597,30.711,0.682,7.787,350.42,46.7,42.2,1.122,21,26,28,38.0,1.007,4.4,18,0,19,0,0,0,18,1
