pXC50,Sp,Sv,nBT,Si,nAT,nBO,nSK,SCBO,nH,nC,MW,Se,nCsp2,nN,nCsp3,RBN,nDB,nBM,Mv,H.,nAB,nHet,nHM,Me,O.,AMW,N.,Mp
8.77,37.381,34.959,60,65.65,58,31,29,39.0,29,21,419.6,58.178,10,3,11,5,5,11,0.603,50.0,6,8,1,1.003,6.9,7.234,5.2,0.644
5.236,43.085,41.19,68,73.441,65,39,36,51.0,29,25,511.66,65.825,17,5,8,7,6,18,0.634,44.6,12,11,1,1.013,7.7,7.872,7.7,0.663
4.301,16.636,16.536,27,30.91,27,15,15,19.0,12,9,212.23,27.931,5,2,4,4,1,7,0.612,44.4,6,6,0,1.034,14.8,7.86,7.4,0.616
5.638,29.017,27.708,45,48.235,43,26,24,36.0,19,19,321.41,43.029,9,3,8,4,1,13,0.644,44.2,10,5,0,1.001,4.7,7.475,7.0,0.675
5.745,41.273,39.036,65,68.022,61,37,33,49.0,28,28,440.58,60.672,20,2,8,6,1,23,0.64,45.9,22,5,0,0.995,4.9,7.223,3.3,0.677
7.658,36.097,34.379,56,59.405,53,33,30,44.0,23,22,425.55,53.527,16,3,6,4,5,17,0.649,43.4,12,8,1,1.01,7.5,8.029,5.7,0.681
4.301,31.392,30.646,45,46.458,42,32,29,44.5,13,19,427.49,43.513,18,3,1,5,2,23,0.73,31.0,21,10,2,1.036,11.9,10.178,7.1,0.747
5.638,38.608,36.809,59,61.136,55,36,32,48.0,23,26,446.96,55.229,20,2,6,6,1,23,0.669,41.8,22,6,1,1.004,5.5,8.127,3.6,0.702
5.608,37.517,36.73,57,59.412,53,38,34,52.0,19,24,478.54,54.374,21,4,3,5,5,23,0.693,35.8,18,10,1,1.026,7.5,9.029,7.5,0.708
4.301,18.875,19.009,29,31.495,28,19,18,26.0,10,12,246.24,29.047,11,2,1,3,1,13,0.679,35.7,12,6,0,1.037,14.3,8.794,7.1,0.674
5.886,39.466,37.637,59,61.08,55,37,33,49.0,22,26,481.4,55.553,20,2,6,6,1,23,0.684,40.0,22,7,2,1.01,5.5,8.753,3.6,0.718
5.538,14.807,15.67,23,24.874,22,17,16,23.5,6,9,222.17,23.607,9,2,0,2,1,12,0.712,27.3,11,7,0,1.073,22.7,10.099,9.1,0.673
5.377,36.995,35.477,58,60.275,54,35,31,47.0,23,25,413.51,54.123,19,3,6,6,1,23,0.657,42.6,22,6,0,1.002,5.6,7.658,5.6,0.685
4.101,26.437,26.647,39,41.332,37,28,26,39.5,11,16,373.37,38.88,15,3,1,5,6,17,0.72,29.7,11,10,1,1.051,16.2,10.091,8.1,0.715
4.301,38.273,37.534,57,58.867,53,39,35,54.5,18,25,486.54,54.305,24,4,1,6,2,29,0.708,34.0,27,10,1,1.025,9.4,9.18,7.5,0.722
5.276,15.602,16.472,24,26.246,23,18,17,25.0,6,9,234.19,24.6,9,4,0,2,1,13,0.716,26.1,12,8,0,1.07,17.4,10.182,17.4,0.678
6.409,47.034,44.562,73,75.438,68,43,38,58.0,30,33,502.65,67.556,26,2,7,7,1,29,0.655,44.1,28,5,0,0.993,4.4,7.392,2.9,0.692
7.745,35.62,33.432,57,62.235,55,30,28,38.0,27,20,405.57,55.294,10,3,10,5,5,11,0.608,49.1,6,8,1,1.005,7.3,7.374,5.5,0.648
4.481,26.404,25.486,43,46.749,41,24,22,30.0,19,17,307.37,41.618,9,1,8,4,1,11,0.622,46.3,10,5,0,1.015,4.9,7.497,2.4,0.644
7.056,36.097,34.379,56,59.405,53,33,30,44.0,23,22,425.55,53.527,16,3,6,5,5,17,0.649,43.4,12,8,1,1.01,7.5,8.029,5.7,0.681
5.714,46.909,45.329,73,76.117,68,45,40,60.0,28,33,538.63,68.581,26,2,7,7,1,29,0.667,41.2,28,7,0,1.009,4.4,7.921,2.9,0.69
6.833,33.858,31.905,54,58.82,52,29,27,37.0,25,19,391.54,52.411,10,3,9,5,5,11,0.614,48.1,6,8,1,1.008,7.7,7.53,5.8,0.651
6.333,46.216,44.44,72,74.86,67,44,39,59.0,28,32,521.63,67.287,25,3,7,7,1,29,0.663,41.8,28,7,0,1.004,4.5,7.786,4.5,0.69
6.0,46.557,43.616,74,78.268,70,40,36,52.0,34,31,482.67,69.323,20,2,11,10,1,23,0.623,48.6,22,5,0,0.99,4.3,6.895,2.9,0.665
4.73,29.915,29.829,42,44.635,40,31,29,41.5,11,17,456.28,42.411,16,3,1,6,2,19,0.746,27.5,17,12,3,1.06,15.0,11.407,7.5,0.748
5.77,39.466,37.637,59,61.08,55,37,33,49.0,22,26,481.4,55.553,20,2,6,6,1,23,0.684,40.0,22,7,2,1.01,5.5,8.753,3.6,0.718
5.174,39.659,38.412,62,64.611,58,38,34,51.0,24,27,456.53,58.56,21,2,6,7,2,24,0.662,41.4,22,7,0,1.01,8.6,7.871,3.4,0.684
4.523,26.404,25.486,43,46.749,41,24,22,30.0,19,17,307.37,41.618,9,1,8,4,1,11,0.622,46.3,10,5,0,1.015,4.9,7.497,2.4,0.644
5.745,25.949,25.07,41,44.077,39,24,22,32.0,17,17,300.36,39.44,9,2,7,3,1,12,0.643,43.6,10,5,0,1.011,5.1,7.702,5.1,0.665
4.796,17.153,18.067,25,27.087,24,20,19,28.5,5,9,283.24,26.229,9,3,0,3,3,14,0.753,20.8,11,10,1,1.093,25.0,11.802,12.5,0.715
5.337,27.773,26.214,44,47.152,42,24,22,32.0,20,18,296.4,41.811,9,2,8,4,1,12,0.624,47.6,10,4,0,0.995,4.8,7.057,4.8,0.661
4.86,24.869,24.593,35,36.628,33,26,24,36.0,9,14,363.4,34.746,14,3,0,4,2,18,0.745,27.3,16,10,2,1.053,15.2,11.012,9.1,0.754
5.027,17.153,18.067,25,27.087,24,20,19,28.5,5,9,283.24,26.229,9,3,0,3,3,14,0.753,20.8,11,10,1,1.093,25.0,11.802,12.5,0.715
5.495,37.75,35.982,59,61.192,55,35,31,47.0,24,26,412.52,54.905,20,2,6,6,1,23,0.654,43.6,22,5,0,0.998,5.5,7.5,3.6,0.686
5.736,47.034,44.562,73,75.438,68,43,38,58.0,30,33,502.65,67.556,26,2,7,7,1,29,0.655,44.1,28,5,0,0.993,4.4,7.392,2.9,0.692
4.159,21.676,22.121,32,34.917,31,23,22,32.5,9,12,323.31,32.996,11,3,1,5,7,12,0.714,29.0,5,10,1,1.064,19.4,10.429,9.7,0.699
6.469,29.057,29.002,42,44.691,40,30,28,40.5,12,17,421.84,42.087,16,3,1,6,2,19,0.725,30.0,17,11,2,1.052,15.0,10.546,7.5,0.726
4.301,25.983,25.933,38,40.123,36,27,25,37.5,11,16,357.37,37.553,16,3,0,4,2,19,0.72,30.6,17,9,1,1.043,13.9,9.927,8.3,0.722
6.009,48.796,46.089,76,78.853,71,44,39,59.0,32,34,516.68,70.44,26,2,8,8,1,29,0.649,45.1,28,5,0,0.992,4.2,7.277,2.8,0.687
4.866,31.369,30.835,46,49.395,44,31,29,41.5,15,18,434.89,45.745,16,4,2,5,2,19,0.701,34.1,17,11,2,1.04,11.4,9.884,9.1,0.713
6.244,28.228,26.928,45,48.362,43,25,23,33.0,20,18,312.4,43.138,9,2,8,4,1,12,0.626,46.5,10,5,0,1.003,7.0,7.265,4.7,0.656
4.481,26.529,24.719,43,46.069,41,22,20,28.0,21,17,271.39,40.592,9,1,8,4,1,11,0.603,51.2,10,3,0,0.99,4.9,6.619,2.4,0.647
4.699,21.756,20.884,31,33.635,30,20,19,26.0,11,11,324.2,31.436,7,1,4,3,3,9,0.696,36.7,6,8,3,1.048,13.3,10.807,3.3,0.725
5.678,29.534,27.74,47,50.567,45,25,23,33.0,22,19,310.43,44.694,9,2,9,4,1,12,0.616,48.9,10,4,0,0.993,4.4,6.898,4.4,0.656
5.201,25.188,24.543,39,41.662,37,24,22,33.0,15,17,298.34,37.556,11,2,5,3,2,13,0.663,40.5,10,5,0,1.015,5.4,8.063,5.4,0.681
5.092,24.188,23.543,38,40.662,36,23,21,31.0,15,16,286.33,36.556,9,2,6,3,1,12,0.654,41.7,10,5,0,1.015,5.6,7.954,5.6,0.672
5.824,27.711,26.597,44,47.492,42,25,23,33.0,19,18,314.39,42.323,9,2,8,4,1,12,0.633,45.2,10,5,0,1.008,4.8,7.485,4.8,0.66
5.678,21.29,21.154,32,35.24,31,21,20,27.0,11,11,323.75,32.953,7,1,4,3,3,9,0.682,35.5,6,9,2,1.063,16.1,10.444,3.2,0.687
5.721,26.483,24.847,40,42.542,38,23,21,29.0,17,16,326.24,38.356,9,1,7,4,1,11,0.654,44.7,10,5,2,1.009,5.3,8.585,2.6,0.697
5.921,23.96,22.794,35,36.712,33,22,20,29.0,13,15,310.19,33.589,11,1,4,3,2,12,0.691,39.4,10,5,2,1.018,6.1,9.4,3.0,0.726
6.62,22.096,21.259,30,32.349,29,21,20,27.0,9,10,358.24,30.957,7,1,3,3,3,9,0.733,31.0,6,10,4,1.067,17.2,12.353,3.4,0.762
6.114,22.21,21.598,32,34.845,31,21,20,27.0,11,11,340.2,32.764,7,1,4,3,3,9,0.697,35.5,6,9,3,1.057,16.1,10.974,3.2,0.716
4.824,27.773,26.214,44,47.152,42,24,22,32.0,20,18,296.4,41.811,9,2,8,3,1,12,0.624,47.6,10,4,0,0.995,4.8,7.057,4.8,0.661
4.481,27.387,25.547,43,46.013,41,23,21,29.0,20,17,305.83,40.916,9,1,8,4,1,11,0.623,48.8,10,4,1,0.998,4.9,7.459,2.4,0.668
4.699,32.642,31.373,49,52.644,47,30,28,40.0,19,19,422.92,48.193,14,2,5,5,4,16,0.668,40.4,12,9,2,1.025,10.6,8.998,4.3,0.695
4.481,28.739,26.572,43,45.855,41,24,22,30.0,19,17,384.72,41.145,9,1,8,4,1,11,0.648,46.3,10,5,2,1.004,4.9,9.383,2.4,0.701
5.796,38.608,36.809,59,61.136,55,36,32,48.0,23,26,446.96,55.229,20,2,6,6,1,23,0.669,41.8,22,6,1,1.004,5.5,8.127,3.6,0.702
5.448,37.858,35.905,59,62.82,56,34,31,45.0,25,23,439.58,56.411,16,3,7,6,5,17,0.641,44.6,12,8,1,1.007,7.1,7.85,5.4,0.676
4.699,21.046,20.25,33,36.245,32,19,18,25.0,14,11,270.34,32.891,7,2,4,3,3,9,0.633,43.8,6,7,1,1.028,12.5,8.448,6.3,0.658
5.328,26.012,24.687,41,43.737,39,23,21,31.0,18,17,282.37,38.927,9,2,7,3,1,12,0.633,46.2,10,4,0,0.998,5.1,7.24,5.1,0.667
5.225,23.665,22.604,36,39.605,35,21,20,27.0,15,12,318.81,36.098,7,2,5,3,3,9,0.646,42.9,6,8,2,1.031,11.4,9.109,5.7,0.676
6.469,48.796,46.089,76,78.853,71,44,39,59.0,32,34,516.68,70.44,26,2,8,8,1,29,0.649,45.1,28,5,0,0.992,4.2,7.277,2.8,0.687
7.658,54.819,52.584,85,89.758,80,51,46,67.0,34,36,641.19,80.69,27,4,9,8,2,30,0.657,42.5,28,10,1,1.009,5.0,8.015,5.0,0.685
7.367,52.352,51.059,81,87.069,77,51,47,69.0,30,29,682.81,79.305,23,8,6,11,9,27,0.663,39.0,18,18,2,1.03,10.4,8.868,10.4,0.68
8.3,38.148,37.006,59,63.408,56,37,34,50.0,22,20,506.62,57.796,15,6,5,6,7,19,0.661,39.3,12,14,2,1.032,10.7,9.047,10.7,0.681
5.699,23.972,23.125,35,38.26,34,22,21,28.0,13,12,354.23,35.647,7,1,5,3,3,9,0.68,38.2,6,9,3,1.048,14.7,10.419,2.9,0.705
7.745,48.131,46.796,74,78.946,70,47,43,64.0,27,27,625.75,71.993,22,7,5,9,8,26,0.669,38.6,18,16,2,1.028,10.0,8.939,10.0,0.688
7.06,45.795,44.731,72,78.282,69,44,41,58.0,28,24,608.72,71.429,16,6,8,11,8,20,0.648,40.6,12,17,2,1.035,13.0,8.822,8.7,0.664
6.237,46.591,44.599,72,74.674,67,44,39,58.5,28,31,542.07,67.425,23,3,8,7,1,28,0.666,41.8,27,8,1,1.006,6.0,8.091,4.5,0.695
7.699,44.131,42.796,69,74.946,66,42,39,56.0,27,23,577.71,67.993,16,7,7,10,8,20,0.648,40.9,12,16,2,1.03,10.6,8.753,10.6,0.669
6.03,41.779,40.378,66,71.235,63,39,36,51.0,27,24,513.63,64.269,16,5,8,7,6,18,0.641,42.9,12,12,1,1.02,9.5,8.153,7.9,0.663
6.917,51.102,49.543,79,84.487,75,49,45,66.0,30,29,654.79,76.985,22,6,7,10,8,26,0.661,40.0,18,16,2,1.026,10.7,8.731,8.0,0.681
7.589,49.193,47.113,76,81.069,72,46,42,62.0,30,28,610.78,73.331,21,6,7,10,7,25,0.654,41.7,18,14,2,1.018,8.3,8.483,8.3,0.683
5.149,23.972,23.125,35,38.26,34,22,21,28.0,13,12,354.23,35.647,7,1,5,3,3,9,0.68,38.2,6,9,3,1.048,14.7,10.419,2.9,0.705
6.538,47.137,44.884,72,74.465,67,44,39,59.0,28,32,538.08,67.098,25,3,7,7,1,29,0.67,41.8,28,7,1,1.001,4.5,8.031,4.5,0.704
5.121,37.852,35.884,58,61.321,55,34,31,44.5,24,24,436.57,55.309,17,2,7,6,2,19,0.652,43.6,17,7,1,1.006,7.3,7.938,3.6,0.688
5.346,43.137,40.464,67,71.567,64,37,34,47.5,30,27,478.66,63.96,17,2,10,7,2,19,0.632,46.9,17,7,1,0.999,6.3,7.479,3.1,0.674
5.241,37.852,35.884,58,61.321,55,34,31,44.5,24,24,436.57,55.309,17,2,7,6,2,19,0.652,43.6,17,7,1,1.006,7.3,7.938,3.6,0.688
7.143,43.818,42.962,67,72.242,64,43,40,59.0,24,24,588.68,66.334,16,6,6,9,8,21,0.671,37.5,12,16,2,1.036,12.5,9.198,9.4,0.685
7.046,47.784,45.072,72,74.385,67,44,39,58.5,28,31,558.14,67.174,23,3,8,7,1,28,0.673,41.8,27,8,2,1.003,4.5,8.33,4.5,0.713
7.301,47.892,45.39,73,75.382,68,44,39,59.0,29,33,537.09,67.88,26,2,7,7,1,29,0.667,42.6,28,6,1,0.998,4.4,7.898,2.9,0.704
6.921,37.591,36.389,58,62.069,55,36,33,49.0,22,22,466.57,56.065,15,6,6,6,5,18,0.662,40.0,12,11,1,1.019,7.3,8.483,10.9,0.683
5.827,43.318,41.641,67,70.527,63,41,37,55.0,26,27,518.64,63.84,21,4,6,7,5,23,0.661,41.3,18,10,1,1.013,7.9,8.232,6.3,0.688
7.26,49.137,46.884,74,76.465,69,46,41,63.0,28,34,562.1,69.098,26,3,7,7,1,30,0.679,40.6,28,7,1,1.001,4.3,8.146,4.3,0.712
6.824,29.773,28.214,47,49.152,44,27,24,36.0,20,20,320.42,43.811,14,2,6,3,1,17,0.641,45.5,16,4,0,0.996,4.5,7.282,4.5,0.677
7.538,59.637,56.706,91,94.335,85,55,49,74.0,36,41,670.25,84.96,33,3,8,10,2,36,0.667,42.4,34,8,1,1.0,4.7,7.885,3.5,0.702
6.726,48.142,45.906,74,76.963,69,45,40,60.0,29,32,553.1,69.2,24,4,8,7,1,29,0.665,42.0,28,8,1,1.003,4.3,8.016,5.8,0.698
7.357,47.432,45.586,73,77.653,69,45,41,61.0,28,27,596.75,70.447,21,6,6,9,7,25,0.661,40.6,18,14,2,1.021,8.7,8.649,8.7,0.687
8.62,38.903,37.511,60,64.325,57,37,34,50.0,23,21,505.63,58.578,15,5,6,6,7,19,0.658,40.4,12,13,2,1.028,10.5,8.871,8.8,0.683
5.447,54.813,52.563,85,88.259,79,52,46,68.0,33,37,638.18,79.589,27,3,10,8,2,30,0.665,41.8,28,9,1,1.007,5.1,8.078,3.8,0.694
7.056,44.58,43.489,69,74.657,66,43,40,58.0,26,24,590.7,68.218,18,6,6,10,9,21,0.659,39.4,12,16,2,1.034,12.1,8.95,9.1,0.675
6.724,44.437,43.316,68,73.601,65,43,40,57.0,25,23,613.13,67.542,16,6,7,9,8,20,0.666,38.5,12,17,3,1.039,12.3,9.433,9.2,0.684
5.509,23.665,22.604,36,39.605,35,21,20,27.0,15,12,318.81,36.098,7,2,5,3,3,9,0.646,42.9,6,8,2,1.031,11.4,9.109,5.7,0.676
6.585,22.705,21.796,32,34.742,31,21,20,27.0,11,11,384.65,32.669,7,1,4,3,3,9,0.703,35.5,6,9,3,1.054,16.1,12.408,3.2,0.732
4.0,23.068,22.426,32,34.789,31,22,21,28.0,10,11,374.64,33.087,7,1,4,3,3,9,0.723,32.3,6,10,4,1.067,16.1,12.085,3.2,0.744
8.0,42.676,41.081,67,72.737,64,40,37,53.0,27,22,549.7,65.665,15,7,7,9,7,19,0.642,42.2,12,15,2,1.026,9.4,8.589,10.9,0.667
7.62,43.676,42.081,69,73.737,65,42,38,55.0,27,23,561.71,66.665,15,7,8,8,7,19,0.647,41.5,12,15,2,1.026,9.2,8.642,10.8,0.672
8.06,39.148,38.006,61,64.408,57,39,35,52.0,22,21,518.63,58.796,16,6,5,6,7,19,0.667,38.6,12,14,2,1.032,10.5,9.099,10.5,0.687
7.854,39.909,38.533,62,66.823,59,38,35,51.0,24,21,520.65,60.68,15,6,6,7,7,19,0.653,40.7,12,14,2,1.028,10.2,8.825,10.2,0.676
7.456,44.824,43.984,69,74.74,66,44,41,60.0,25,24,603.7,68.436,16,7,7,10,8,21,0.666,37.9,12,17,2,1.037,12.1,9.147,10.6,0.679
7.237,49.341,48.016,76,81.072,72,48,44,65.0,28,28,640.76,74.102,22,6,6,10,8,26,0.667,38.9,18,16,2,1.029,11.1,8.899,8.3,0.685
7.495,47.199,45.134,75,80.567,71,44,40,57.0,31,25,589.77,72.432,15,7,10,8,7,19,0.636,43.7,12,15,2,1.02,8.5,8.307,9.9,0.665
7.886,48.585,47.51,75,80.155,71,48,44,66.0,27,27,641.75,73.32,21,7,6,10,9,27,0.669,38.0,18,17,2,1.033,11.3,9.039,9.9,0.684
5.658,37.517,35.53,60,64.106,57,33,30,43.0,27,24,405.54,56.891,15,3,9,5,2,18,0.623,47.4,16,6,0,0.998,5.3,7.115,5.3,0.658
7.201,52.421,49.465,81,84.71,76,47,42,62.0,34,35,580.17,75.749,26,3,9,8,1,29,0.651,44.7,28,7,1,0.997,3.9,7.634,3.9,0.69
8.31,42.426,40.565,66,71.155,63,39,36,52.0,27,23,533.69,64.345,15,5,8,7,7,19,0.644,42.9,12,13,2,1.021,9.5,8.471,7.9,0.673
7.387,44.665,43.038,68,71.74,64,43,39,59.0,25,26,567.7,65.462,21,5,5,7,7,25,0.672,39.1,18,13,2,1.023,9.4,8.87,7.8,0.698
5.08,36.273,35.534,55,56.867,51,37,33,51.0,18,23,462.52,52.305,21,4,2,4,5,23,0.697,35.3,18,10,1,1.026,9.8,9.069,7.8,0.711
7.301,48.75,46.217,73,75.326,68,45,40,60.0,28,33,571.53,68.203,26,2,7,7,1,29,0.68,41.2,28,7,2,1.003,4.4,8.405,2.9,0.717
7.745,52.114,49.653,80,83.505,75,48,43,64.0,32,35,594.15,75.192,27,3,8,8,2,30,0.662,42.7,28,8,1,1.003,5.3,7.922,4.0,0.695
7.0,50.108,47.631,77,80.006,72,46,41,61.0,31,34,567.12,72.091,26,2,8,8,1,29,0.662,43.1,28,7,1,1.001,5.6,7.877,2.8,0.696
5.077,34.511,34.008,52,53.451,48,36,32,50.0,16,22,448.49,49.422,21,4,1,3,5,23,0.708,33.3,18,10,1,1.03,10.4,9.344,8.3,0.719
5.6,34.511,34.008,52,53.451,48,36,32,50.0,16,22,448.49,49.422,21,4,1,3,5,23,0.708,33.3,18,10,1,1.03,10.4,9.344,8.3,0.719
4.301,31.529,29.719,49,51.069,46,28,25,37.5,21,22,331.44,45.592,16,1,6,3,1,18,0.646,45.7,17,3,0,0.991,4.3,7.205,2.2,0.685
7.027,30.529,28.719,48,50.069,45,27,24,36.0,21,21,319.43,44.592,15,1,6,3,1,17,0.638,46.7,16,3,0,0.991,4.4,7.098,2.2,0.678
7.745,51.108,48.631,78,81.006,73,47,42,63.0,31,35,579.13,73.091,27,2,8,8,2,30,0.666,42.5,28,7,1,1.001,5.5,7.933,2.7,0.7
7.567,38.256,37.324,60,64.405,57,37,34,49.0,23,22,485.57,58.502,16,5,6,7,6,18,0.655,40.4,12,12,1,1.026,10.5,8.519,8.8,0.671
7.32,47.199,45.134,75,80.567,71,44,40,57.0,31,25,589.77,72.432,15,7,10,8,7,19,0.636,43.7,12,15,2,1.02,8.5,8.307,9.9,0.665
4.59,35.818,34.819,54,55.657,50,36,32,50.0,18,23,446.52,50.978,21,4,2,3,5,23,0.696,36.0,18,9,1,1.02,8.0,8.93,8.0,0.716
7.569,45.438,43.608,72,77.152,68,43,39,56.0,29,24,575.74,69.549,15,7,9,8,7,19,0.641,42.6,12,15,2,1.023,8.8,8.467,10.3,0.668
6.971,42.125,40.774,66,71.448,63,40,37,53.0,26,22,550.68,64.891,15,6,7,9,7,19,0.647,41.3,12,15,2,1.03,11.1,8.741,9.5,0.669
5.959,49.25,46.804,77,80.062,72,45,40,60.0,32,34,532.68,71.767,26,2,8,8,1,29,0.65,44.4,28,6,0,0.997,5.6,7.398,2.8,0.684
7.658,44.188,42.092,69,74.57,66,40,37,53.0,29,24,547.72,67.229,15,5,9,9,7,19,0.638,43.9,12,13,2,1.019,9.1,8.299,7.6,0.67
7.495,57.336,54.617,89,94.09,84,52,47,68.0,37,38,654.23,84.356,27,3,11,9,2,30,0.65,44.0,28,9,1,1.004,4.8,7.788,3.6,0.683
6.102,31.654,30.091,52,56.575,50,27,25,32.0,25,20,348.45,50.309,8,0,12,6,2,8,0.602,50.0,6,5,0,1.006,8.0,6.969,0.0,0.633
6.435,37.705,37.017,59,63.116,56,37,34,49.0,22,22,486.55,57.727,16,4,6,7,6,18,0.661,39.3,12,12,1,1.031,12.5,8.688,7.1,0.673
5.57,35.409,34.318,51,52.084,47,36,32,50.0,15,22,511.38,48.324,21,4,1,3,5,23,0.73,31.9,18,10,2,1.028,8.5,10.88,8.5,0.753
7.276,47.137,44.884,72,74.465,67,44,39,59.0,28,32,538.08,67.098,25,3,7,7,1,29,0.67,41.8,28,7,1,1.001,4.5,8.031,4.5,0.704
6.77,47.784,45.072,72,74.385,67,44,39,58.5,28,31,558.14,67.174,23,3,8,7,1,28,0.673,41.8,27,8,2,1.003,4.5,8.33,4.5,0.713
6.699,47.892,45.39,73,75.382,68,44,39,59.0,29,33,537.09,67.88,26,2,7,7,1,29,0.667,42.6,28,6,1,0.998,4.4,7.898,2.9,0.704
7.678,44.585,43.51,70,76.155,67,43,40,57.0,27,23,593.71,69.32,16,7,7,10,8,20,0.649,40.3,12,17,2,1.035,11.9,8.861,10.4,0.665
5.721,29.773,28.214,47,49.152,44,27,24,36.0,20,20,320.42,43.811,14,2,6,3,1,17,0.641,45.5,16,4,0,0.996,4.5,7.282,4.5,0.677
4.951,31.989,30.455,51,53.777,48,29,26,38.0,22,21,350.45,48.022,14,2,7,4,1,17,0.634,45.8,16,5,0,1.0,6.3,7.301,4.2,0.666
4.301,28.017,26.708,45,47.235,42,26,23,34.5,19,18,309.4,42.029,12,3,6,3,1,16,0.636,45.2,15,5,0,1.001,4.8,7.367,7.1,0.667
5.013,29.955,28.181,49,52.82,47,25,23,30.0,24,19,316.43,46.912,8,0,11,5,2,8,0.6,51.1,6,4,0,0.998,8.5,6.733,0.0,0.637
5.319,31.529,29.719,49,51.069,46,28,25,37.5,21,22,331.44,45.592,16,1,6,3,1,18,0.646,45.7,17,3,0,0.991,4.3,7.205,2.2,0.685
4.638,29.5,27.466,48,51.611,46,24,22,29.0,24,19,300.43,45.585,8,0,11,4,2,8,0.597,52.2,6,3,0,0.991,6.5,6.531,0.0,0.641
5.409,36.273,35.534,55,56.867,51,37,33,51.0,18,23,462.52,52.305,21,4,2,4,5,23,0.697,35.3,18,10,1,1.026,9.8,9.069,7.8,0.711
5.301,28.597,26.767,45,48.139,43,24,22,29.0,21,18,320.84,43.025,8,0,10,4,2,8,0.622,48.8,6,4,1,1.001,7.0,7.461,0.0,0.665
6.509,34.585,33.368,54,57.571,51,33,30,44.0,21,20,427.53,51.963,15,5,5,4,5,17,0.654,41.2,12,10,1,1.019,7.8,8.383,9.8,0.678
7.854,52.051,50.036,80,83.844,75,49,44,65.0,31,35,612.14,75.705,27,3,8,8,2,30,0.667,41.3,28,9,1,1.009,5.3,8.162,4.0,0.694
7.678,54.267,52.278,84,88.469,79,51,46,67.0,33,36,642.17,79.916,27,3,9,10,2,30,0.662,41.8,28,10,1,1.012,6.3,8.129,3.8,0.687
6.319,31.892,30.863,51,53.697,48,30,27,39.5,21,21,367.43,48.574,14,1,7,5,2,17,0.643,43.8,15,6,0,1.012,10.4,7.655,2.1,0.664
7.237,37.159,34.696,58,61.527,55,32,29,41.5,26,23,410.58,54.865,14,2,9,5,2,17,0.631,47.3,15,6,1,0.998,5.5,7.465,3.6,0.676
5.79,39.318,37.641,62,66.527,59,36,33,47.0,26,23,470.6,59.84,15,4,8,7,5,17,0.638,44.1,12,10,1,1.014,8.5,7.976,6.8,0.666
6.638,29.773,28.214,47,49.152,44,27,24,36.0,20,20,320.42,43.811,14,2,6,3,1,17,0.641,45.5,16,4,0,0.996,4.5,7.282,4.5,0.677
5.301,44.75,43.125,71,76.777,68,41,38,53.0,30,26,542.67,69.262,16,4,10,9,6,18,0.634,44.1,12,12,1,1.019,10.3,7.98,5.9,0.658
4.112,29.989,28.455,48,51.777,46,26,24,33.5,22,19,326.43,46.022,12,2,7,5,2,13,0.619,47.8,11,5,0,1.0,6.5,7.096,4.3,0.652
6.276,33.415,31.618,55,59.99,53,28,26,33.0,27,21,362.48,53.192,8,0,13,6,2,8,0.597,50.9,6,5,0,1.004,7.5,6.839,0.0,0.63
7.678,55.574,53.09,86,90.675,81,51,46,67.0,35,37,640.2,81.472,27,3,10,10,2,30,0.655,43.2,28,9,1,1.006,4.9,7.904,3.7,0.686
5.367,33.023,30.52,54,58.441,52,26,24,31.0,28,21,328.49,51.352,8,0,13,5,2,8,0.587,53.8,6,3,0,0.988,5.8,6.317,0.0,0.635
6.538,29.08,27.735,45,46.807,42,27,24,35.5,18,19,343.83,42.36,13,1,6,3,1,16,0.66,42.9,15,5,1,1.009,7.1,8.186,2.4,0.692
5.658,25.705,24.875,41,42.531,38,25,22,33.5,16,17,296.35,38.371,12,2,5,3,1,16,0.655,42.1,15,5,0,1.01,7.9,7.799,5.3,0.676
4.319,27.739,25.939,45,48.195,43,23,21,28.0,22,18,286.4,42.702,8,0,10,4,2,8,0.603,51.2,6,3,0,0.993,7.0,6.66,0.0,0.645
6.553,37.722,35.754,59,63.262,56,34,31,41.5,25,21,465.02,56.836,10,4,11,7,2,13,0.638,44.6,11,10,2,1.015,7.1,8.304,7.1,0.674
5.77,33.478,31.234,55,59.65,53,27,25,32.0,28,21,344.49,52.68,8,0,13,6,2,8,0.589,52.8,6,4,0,0.994,7.5,6.5,0.0,0.632
7.678,28.222,26.907,45,46.863,42,26,23,34.5,19,19,309.39,42.036,13,1,6,3,1,16,0.641,45.2,15,4,0,1.001,7.1,7.366,2.4,0.672
4.284,29.955,28.181,49,52.82,47,25,23,30.0,24,19,316.43,46.912,8,0,11,4,2,8,0.6,51.1,6,4,0,0.998,8.5,6.733,0.0,0.637
7.42,38.477,36.26,60,64.179,57,34,31,41.5,26,22,464.03,57.618,11,3,11,7,2,13,0.636,45.6,11,9,2,1.011,7.0,8.141,5.3,0.675
7.721,36.057,33.794,58,60.398,54,32,28,41.0,26,24,374.52,53.461,15,2,9,2,1,17,0.626,48.1,16,4,0,0.99,3.7,6.936,3.7,0.668
6.745,32.29,30.246,51,53.484,48,28,25,37.0,23,22,333.46,47.476,15,1,7,3,1,17,0.63,47.9,16,3,0,0.989,4.2,6.947,2.1,0.673
