pXC50,nN,Mi,nCsp2,H.,Mp,nCL,C.,nAB,Mv,N.,nBM,Sp,nSK,nC,nBO,SCBO,nCsp3,Sv,MW,X.,RBF,nAT
8.2,2,1.124,13,47.5,0.674,2,40.7,12,0.631,3.4,13,39.75,31,24,34,41.0,11,37.217,463.44,3.4,0.097,59
8.3,2,1.124,13,47.5,0.674,2,40.7,12,0.631,3.4,13,39.75,31,24,34,41.0,11,37.217,463.44,3.4,0.097,59
7.2,2,1.124,13,47.5,0.674,2,40.7,12,0.631,3.4,13,39.75,31,24,34,41.0,11,37.217,463.44,3.4,0.097,59
7.8,2,1.125,13,48.4,0.67,2,40.3,12,0.625,3.2,13,41.512,32,25,35,42.0,12,38.744,477.47,3.2,0.108,62
8.3,2,1.125,13,48.4,0.67,2,40.3,12,0.625,3.2,13,41.512,32,25,35,42.0,12,38.744,477.47,3.2,0.108,62
7.7,2,1.125,13,48.4,0.67,2,40.3,12,0.625,3.2,13,41.512,32,25,35,42.0,12,38.744,477.47,3.2,0.108,62
7.8,2,1.126,13,47.6,0.666,2,39.7,12,0.626,3.2,13,41.966,33,25,36,43.0,12,39.459,493.47,3.2,0.121,63
8.3,2,1.126,13,47.6,0.666,2,39.7,12,0.626,3.2,13,41.966,33,25,36,43.0,12,39.459,493.47,3.2,0.121,63
7.4,2,1.126,13,47.6,0.666,2,39.7,12,0.626,3.2,13,41.966,33,25,36,43.0,12,39.459,493.47,3.2,0.121,63
7.2,2,1.125,13,48.4,0.67,2,40.3,12,0.625,3.2,13,41.512,32,25,35,42.0,12,38.744,477.47,3.2,0.108,62
7.3,2,1.125,13,48.4,0.67,2,40.3,12,0.625,3.2,13,41.512,32,25,35,42.0,12,38.744,477.47,3.2,0.108,62
6.9,2,1.125,13,48.4,0.67,2,40.3,12,0.625,3.2,13,41.512,32,25,35,42.0,12,38.744,477.47,3.2,0.108,62
8.0,3,1.128,12,46.6,0.672,2,39.7,12,0.633,5.2,13,38.995,31,23,34,41.0,11,36.712,464.43,3.4,0.098,58
7.3,2,1.125,13,49.2,0.666,2,40.0,12,0.62,3.1,13,43.273,33,26,36,43.0,13,40.271,491.5,3.1,0.118,65
7.0,2,1.125,13,49.2,0.666,2,40.0,12,0.62,3.1,13,43.273,33,26,36,43.0,13,40.271,491.5,3.1,0.118,65
7.3,2,1.125,13,47.7,0.679,3,40.0,12,0.632,3.1,13,44.131,34,26,37,44.0,13,41.098,525.94,4.6,0.118,65
7.5,2,1.125,13,47.7,0.679,3,40.0,12,0.632,3.1,13,44.131,34,26,37,44.0,13,41.098,525.94,4.6,0.118,65
7.3,2,1.131,13,47.7,0.665,2,40.0,12,0.625,3.1,13,43.211,34,26,37,44.0,13,40.654,509.49,4.6,0.118,65
6.9,2,1.131,13,47.7,0.665,2,40.0,12,0.625,3.1,13,43.211,34,26,37,44.0,13,40.654,509.49,4.6,0.118,65
7.3,2,1.131,13,47.7,0.665,2,40.0,12,0.625,3.1,13,43.211,34,26,37,44.0,13,40.654,509.49,4.6,0.118,65
6.27,10,1.15,10,52.5,0.622,0,31.3,10,0.578,12.5,14,49.796,38,25,39,48.0,15,46.259,546.84,0.0,0.247,80
6.0,10,1.147,10,51.3,0.637,0,30.8,10,0.589,12.8,14,49.682,38,24,39,48.0,14,45.92,564.88,0.0,0.215,78
6.01,10,1.146,10,52.4,0.633,0,31.0,10,0.583,11.9,14,53.205,40,26,41,50.0,16,48.973,592.94,0.0,0.224,84
6.0,10,1.145,10,54.9,0.625,0,31.4,10,0.57,9.8,14,63.774,46,32,47,56.0,22,58.134,677.12,0.0,0.243,102
6.0,10,1.148,10,50.0,0.641,0,30.6,10,0.595,13.9,14,46.16,36,22,37,46.0,12,42.866,536.82,0.0,0.26,72
6.0,10,1.147,10,51.3,0.637,0,30.8,10,0.589,12.8,14,49.682,38,24,39,48.0,14,45.92,564.88,0.0,0.266,78
6.13,10,1.156,10,50.0,0.615,0,31.3,10,0.585,15.6,14,39.341,32,20,33,42.0,10,37.438,444.62,0.0,0.262,64
6.7,10,1.154,10,51.4,0.612,0,31.4,10,0.578,14.3,14,42.864,34,22,35,44.0,12,40.492,472.68,0.0,0.268,70
6.32,10,1.153,10,52.6,0.61,0,31.6,10,0.573,13.2,14,46.387,36,24,37,46.0,14,43.546,500.74,0.0,0.273,76
6.0,10,1.15,10,55.3,0.606,0,31.9,10,0.561,10.6,14,56.955,42,30,43,52.0,20,52.706,584.92,0.0,0.284,94
6.0,10,1.148,10,57.1,0.603,0,32.1,10,0.552,8.9,14,67.524,48,36,49,58.0,26,61.867,669.1,0.0,0.292,112
6.0,10,1.147,10,51.9,0.635,0,30.9,10,0.586,12.3,14,51.444,39,25,40,49.0,15,47.447,578.91,0.0,0.244,81
6.0,10,1.148,10,50.0,0.641,0,30.6,10,0.595,13.9,14,46.16,36,22,37,46.0,12,42.866,536.82,0.0,0.205,72
8.6,3,1.127,13,47.0,0.676,2,37.9,12,0.631,4.5,15,44.62,35,25,38,47.0,12,41.667,540.56,3.0,0.072,66
7.7,4,1.131,13,47.9,0.667,2,36.6,12,0.623,5.6,15,47.387,37,26,40,49.0,13,44.216,569.61,2.8,0.081,71
7.0,3,1.126,13,45.0,0.685,2,38.3,12,0.644,5.0,15,41.097,33,23,36,45.0,10,38.614,512.5,3.3,0.095,60
7.6,3,1.126,13,46.0,0.68,2,38.1,12,0.637,4.8,15,42.858,34,24,37,46.0,11,40.141,526.53,3.2,0.091,63
8.1,2,1.122,13,45.9,0.686,2,39.3,12,0.641,3.3,15,41.852,33,24,36,45.0,11,39.119,511.51,3.3,0.078,61
7.6,3,1.121,16,44.3,0.688,2,42.6,12,0.651,4.9,15,41.995,34,26,38,47.0,10,39.712,500.46,3.3,0.062,61
7.6,2,1.123,13,46.9,0.681,2,39.1,12,0.635,3.1,15,43.614,34,25,37,46.0,12,40.646,525.54,3.1,0.075,64
7.0,2,1.125,14,45.2,0.672,2,40.3,12,0.639,3.2,14,41.659,34,25,37,45.0,11,39.647,507.45,3.2,0.108,62
7.6,2,1.123,14,44.8,0.68,2,41.4,12,0.645,3.4,14,39.443,32,24,35,43.0,10,37.405,477.42,3.4,0.082,58
6.9,2,1.123,14,44.8,0.68,2,41.4,12,0.645,3.4,14,39.443,32,24,35,43.0,10,37.405,477.42,3.4,0.082,58
7.8,4,1.126,15,42.6,0.683,2,41.0,12,0.654,6.6,15,41.693,35,25,39,48.0,10,39.921,517.45,3.3,0.077,61
7.5,6,1.131,14,43.3,0.684,2,40.0,17,0.65,10.0,18,41.034,34,24,38,47.5,10,39.008,501.46,3.3,0.078,60
7.1,2,1.124,14,45.7,0.675,2,38.6,12,0.637,2.9,16,47.284,38,27,41,51.0,13,44.602,583.58,2.9,0.123,70
7.8,3,1.128,14,47.0,0.666,2,39.4,12,0.628,4.5,14,43.972,35,26,38,46.0,12,41.48,520.5,3.0,0.116,66
7.4,6,1.133,15,45.3,0.667,2,38.7,17,0.634,8.0,19,49.989,41,29,45,55.5,14,47.545,601.59,2.7,0.127,75
5.2,2,1.124,14,46.9,0.671,2,40.6,12,0.632,3.1,14,42.966,34,26,37,45.0,12,40.459,505.48,3.1,0.075,64
5.3,2,1.124,14,46.9,0.671,2,40.6,12,0.632,3.1,14,42.966,34,26,37,45.0,12,40.459,505.48,3.1,0.075,64
6.7,2,1.123,14,43.8,0.684,2,39.1,12,0.649,3.1,16,43.761,36,25,39,49.0,11,41.549,555.52,3.1,0.09,64
7.5,3,1.126,13,45.0,0.685,2,38.3,12,0.644,5.0,15,41.097,33,23,36,45.0,10,38.614,512.5,3.3,0.079,60
7.3,3,1.131,13,43.3,0.684,2,38.3,12,0.65,5.0,15,41.034,34,23,37,46.0,10,38.997,530.49,5.0,0.079,60
7.7,3,1.125,13,43.3,0.699,3,38.3,12,0.657,5.0,15,41.955,34,23,37,46.0,10,39.441,546.94,5.0,0.079,60
7.7,3,1.128,13,45.3,0.677,2,37.5,12,0.638,4.7,15,43.313,35,24,38,47.0,11,40.855,542.53,3.1,0.09,64
7.7,4,1.13,13,47.1,0.671,2,36.8,12,0.628,5.9,15,45.625,36,25,39,48.0,12,42.689,555.58,2.9,0.085,68
7.3,3,1.126,13,46.0,0.68,2,38.1,12,0.637,4.8,15,42.858,34,24,37,46.0,11,40.141,526.53,3.2,0.076,63
7.3,3,1.125,13,43.3,0.699,3,38.3,12,0.657,5.0,15,41.955,34,23,37,46.0,10,39.441,546.94,5.0,0.079,60
7.7,3,1.128,13,45.3,0.677,2,37.5,12,0.638,4.7,15,43.313,35,24,38,47.0,11,40.855,542.53,3.1,0.09,64
7.6,4,1.13,13,47.1,0.671,2,36.8,12,0.628,5.9,15,45.625,36,25,39,48.0,12,42.689,555.58,2.9,0.085,68
7.5,3,1.126,13,46.0,0.68,2,38.1,12,0.637,4.8,15,42.858,34,24,37,46.0,11,40.141,526.53,3.2,0.076,63
8.1,3,1.125,13,43.3,0.699,3,38.3,12,0.657,5.0,15,41.955,34,23,37,46.0,10,39.441,546.94,5.0,0.079,60
7.7,4,1.125,13,42.6,0.694,2,39.3,12,0.658,6.6,16,42.341,35,24,38,49.0,10,40.108,537.51,3.3,0.078,61
7.4,3,1.142,13,41.3,0.677,2,38.1,12,0.655,4.8,15,42.671,37,24,40,49.0,11,41.291,580.5,7.9,0.076,63
7.8,3,1.126,13,46.0,0.68,2,38.1,12,0.637,4.8,15,42.858,34,24,37,46.0,11,40.141,526.53,3.2,0.076,63
7.7,3,1.127,13,47.0,0.676,2,37.9,12,0.631,4.5,15,44.62,35,25,38,47.0,12,41.667,540.56,3.0,0.072,66
7.6,3,1.128,13,48.5,0.663,1,37.9,12,0.619,4.5,15,43.762,34,25,37,46.0,12,40.84,506.12,1.5,0.072,66
6.9,3,1.127,13,47.6,0.667,1,38.1,12,0.624,4.8,15,42.0,33,24,36,45.0,11,39.313,492.09,1.6,0.076,63
6.0,3,1.139,13,46.0,0.651,0,38.1,12,0.623,4.8,15,41.017,34,24,37,46.0,11,39.252,493.63,3.2,0.076,63
7.3,3,1.126,13,46.0,0.68,2,38.1,12,0.637,4.8,15,42.858,34,24,37,46.0,11,40.141,526.53,3.2,0.091,63
8.94,4,1.121,32,46.2,0.663,0,43.3,24,0.632,3.8,30,68.955,56,45,61,79.0,13,65.679,756.97,0.0,0.174,104
7.18,4,1.114,40,43.6,0.681,0,46.4,35,0.652,3.6,41,74.955,62,51,69,92.5,11,71.679,829.03,0.0,0.145,110
8.777,1,1.115,12,52.3,0.668,0,45.5,12,0.609,2.3,12,29.381,21,20,24,30.0,8,26.816,277.44,0.0,0.085,44
8.06,4,1.138,11,56.7,0.618,0,35.8,12,0.564,6.0,12,41.421,29,24,30,36.0,13,37.756,398.66,0.0,0.221,67
7.328,5,1.131,18,45.5,0.663,0,42.4,17,0.633,7.6,20,43.773,36,28,40,51.5,10,41.768,487.63,1.5,0.071,66
7.699,1,1.113,21,47.7,0.674,0,46.2,18,0.632,1.5,20,43.79,34,30,38,49.0,9,41.068,453.62,0.0,0.087,65
6.166,3,1.124,14,46.4,0.679,1,39.3,16,0.635,5.4,18,38.023,30,22,33,43.0,8,35.545,448.03,1.8,0.085,56
6.232,4,1.128,13,45.5,0.678,1,38.2,16,0.637,7.3,18,37.267,30,21,33,43.0,8,35.039,449.02,1.8,0.086,55
8.17,4,1.12,32,44.9,0.668,0,43.9,24,0.639,4.1,30,65.432,54,43,59,77.0,11,62.625,728.91,0.0,0.165,98
7.68,6,1.123,32,46.0,0.665,0,43.0,24,0.632,6.0,30,66.535,54,43,59,77.0,11,63.238,726.95,0.0,0.162,100
5.872,5,1.13,14,44.4,0.674,1,40.7,12,0.641,9.3,14,36.409,30,22,34,42.0,8,34.632,425.96,1.9,0.086,54
5.0,2,1.13,9,47.4,0.644,0,39.5,11,0.616,5.3,11,24.466,20,15,22,27.5,6,23.402,274.35,0.0,0.15,38
6.745,2,1.118,12,51.2,0.681,0,41.9,12,0.616,4.7,12,29.273,21,18,23,29.0,6,26.498,298.49,0.0,0.067,43
5.053,1,1.119,6,50.0,0.658,0,43.5,6,0.614,2.2,6,30.29,23,20,29,32.0,14,28.246,309.44,0.0,0.077,46
5.416,1,1.119,6,50.0,0.658,0,43.5,6,0.614,2.2,6,30.29,23,20,29,32.0,14,28.246,309.44,0.0,0.077,46
5.429,1,1.119,6,50.0,0.658,0,43.5,6,0.614,2.2,6,30.29,23,20,29,32.0,14,28.246,309.44,0.0,0.077,46
7.1,3,1.126,16,44.8,0.67,1,38.8,12,0.638,4.5,17,44.909,37,26,40,51.0,10,42.743,548.11,1.5,0.114,67
7.2,3,1.126,16,44.8,0.67,1,38.8,12,0.638,4.5,17,44.909,37,26,40,51.0,10,42.743,548.11,1.5,0.114,67
8.1,3,1.13,16,41.4,0.683,2,41.4,12,0.66,5.2,15,39.625,34,24,37,46.0,8,38.283,508.41,5.2,0.115,58
7.9,3,1.131,16,44.3,0.664,1,41.0,12,0.639,4.9,15,40.529,34,25,37,46.0,9,38.983,488.0,3.3,0.109,61
8.2,3,1.13,16,41.4,0.683,2,41.4,12,0.66,5.2,15,39.625,34,24,37,46.0,8,38.283,508.41,5.2,0.115,58
7.3,4,1.13,16,42.9,0.675,2,37.1,12,0.647,5.7,17,47.227,40,26,43,54.0,10,45.306,613.57,2.9,0.151,70
7.7,4,1.128,16,41.3,0.687,2,38.1,12,0.659,6.3,17,43.25,37,24,40,51.0,8,41.538,569.51,3.2,0.121,63
7.2,3,1.125,16,43.3,0.683,2,38.8,12,0.65,4.5,17,45.767,38,26,41,52.0,10,43.57,582.55,3.0,0.114,67
7.6,4,1.128,16,42.4,0.682,2,37.9,12,0.652,6.1,17,45.011,38,25,41,52.0,9,43.065,583.54,3.0,0.13,66
8.3,4,1.127,16,42.9,0.682,2,38.6,12,0.651,5.7,17,47.773,40,27,44,55.0,11,45.592,609.58,2.9,0.135,70
7.9,4,1.129,16,43.5,0.678,2,37.7,12,0.646,5.8,17,46.773,39,26,42,53.0,10,44.592,597.57,2.9,0.125,69
5.854,2,1.121,16,49.1,0.661,0,43.4,17,0.619,3.8,17,35.057,27,23,30,38.5,7,32.794,362.51,0.0,0.089,53
5.585,3,1.125,16,51.7,0.652,0,41.7,17,0.603,5.0,17,39.131,29,25,32,40.5,9,36.154,389.59,0.0,0.095,60
5.26,3,1.125,16,52.2,0.652,0,41.8,17,0.6,4.5,17,43.654,32,28,36,44.5,12,40.208,429.66,0.0,0.085,67
5.187,3,1.125,16,50.8,0.651,0,41.5,17,0.606,4.6,17,42.347,32,27,36,44.5,11,39.396,431.63,0.0,0.087,65
5.0,4,1.128,16,52.2,0.647,0,40.6,17,0.598,5.8,17,44.66,33,28,37,45.5,12,41.229,444.68,0.0,0.082,69
6.0,4,1.124,22,50.0,0.658,0,42.5,23,0.612,5.0,23,52.637,40,34,45,56.5,12,48.998,536.78,0.0,0.094,80
6.31,4,1.121,22,48.7,0.675,1,43.4,23,0.626,5.3,23,51.279,39,33,44,55.5,11,47.583,541.19,1.3,0.086,76
8.6,4,1.127,16,42.9,0.682,2,38.6,12,0.651,5.7,17,47.773,40,27,44,55.0,11,45.592,609.58,2.9,0.122,70
7.6,4,1.128,16,43.2,0.676,2,37.8,12,0.646,5.4,17,49.989,42,28,46,57.0,12,47.833,639.61,2.7,0.115,74
8.6,3,1.13,16,41.4,0.683,2,41.4,12,0.66,5.2,15,39.625,34,24,37,46.0,8,38.283,508.41,5.2,0.115,58
8.6,3,1.131,16,44.3,0.664,1,41.0,12,0.639,4.9,15,40.529,34,25,37,46.0,9,38.983,488.0,3.3,0.109,61
7.8,4,1.156,10,40.4,0.659,2,36.5,11,0.651,7.7,12,34.29,31,19,33,39.5,9,33.83,481.34,9.6,0.13,52
7.6,4,1.156,10,43.6,0.64,1,36.4,11,0.628,7.3,12,35.194,31,20,33,39.5,10,34.529,460.93,7.3,0.123,55
7.4,4,1.155,10,41.8,0.655,2,36.4,11,0.643,7.3,12,36.051,32,20,34,40.5,10,35.356,495.37,9.1,0.123,55
7.9,4,1.134,10,46.4,0.665,2,37.5,11,0.629,7.1,12,37.239,30,21,33,39.5,11,35.207,453.41,3.6,0.136,56
8.4,3,1.149,12,40.0,0.664,2,38.2,6,0.655,5.5,10,36.5,33,21,35,42.0,9,36.05,508.36,9.1,0.123,55
8.0,3,1.15,12,43.1,0.645,1,37.9,6,0.634,5.2,10,37.404,33,22,35,42.0,10,36.749,487.95,6.9,0.117,58
8.0,3,1.149,12,41.4,0.66,2,37.9,6,0.648,5.2,10,38.262,34,22,36,43.0,10,37.577,522.39,8.6,0.117,58
8.3,3,1.149,12,41.4,0.66,2,37.9,6,0.648,5.2,10,38.262,34,22,36,43.0,10,37.577,522.39,8.6,0.117,58
8.4,3,1.124,16,43.1,0.684,2,41.4,12,0.653,5.2,15,39.688,33,24,36,45.0,8,37.9,490.42,3.4,0.115,58
6.6,4,1.128,17,41.9,0.68,2,40.3,12,0.655,6.5,16,42.148,36,25,39,49.0,8,40.636,533.45,3.2,0.123,62
6.3,4,1.125,16,44.1,0.665,0,42.4,12,0.64,6.8,16,39.216,33,25,36,47.0,8,37.74,446.55,0.0,0.113,59
6.9,4,1.124,16,42.4,0.679,1,42.4,12,0.654,6.8,16,40.074,34,25,37,48.0,8,38.567,480.99,1.7,0.113,59
6.6,4,1.125,16,41.5,0.683,1,40.0,12,0.657,6.2,18,44.392,38,26,41,54.0,9,42.711,559.09,1.5,0.118,65
7.7,3,1.124,16,42.2,0.688,2,39.1,12,0.657,4.7,17,44.006,37,25,40,51.0,9,42.043,568.52,3.1,0.119,64
7.3,3,1.125,16,43.3,0.683,2,38.8,12,0.65,4.5,17,45.767,38,26,41,52.0,10,43.57,582.55,3.0,0.114,67
5.3,2,1.126,13,47.6,0.666,2,39.7,12,0.626,3.2,13,41.966,33,25,36,43.0,12,39.459,493.47,3.2,0.136,63
6.3,3,1.126,12,46.3,0.681,2,40.7,12,0.638,5.6,13,36.779,29,22,31,39.0,9,34.47,434.4,3.7,0.143,54
6.5,3,1.122,13,45.5,0.699,2,40.0,16,0.648,5.5,16,38.426,30,22,33,41.0,9,35.657,466.47,3.6,0.138,55
8.5,2,1.122,12,44.0,0.689,2,42.0,12,0.653,4.0,13,34.466,28,21,30,38.0,8,32.637,421.35,4.0,0.135,50
7.9,2,1.12,12,44.9,0.694,2,42.9,12,0.651,4.1,13,34.012,27,21,29,37.0,8,31.922,405.35,4.1,0.137,49
7.7,1,1.119,12,47.2,0.691,2,39.6,12,0.639,1.9,12,36.631,28,21,30,36.0,9,33.856,442.44,3.8,0.145,53
7.1,3,1.124,12,42.6,0.696,2,38.9,12,0.659,5.6,15,37.574,31,21,33,43.0,8,35.56,484.44,3.7,0.143,54
7.7,3,1.124,13,43.4,0.688,2,41.5,12,0.654,5.7,14,36.472,30,22,32,41.0,8,34.658,448.38,3.8,0.127,53
9.5,2,1.123,12,45.3,0.684,2,41.5,12,0.645,3.8,13,36.227,29,22,31,39.0,9,34.164,435.38,3.8,0.145,53
7.8,4,1.135,14,41.8,0.68,2,40.0,16,0.656,7.3,17,37.415,32,22,35,44.0,8,36.063,481.39,5.5,0.121,55
7.0,2,1.123,11,43.6,0.699,2,36.4,11,0.654,3.6,14,38.432,31,20,33,41.5,9,35.968,507.5,3.6,0.14,55
7.2,3,1.131,13,46.6,0.663,2,37.9,12,0.628,5.2,13,38.449,31,22,33,40.0,9,36.427,468.42,3.4,0.133,58
6.7,2,1.125,13,44.8,0.682,2,37.9,12,0.643,3.4,15,39.546,32,22,34,43.0,9,37.307,501.47,3.4,0.133,58
8.1,4,1.129,14,43.6,0.681,2,40.0,16,0.649,7.3,17,37.477,31,22,34,43.0,8,35.68,463.4,3.6,0.121,55
7.5,3,1.125,15,44.6,0.683,2,41.1,16,0.646,5.4,17,38.233,31,23,34,43.0,8,36.185,462.41,3.6,0.119,56
8.2,4,1.128,15,42.1,0.683,2,40.4,12,0.656,7.0,15,38.932,33,23,36,45.0,8,37.395,491.41,3.5,0.117,57
7.7,4,1.13,14,42.9,0.677,2,39.3,12,0.65,7.1,14,37.932,32,22,35,43.0,8,36.395,479.4,3.6,0.102,56
8.4,3,1.125,16,44.3,0.679,2,41.0,12,0.646,4.9,15,41.449,34,25,37,46.0,9,39.427,504.45,3.3,0.109,61
8.4,3,1.124,16,43.1,0.684,2,41.4,12,0.653,5.2,15,39.688,33,24,36,45.0,8,37.9,490.42,3.4,0.115,58
7.9,4,1.126,15,42.9,0.687,2,41.1,17,0.655,7.1,18,38.477,32,23,35,44.5,8,36.68,475.41,3.6,0.119,56
6.3,3,1.126,12,46.3,0.681,2,40.7,12,0.638,5.6,13,36.779,29,22,31,39.0,9,34.47,434.4,3.7,0.143,54
5.9,3,1.128,13,46.8,0.675,2,37.1,12,0.631,4.8,15,41.858,33,23,35,44.0,10,39.141,514.52,3.2,0.141,62
9.16,2,1.121,13,52.2,0.661,0,43.5,12,0.605,4.3,13,30.387,22,20,24,31.0,7,27.838,292.46,0.0,0.104,46
7.21,4,1.117,32,41.9,0.679,0,45.3,24,0.657,4.7,30,58.387,50,39,55,73.0,7,56.518,672.79,0.0,0.143,86
7.76,5,1.129,21,51.1,0.651,0,38.6,23,0.602,5.7,25,57.268,43,34,46,59.5,13,52.974,603.91,0.0,0.187,88
5.0,2,1.118,9,25.0,0.784,0,54.2,11,0.774,8.3,13,18.818,18,13,19,28.5,1,18.577,260.28,8.3,0.0,24
5.779,3,1.132,15,50.0,0.656,0,39.7,11,0.621,4.4,14,44.631,34,27,38,46.5,12,35.203,465.45,2.9,0.083,68
6.205,3,1.129,13,49.1,0.646,0,40.0,16,0.61,5.5,16,35.517,28,22,31,39.0,9,33.53,381.52,0.0,0.121,55
6.575,3,1.126,13,47.1,0.67,1,41.2,16,0.63,5.9,16,34.159,27,21,30,38.0,8,32.116,385.93,2.0,0.111,51
5.585,5,1.136,13,47.7,0.644,0,35.4,16,0.611,7.7,18,41.847,34,23,37,47.0,10,39.716,489.66,0.0,0.132,65
5.0,2,1.129,6,54.9,0.635,0,39.2,6,0.581,3.9,7,32.364,23,20,25,30.0,12,29.606,312.5,0.0,0.075,51
5.5,4,1.127,14,47.6,0.655,0,41.3,12,0.62,6.3,15,41.284,33,26,36,46.0,11,39.078,446.6,0.0,0.076,63
5.6,4,1.131,13,49.2,0.644,0,39.3,12,0.608,6.6,14,39.284,31,24,34,42.0,11,37.078,422.58,0.0,0.109,61
5.5,6,1.134,14,46.9,0.649,0,39.1,16,0.619,9.4,18,41.534,34,25,38,48.0,11,39.594,462.61,0.0,0.103,64
5.6,3,1.134,14,49.2,0.642,0,40.0,12,0.608,4.6,14,41.739,33,26,36,44.0,12,39.494,453.61,1.5,0.103,65
5.6,3,1.139,14,47.7,0.641,0,40.0,12,0.613,4.6,14,41.677,34,26,37,45.0,12,39.877,471.6,3.1,0.103,65
5.6,3,1.139,14,47.7,0.641,0,40.0,12,0.613,4.6,14,41.677,34,26,37,45.0,12,39.877,471.6,3.1,0.103,65
5.6,4,1.127,14,47.6,0.655,0,41.3,12,0.62,6.3,15,41.284,33,26,36,46.0,11,39.078,446.6,0.0,0.106,63
5.6,3,1.139,14,46.8,0.644,0,40.3,12,0.619,4.8,14,39.915,33,25,36,44.0,11,38.35,457.57,3.2,0.108,62
5.6,4,1.125,14,46.9,0.661,0,42.2,12,0.626,6.3,15,42.284,34,27,38,48.0,12,40.078,458.61,0.0,0.074,64
5.8,3,1.137,14,46.0,0.649,0,41.3,12,0.625,4.8,14,40.915,34,26,38,46.0,12,39.35,469.58,3.2,0.075,63
5.6,3,1.139,14,46.8,0.644,0,40.3,12,0.619,4.8,14,39.915,33,25,36,44.0,11,38.35,457.57,3.2,0.108,62
5.7,3,1.133,14,48.4,0.645,0,40.3,12,0.612,4.8,14,39.978,32,25,35,43.0,11,37.967,439.58,1.6,0.108,62
5.6,3,1.137,14,46.0,0.649,0,41.3,12,0.625,4.8,14,40.915,34,26,38,46.0,12,39.35,469.58,3.2,0.075,63
5.7,4,1.127,14,47.6,0.655,0,41.3,12,0.62,6.3,15,41.284,33,26,36,46.0,11,39.078,446.6,0.0,0.106,63
5.7,3,1.139,14,46.8,0.644,0,40.3,12,0.619,4.8,14,39.915,33,25,36,44.0,11,38.35,457.57,3.2,0.108,62
5.8,3,1.126,14,48.5,0.662,1,40.9,12,0.62,4.5,14,43.659,34,27,38,46.0,13,40.938,482.07,1.5,0.071,66
5.6,3,1.132,14,48.5,0.648,0,40.9,12,0.614,4.5,14,42.739,34,27,38,46.0,13,40.494,465.62,1.5,0.071,66
5.6,4,1.126,14,47.8,0.657,0,41.8,12,0.621,6.0,15,44.046,35,28,39,49.0,13,41.605,472.64,0.0,0.07,67
5.7,3,1.133,14,48.4,0.645,0,40.3,12,0.612,4.8,14,39.978,32,25,35,43.0,11,37.967,439.58,1.6,0.108,62
5.6,4,1.127,14,46.7,0.659,0,41.7,12,0.626,6.7,15,39.523,32,25,35,45.0,10,37.552,432.57,0.0,0.111,60
5.6,3,1.126,14,48.6,0.654,0,38.9,12,0.615,4.2,16,47.12,37,28,41,51.0,14,44.254,525.73,0.0,0.079,72
5.7,3,1.133,14,48.4,0.645,0,40.3,12,0.612,4.8,14,39.978,32,25,35,43.0,11,37.967,439.58,1.6,0.108,62
5.7,3,1.128,14,48.5,0.652,0,38.2,12,0.614,4.4,16,44.358,35,26,38,48.0,12,41.727,499.69,0.0,0.113,68
5.7,3,1.139,14,45.8,0.647,0,40.7,12,0.624,5.1,14,38.154,32,24,35,43.0,10,36.824,443.54,3.4,0.113,59
5.5,3,1.128,14,48.5,0.652,0,38.2,12,0.614,4.4,16,44.358,35,26,38,48.0,12,41.727,499.69,0.0,0.113,68
5.7,3,1.139,14,46.8,0.644,0,40.3,12,0.619,4.8,14,39.915,33,25,36,44.0,11,38.35,457.57,3.2,0.108,62
5.6,4,1.13,15,49.3,0.644,0,39.7,12,0.608,5.5,15,47.023,37,29,41,50.0,14,44.374,504.69,0.0,0.104,73
5.6,3,1.126,14,48.6,0.654,0,38.9,12,0.615,4.2,16,47.12,37,28,41,51.0,14,44.254,525.73,0.0,0.079,72
5.6,3,1.137,14,47.0,0.647,0,40.9,12,0.619,4.5,14,42.677,35,27,39,47.0,13,40.877,483.61,3.0,0.071,66
6.569,3,1.129,12,49.1,0.659,1,39.6,12,0.616,5.7,13,34.921,27,21,29,36.0,9,32.643,387.95,1.9,0.109,53
5.301,2,1.124,13,47.4,0.671,1,38.6,12,0.627,3.5,15,38.233,30,22,32,41.0,9,35.765,451.03,1.8,0.119,57
5.8,5,1.131,11,50.0,0.655,0,37.9,16,0.608,7.6,16,43.245,33,25,37,45.0,14,40.099,467.7,0.0,0.1,66
6.9,5,1.125,17,47.0,0.674,0,40.9,22,0.63,7.6,22,44.483,35,27,39,50.0,10,41.572,489.7,0.0,0.114,66
5.6,8,1.132,15,46.9,0.673,0,39.1,22,0.627,12.5,22,43.069,34,25,38,49.0,10,40.153,474.7,0.0,0.088,64
5.6,6,1.136,17,44.4,0.678,0,41.3,22,0.641,9.5,22,42.694,35,26,39,50.0,9,40.404,494.67,3.2,0.09,63
5.9,7,1.125,20,48.1,0.677,0,41.6,27,0.626,9.1,27,52.109,40,32,45,58.5,12,48.239,551.83,0.0,0.085,77
6.5,5,1.132,11,51.6,0.653,0,37.5,16,0.6,7.8,16,41.79,31,24,34,42.0,13,38.384,439.69,0.0,0.104,64
6.2,6,1.122,20,45.7,0.686,0,42.9,27,0.641,8.6,27,48.035,38,30,43,56.5,10,44.879,524.75,0.0,0.093,70
6.2,5,1.123,17,46.8,0.682,0,41.9,22,0.634,8.1,22,42.267,33,26,37,48.0,9,39.33,459.67,0.0,0.106,62
